TIC_ID,ASASSN-V,RAJ2000,DEJ2000,Vmag,Amp,Per,Type,Prob,HJD,Gaia,pmRA,pmDE,Vt,Dist,WISEA,Jmag,J-K,W1-W2,APASS,B-V,E(B-V),Ref,URL,2M,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
13738984,J085450.52-110357.5,133.71052,-11.06598,16.2,1.06,0.5186465,RRAB,0.997,2458071.75487,5737002879166057472,0.782,-3.416,92.68556,5579.87,J085450.56-110357.5,15.354,0.0,-0.061,46912519,0.437,0.041,II,https://asas-sn.osu.edu/variables/342982,2M,101.646783,-1,V,6.036
14611330,J072603.25+140503.9,111.51354,14.08442,15.55,0.58,427.5928802,VAR,0.329,2458009.11329,3166662344911476736,-2.928,-2.342,28.45846,1601.29,J072603.25+140503.8,15.308,0.685,-0.574,,,0.086,VI,https://asas-sn.osu.edu/variables/J072603.25+140503.9,2M,108.062413,-1,V,6.852
15445546,J122126.40-524931.8,185.36002,-52.8255,14.82,0.31,0.5932214,VAR,0.977,2457800.82206,6077185420267471872,-2.787,-8.27,113.9806,2755.42,J122126.03-524931.9,,,-0.081,54337351,0.674,0.179,V,https://asas-sn.osu.edu/variables/AP54337351,2M,94.5285,-1,V,1.891300000000001
16288184,J165502.79-284412.0,253.76162,-28.73668,15.23,0.83,0.5280611,RRAB,0.97,2458196.87605,6032745324973393920,-3.142,-3.442,153.73118,6959.19,J165502.79-284412.7,14.337,0.441,-0.386,53366438,0.707,0.211,II,https://asas-sn.osu.edu/variables/408711,2M,96.793756,-1,V,3.628
17449899,J203318.29+411739.6,308.32621,41.29433,13.91,0.07,NON PERIODIC,YSO,0.859,2458028.82897,2067783868332805888,-2.446,-4.302,38.49215,1640.96,J203318.20+411737.4,11.525,0.86,0.24,14054660,,6.34,II,https://asas-sn.osu.edu/variables/274124,2M,0.17078,-1,V,1.3409999999999993
17760009,J090308.93-313752.7,135.78719,-31.6313,15.54,0.54,0.5956061,EB,1.0,2457807.59531,5629105982071481344,-7.807,7.36,195.56197,3845.32,J090308.92-313752.4,14.289,0.478,0.012,45320244,0.83,0.255,II,https://asas-sn.osu.edu/variables/73763,2M,39.718193,-1,V,4.752999999999998
17862899,J075428.26+140749.6,118.61774,14.13044,12.37,0.39,0.3783512,EB,0.978,2458164.71315,654448910200440448,2.235,-5.972,17.15168,567.47,J075428.32+140749.3,11.208,0.352,-0.038,5361229,0.564,0.042,II,https://asas-sn.osu.edu/variables/123674,2M,59.090466,-1,V,2.3099999999999987
21639186,J120130.45-440826.2,180.37686,-44.14061,14.3,0.2,4.723422,ROT,0.995,2457188.54155,6147511352193355776,-8.846,5.975,90.64018,1791.35,J120130.41-440825.8,12.436,0.708,-0.001,55507361,0.958,0.16,V,https://asas-sn.osu.edu/variables/AP55507361,2M,35.201824,-1,V,3.66
22767596,J071415.00-405416.0,108.56248,-40.90445,15.08,0.37,5.1137657,EA,1.0,2457773.61435,5561304906780124160,-1.672,4.703,80.7465,3412.91,J071414.98-405416.0,14.073,0.433,-0.017,,,0.209,VI,https://asas-sn.osu.edu/variables/J071415.00-405416.0,2M,41.352893,-1,V,3.2620000000000005
23500817,J111534.65-340902.5,168.89437,-34.1507,11.84,0.27,NON PERIODIC,VAR,0.453,2456784.58502,,,,,,,,,,,,0.08,II,https://asas-sn.osu.edu/variables/173618,2M,19.148735,-1,V,1.4849999999999994
23559851,J111704.29-350843.1,169.26789,-35.14531,11.3,0.27,285.0008544,ROT:,0.852,2457876.49075,5402105862276935680,-14.273,8.66,54.61418,690.16,J111703.97-350838.4,13.853,0.782,-0.003,,,0.077,II,https://asas-sn.osu.edu/variables/173671,2M,19.804323,-1,V,1.7200000000000006
24209611,J005941.24-081247.9,14.92185,-8.2133,14.16,0.42,0.3556679,EW,0.999,2457739.62653,2474420411158392832,5.063,-5.667,18.90003,524.7,J005941.24-081247.6,12.208,0.622,-0.046,16627953,0.971,0.096,II,https://asas-sn.osu.edu/variables/293836,2M,54.299406,-1,V,3.8930000000000007
24233297,J161216.67+411354.6,243.06947,41.23183,14.55,0.48,0.3087388,EA,0.965,2457222.87321,1381579142471217920,-5.579,-3.83,98.1629,3060.3,J161216.78+411349.5,10.508,0.829,0.174,8400792,1.425,0.01,II,https://asas-sn.osu.edu/variables/57269,2M,42.909907,-1,V,4.098000000000001
24536661,J092425.47-313431.4,141.10611,-31.57538,14.39,0.21,0.2147305,RRC,0.972,2457185.50641,5631402346463008768,-5.039,9.728,111.78892,2152.7,J092425.46-313431.3,13.249,0.376,0.012,45354323,0.49,0.157,II,https://asas-sn.osu.edu/variables/72838,2M,19.629971,-1,V,2.5
24544791,J092505.13-355400.6,141.27136,-35.90018,14.9,0.51,NON PERIODIC,L,0.999,2458183.7086,5437283534221237248,-2.756,2.069,26.56027,1625.97,J092505.11-355400.7,7.157,1.51,0.293,,,0.174,VI,https://asas-sn.osu.edu/variables/J092505.13-355400.7,2M,61.687275,-1,V,7.2
24733359,J092738.43-350022.7,141.91012,-35.0063,7.84,1.26,264.7221017,VAR,0.474,2457843.70505,5437474574366697472,-18.655,-29.039,26.63469,162.8,J092738.36-350026.6,6.17,0.146,0.087,42448017,0.256,0.192,II,https://asas-sn.osu.edu/variables/351817,2M,3.900776,-1,V,1.21
25060155,J093127.23-315115.0,142.86347,-31.85416,14.56,0.27,0.4647845,EB,0.976,2457817.74783,,,,,,J093126.87-315112.2,14.001,0.15,-0.05,45363051,0.577,0.119,V,https://asas-sn.osu.edu/variables/AP45363051,2M,89.288328,-1,V,8.65
25133286,J040911.53-711741.5,62.29806,-71.29487,13.26,4.73,NON PERIODIC,UGSU,,2458080.65477,4653893040002306048,51.364,12.285,13.48795,53.88,J040911.50-711741.4,12.522,0.82,0.312,36234126,0.354,0.111,II,https://asas-sn.osu.edu/variables/86094,2M,0.663057,-1,V,1.0530000000000008
25154831,J041302.28-673329.8,63.2595,-67.55827,15.18,0.53,2.9230832,EA,1.0,2457133.46698,4668415874914702336,1.82184,-1.1563,23.07199,2255.78,J041302.31-673329.6,13.921,0.409,0.014,36332041,0.642,0.036,III,https://asas-sn.osu.edu/variables/AP36332041,2M,66.714735,-1,V,4.198
25156751,J093302.86-303100.2,143.26193,-30.51673,13.63,0.41,3.4872453,EA,1.0,2456808.53228,5632296696092076032,-9.689,5.61,82.3328,1551.44,J093302.88-303100.6,12.628,0.304,-0.003,45365889,0.425,0.123,II,https://asas-sn.osu.edu/variables/72332,2M,58.721346,-1,V,1.234
25188036,J063211.11-071822.0,98.04629,-7.3061,8.81,0.44,207.1725414,VAR,0.386,2457471.50132,3006897090581965824,-5.189,-1.099,8.57086,340.91,J063211.26-071822.6,8.201,-0.062,-0.034,19559403,-0.2,0.762,II,https://asas-sn.osu.edu/variables/432344,2M,67.89051,-1,V,10.51
25704773,J063550.46-071510.8,98.96023,-7.253,13.89,0.19,2.4864625,EA,1.0,2457604.93375,3099964354662208512,1.074,-1.695,15.73515,1654.35,J063550.46-071511.0,12.402,0.416,-0.004,21065840,0.808,0.517,V,https://asas-sn.osu.edu/variables/AP21065840,2M,36.144087,-1,V,2.835000000000001
25712220,J094048.25-320440.6,145.20104,-32.07795,13.4,0.25,0.2812982,EW,0.999,2458056.84523,5439706239371516928,18.249,-9.149,41.80386,432.03,J094048.31-320440.7,11.801,0.607,-0.016,42476931,,0.119,II,https://asas-sn.osu.edu/variables/80819,2M,99.793061,-1,V,1.966000000000001
25858367,J182501.52-304325.3,276.25632,-30.7237,15.12,0.34,329.5409714,SR,0.997,2457945.69128,4046389947718897664,-1.513,-3.129,49.71049,3017.45,J182501.51-304325.2,9.066,1.127,-0.175,,,0.266,VI,https://asas-sn.osu.edu/variables/J182501.52-304325.3,2M,118.314765,-1,V,9.54
25998400,J130111.19-132013.5,195.29663,-13.33709,13.73,0.26,0.3657481,EW,1.0,2457103.96568,3525940791627255808,-6.369,-4.619,41.85531,1122.35,J130111.22-132012.7,13.249,0.337,0.014,26243003,0.562,0.044,II,https://asas-sn.osu.edu/variables/202908,2M,26.630282,-1,V,1.8130000000000006
