subject_id,tic_id,sector,img_id
"28349178","229938859","14","a87596b1-9e16-4876-a356-6dd99d5d2304"
"28394874","147302681","1","2367cf86-3281-4519-8be0-fbcd5f3bccf3"
"28394979","147207533","1","b929e252-eb20-4c6c-9290-d930734fd33c"
"28395014","147201138","1","968d16aa-a2b7-4e41-9e6f-29679601cfb9"
"28395015","147201138","1","d44829b8-0751-4553-97ba-f618ae1f0192"
"28395016","147201138","1","a5d19c4f-3bca-423a-8c7c-d95fa7944a57"
"28395110","147131974","1","4743893b-0d68-4804-9a58-abfce7219610"
"28395111","147131974","1","60976f2e-48c0-451e-afc3-2304c57b6227"
"28395112","147131974","1","f4c11967-6303-48c5-b5aa-094e2ddee2d7"
"28395113","147131974","1","b6df63bd-b22b-4be7-8d63-60a07567d84d"
"28395231","147114002","1","a66391e2-2b01-4245-8366-8412d3e05e69"
"28395238","147083089","1","38ffe3fe-94c9-4c2d-a215-b17918985c87"
"28395239","147083089","1","4d59f9e2-09e1-45a2-8ae4-80c7ea099412"
"28395240","147083089","1","e0e26161-4d4f-45ff-a7e6-63d2fad5ff17"
"28395286","144462697","1","8a467969-deb8-4702-9202-d5bcb7fe5b5a"
"28395287","144462697","1","55c4abef-9d35-47c2-b422-0976278d6596"
"28395288","144462697","1","d2ee0450-cf5d-4072-9afc-fec2a40e23dc"
"28395289","144458841","1","94feead3-7188-42b8-8ae4-058abc36c6f2"
"28395290","144462697","1","9e9747b5-9fcb-4be4-9de7-99481c51daf9"
"28395299","147084337","1","13d5b718-aae2-4440-bc1f-7e3f5b5e98f7"
"28395300","147084337","1","c2a137e1-2685-46b4-8997-97871b7bd709"
"28395365","144201318","1","8b123cad-9904-49c1-9cad-e5865d1aafc3"
"28395414","144194304","1","1d14c687-d949-45c8-a6da-935dffae743c"
"28395416","144194304","1","332909d5-8ebe-4c02-b672-b948a6af0465"
"28395622","144000467","1","f15b1c23-854f-49dd-bfe8-a2c593bd3f8d"
"28395623","144000467","1","4da041c3-f9bb-4935-91f4-ca9afd0c9fe8"
"28395624","144000467","1","4009f473-eb12-4783-9b8c-56903b438fe0"
"28395625","144000467","1","166f6c0d-161c-4b24-ab1c-149b04325686"
"28395702","143924219","1","7352cd8c-d35d-4dd8-bb93-b36e108ecfe0"
"28395703","143924219","1","96b31b96-0c84-447a-8bb1-e1086f2aa5e8"
"28395704","143924219","1","01608e7d-b26f-46e2-b501-b9c2bf2198c1"
"28395705","143924219","1","db2dd513-2f1e-45d5-aaae-7ecf10884e27"
"28395847","126659093","1","2a2f1011-5090-457c-ac03-0305399d68b1"
"28395885","126700850","1","f29aeef8-f079-4c75-aed8-a790abf6f2c8"
"28395888","126700850","1","a761ce8a-ea0f-4854-9067-26cf9c5887a4"
"28395939","126637765","1","f1d1c05a-3742-4454-a663-4bb44262a8c5"
"28395940","126637765","1","79cb6628-b8a0-4c80-92e2-f8a496717b67"
"28395945","126637765","1","c5c6a3ac-4660-4f4e-bdf0-51f34920330e"
"28396018","126602778","1","3d5c4f7c-bab5-4c2f-a6c9-b6d62be03145"
"28396019","126602778","1","b2711f52-2ca9-4d53-bd14-6ba6f38ad791"
"28396022","126602778","1","8cf2edf0-cd03-4bc9-934a-8aafb6644385"
"28396025","126602778","1","a760e575-56e2-4a13-a0e0-2076c4c31a9a"
"28396088","142148228","1","5267484c-6f57-4610-a520-a9a2b9084624"
"28396089","142148228","1","ae8a1347-02a8-496a-98b7-ca144be404c8"
"28396092","142148228","1","7add6a30-4aaf-4ec4-bbfb-1e45a390fe82"
"28396094","142148228","1","aa9a83ce-7f92-4bb3-a4fb-6ac4ac8195f5"
"28396142","126564822","1","90b5a2d6-ad1b-476f-a4f6-7c310a24ca6b"
"28396175","121475494","1","7b152c4f-4aea-4e75-b528-39d69c1255fb"
"28396177","142110536","1","6d95e6b6-dc80-4836-9713-df551aca5a28"
"28396193","142108949","1","1839244d-e09c-4230-a84d-6cf2567d6cb9"
"28396511","142052876","1","42c325d1-ff49-4064-b710-7eb1b3a1cde0"
"28396614","117544915","1","2473fc03-9382-47a0-b509-01426dcd790c"
"28396616","117544915","1","c70ba36a-41c1-482e-ac9c-368c79db7c3f"
"28396620","117544915","1","4ab8c216-37db-4151-83a4-4a203da03fcd"
"28396621","117544915","1","a22200fb-d2c4-471e-bf22-78f48fad9da9"
"28396652","117515674","1","b8de9a99-f021-4218-ba23-7b30f9635f0b"
"28396653","142018697","1","ae3c3472-c338-48eb-8257-406b77d55d33"
