tic_id,best_subject_id,best_subject_sector,is_eb_catalog,eb_score_group,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at,best_subject_img_id,num_subjects,sectors,subject_ids,SIMBAD_MAIN_ID,SIMBAD_Is_EB,SIMBAD_OTYPES,SIMBAD_V__vartyp,SIMBAD_angDist,SIMBAD_Match_Score,VSX_OID,VSX_n_OID,VSX_V,VSX_Name,VSX_Is_EB,VSX_Type,VSX_Period,VSX_angDist,VSX_Match_Score,ASASSN_Name,ASASSN_URL,ASASSN_Is_EB,ASASSN_Type,ASASSN_Prob,ASASSN_Per,ASASSN_angDist,ASASSN_Match_Score
867234,58277551,34,-,00-,-1,1,2,4,4,2021-03-16 13:04:54.857000+00:00,8838e59f-4f1d-496f-beb4-0584334bdd97,1,34,58277551,TYC 6575-1727-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
878056,32014306,7,-,00-,0,1,1,1,1,2019-04-06 06:15:41.555000+00:00,6c2549bf-ddac-4172-a4c5-25e4c19ddd60,1,7,32014306,,-,,,,,,,,,-,,,,,,,-,,,,,
889317,58289495,34,-,05,5,5,0,5,5,2021-03-18 23:03:11.301000+00:00,3e4b37b6-5e4f-4fd1-9e76-54dd8e76c38d,1,34,58289495,UCAC4 376-051253,-,*|IR,,0.076409,2.0,,,,,-,,,,,,,-,,,,,
927257,58384662,34,-,03,3,3,0,3,3,2021-03-17 13:43:12.183000+00:00,6c6d54a4-2c62-4210-a970-c73a4bd6771d,1,34,58384662,,-,,,,,,,,,-,,,,,,,-,,,,,
927554,58296545,34,T,01,1,1,0,3,3,2021-03-29 21:58:46.255000+00:00,44c0e84b-46d4-4342-9e74-06b42ed06048,1,34,58296545,V* V426 Hya,T,EB*|V*|*|IR,E,,5.0,42719,B,0,V0426 Hya,T,EA,7.3089,0.018799,1.0,J082835.22-135114.1,https://asas-sn.osu.edu/variables/AP46720486,T,EA,0.995,7.308233,0.220011,4.0
934557,32621293,8,-,01,1,1,0,1,1,2019-05-01 15:29:17.290000+00:00,c2f4c1e4-0f92-4766-aa53-253bf7814778,1,8,32621293,HD  73927,-,*|IR,,,3.0,,,,,-,,,,,,,-,,,,,
1029392,30179344,4,F,01,1,1,0,2,2,2019-02-11 18:32:04.129000+00:00,1176838c-113c-4349-969e-298e290bf506,2,"4,4","30179344,30179346",V* RV Cet,F,RR*|RR*|V*|*|IR,RR,,5.0,9084,B,0,RV Cet,F,RRAB/BL,0.62341,0.082898,1.0,J021514.83-104802.7,https://asas-sn.osu.edu/variables/245737,-,VAR,0.394,0.0,2.247322,4.0
1042868,41016259,21,-,00-,-3,1,4,7,7,2020-04-09 17:03:50.841000+00:00,72995d36-14e2-4683-a0f6-5795b5423872,1,21,41016259,*  24 LMi,-,PM*|*|IR|UV,,,5.0,,,,,-,,,,,,,-,,,,,
1045298,30253322,4,T,03,3,3,0,3,3,2019-02-16 13:16:06.339000+00:00,60cae498-7bb7-470b-813d-0e4626b88bff,3,"4,4,4","30253322,30253324,30253328",ASAS J021742-0816.7,T,EB*|V*|*|IR,E,,3.0,74626,B,0,ASAS J021742-0816.7,T,EA,1.46344,0.087827,1.0,J021742.43-081639.2,https://asas-sn.osu.edu/variables/AP16654353,T,EA,1.0,1.4634458,0.277852,4.0
1103432,32609087,8,-,00-,-2,1,3,3,3,2019-05-06 07:16:16.009000+00:00,4ef8227f-6252-4478-91b5-08344942ccbe,1,8,32609087,UCAC4 365-049778,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
1112513,30255896,4,-,01,1,1,0,1,1,2019-02-15 14:00:45.229000+00:00,d459c42b-f9f6-48bb-8e37-00969d5d8e5a,1,4,30255896,HD  14923,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
1129033,54451685,31,T,00-,0,2,2,7,7,2021-01-16 21:07:30.193000+00:00,f316ac11-5f07-4c63-9efb-3d0cf6c2def8,1,31,54451685,BD-07   436,-,V*|**|*|IR,,,2.0,409050,B,0,WASP-77 A,T,EP,1.3600309,0.053404,1.0,,,-,,,,,
1129452,30151047,4,T,01,1,1,0,1,1,2019-02-11 21:50:05.684000+00:00,0b04316c-f8ff-4e29-b3f1-535245a9776b,2,"4,4","30151047,30151051",HD  15424,T,EB*|Ro*|V*|*|IR|X,rot,,5.0,250097,B,0,HD 15424,F,ROT,0.357,0.069403,1.0,J022839.66-093543.7,https://asas-sn.osu.edu/variables/268051,-,VAR,0.359,0.0,1.717343,4.0
1159914,36036102,13,-,02,2,2,0,4,4,2021-06-08 21:59:42.828000+00:00,1f88e7b8-c7d9-4208-aced-51214f89267f,1,13,36036102,TYC 6885-1397-1,-,PM*|*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
1190662,32573602,8,-,01,1,1,0,1,1,2019-05-08 07:55:05.253000+00:00,98113901-ba39-448d-97b0-5bbef7dd2a9f,2,"8,8","32573602,32573599",,-,,,,,,,,,-,,,,,,,-,,,,,
1202347,32577198,8,-,04,4,4,0,4,4,2019-05-04 10:56:24.689000+00:00,76b60cd8-7592-4394-adde-7c9d73cf122c,3,"8,8,8","32577198,32577211,32577205",TYC 6579-659-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
1220444,30861787,5,-,03,3,5,2,6,7,2019-03-08 09:18:17.219000+00:00,f126b395-2eba-4d38-abdd-c7cf695d790e,4,"5,5,5,5","30861787,30861795,30861792,30861789",CD-30  1997,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
1223040,30892199,5,-,01,1,1,0,1,1,2019-03-09 12:02:08.926000+00:00,37aeb65c-8d3c-42e8-bd75-2857b44c6448,1,5,30892199,Gaia EDR3 4867211047550361856,-,*,,0.002081,3.0,,,,,-,,,,,,,-,,,,,
1230647,32567727,8,T,02,2,3,1,6,6,2019-05-08 22:44:53.619000+00:00,abeff761-dd0e-4ec9-85d6-5363e949b1e5,3,"8,8,8","32567727,32567731,32567736",HD  78733,-,**|*|IR,,,3.0,1498721,,0,TIC 1230647,T,EA,1.19,0.048236,1.0,,,-,,,,,
1232360,60048788,35,-,00-,-3,2,5,6,6,2021-04-20 05:25:01.578000+00:00,5fb23f0a-177c-4070-896b-12253d252c93,1,35,60048788,PM J09092-1236,-,PM*|SB*|PM*|*|*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
1250913,54444923,31,-,01,1,1,0,1,1,2021-01-07 10:16:05.928000+00:00,1844767e-e9dd-4c45-bcbb-125cbb699a0d,2,"31,5","54444923,30880230",UPM J0448-3539,-,PM*|*|IR,,,1.0,,,,,-,,,,,,,-,,,,,
1414238,60040110,35,-,01,1,1,0,1,1,2021-04-17 04:19:06.949000+00:00,68d7fac6-0832-4d8b-bef0-74fa5e8a0d5d,1,35,60040110,,-,,,,,,,,,-,,,,,,,-,,,,,
1449640,30912185,5,-,00-,-4,1,5,5,5,2019-03-06 21:10:34.648000+00:00,bdced3a5-2c5c-46a0-b12c-564881aee507,1,5,30912185,TYC 7053-1822-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
1450518,30894576,5,T,03,3,3,0,3,3,2019-03-11 12:32:53.365000+00:00,742c701f-2a23-4e71-9213-95483cd8ecb8,2,"5,5","30894576,30894579",1RXS J050050.0-321248,T,EB*|*|IR|X,EA,0.022482,5.0,76834,B,0,ASAS J050049-3212.7,T,EA,0.333747,0.047697,1.0,J050048.95-321238.8,https://asas-sn.osu.edu/variables/AP37130767,T,EW,1.0,0.3337513,0.973239,4.0
1461316,65560027,39,-,05,5,5,0,7,7,2021-08-13 13:06:10.955000+00:00,73c662f4-fccb-4af2-9157-18f8d2296ca1,1,39,65560027,TYC 8324-2604-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
1497180,32614974,8,-,01,1,1,0,1,1,2019-05-02 07:06:15.450000+00:00,a4f9d19b-4607-48ce-9df5-f44cd8566034,1,8,32614974,,-,,,,,,,,,-,,,,,,,-,,,,,
1505227,60030314,35,-,02,2,3,1,5,5,2021-04-21 10:27:14.907000+00:00,7605fab9-c25a-4fbb-971c-fb5395c18d6b,1,35,60030314,TYC 6572-2008-2,-,*,,0.004826,5.0,,,,,-,,,,,,,-,,,,,
1528696,56368917,32,T,00-,-1,1,2,2,2,2021-02-06 22:41:23.594000+00:00,6e9320b7-b428-4fcd-916a-979533179211,1,32,56368917,NGTS-6,-,*|IR,,,5.0,1547400,,0,NGTS-6,T,EP,0.882059,0.013433,1.0,,,-,,,,,
1536984,32568964,8,-,02,2,4,2,4,4,2019-05-03 14:36:34.362000+00:00,020a1555-4b39-4522-9149-1aa431555aea,1,8,32568964,UCAC4 443-049026,-,PM*|*|*|IR,,1e-06,5.0,,,,,-,,,,,,,-,,,,,
1538794,60856920,36,T,03,3,3,0,3,3,2021-06-14 11:37:56.344000+00:00,44b19030-323b-416b-8d65-c312f72f599c,1,36,60856920,NSVS  15842127,T,EB*|EB*|*|EB?|IR|Y*?,EW:,,5.0,228959,B,0,NSVS 15865206,T,EA,0.411427,0.010563,1.0,J110710.66-143817.5,https://asas-sn.osu.edu/variables/181464,T,EA,1.0,0.4114262,0.795115,4.0
1630438,34091678,10,-,01,1,1,0,1,1,2019-06-25 18:03:28.147000+00:00,5e961f35-efe3-4522-8f8f-292098a00a3f,1,10,34091678,BD-14  3534,-,V*|*|IR,,,5.0,250147,B,0,BD-14 3534,-,VAR,,0.136314,1.0,J123232.43-153122.3,https://asas-sn.osu.edu/variables/197533,-,VAR,0.688,807.3283637,0.783367,4.0
1630690,34092509,10,T,02,2,2,0,2,2,2019-06-28 02:10:16.225000+00:00,66a33bad-a4f4-4278-932e-bbcf09f293e7,1,10,34092509,BD-15  3494,-,SB*|PM*|*|IR,,,5.0,95121,B,0,ASAS J123246-1626.3,T,EC|DSCT|DSCTr|ESD,0.413664,0.056709,1.0,J123246.08-162620.6,https://asas-sn.osu.edu/variables/285404,F,ROT:,0.319,0.0,1.628277,4.0
1649643,58265794,34,-,00-,-7,1,8,10,10,2021-03-19 22:56:36.260000+00:00,b3ace62a-deac-446f-820b-7d24303b635d,1,34,58265794,TYC 4872-823-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
1738861,60025994,35,-,01,1,1,0,1,1,2021-04-19 13:54:41.056000+00:00,601335fb-58fb-4db2-a686-092020f7bf0a,1,35,60025994,* gam Pyx,-,PM*|*|IR|UV,,,5.0,,,,,-,,,,,,,-,,,,,
1971918,60053590,35,-,00-,0,1,1,1,1,2021-04-20 16:53:00.994000+00:00,f0d68c5f-ffe7-44a2-b815-0463a6979b53,1,35,60053590,HD  76088,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
1973623,60116885,35,-,01,1,1,0,1,1,2021-04-18 16:50:50.600000+00:00,01adf791-9746-43bd-bc47-e1e37dd0cb7b,1,35,60116885,EVR-CB-004,-,V*|blu|HS*|**|**|HS*|*|IR,SIN,,5.0,,,,,-,,,,,,,-,,,,,
2004993,40160926,19,F,01,1,1,0,3,3,2020-02-07 17:34:02.309000+00:00,0216ec60-f902-47b2-8880-9972a0c5308c,1,19,40160926,HD  34113,-,*|IR,,,5.0,1546170,,0,1SWASP J051630.19+330946.1,F,DSCT,0.017527,0.0696,1.0,,,-,,,,,
2013258,40154642,19,-,03,3,3,0,3,3,2020-02-11 18:10:26.354000+00:00,d9b9d7b3-06b3-4f81-9cd2-7892fd0f051b,1,19,40154642,,-,,,,,,,,,-,,,,,,,-,,,,,
2020964,32611850,8,T,03,3,3,0,6,6,2019-05-10 07:43:33.653000+00:00,8b4972fe-86af-4994-90a8-8e3177dc1c62,3,"8,8,8","32611850,32611855,32611842",HD  76196,-,*|IR,,,5.0,88199,B,0,ASAS J085350-2505.1,T,ED,5.884,0.039251,1.0,J085350.13-250503.6,https://asas-sn.osu.edu/variables/393506,-,VAR,0.3,0.0,0.78631,4.0
2236015,40162083,19,T,03,3,3,0,4,4,2020-02-06 14:34:49.863000+00:00,2a1eebd5-62f2-46e1-9317-a4612c763b94,1,19,40162083,*  17 Aur,T,EB*|SB*|V*|*|IR|UV,E,,5.0,3833,B,0,AR Aur,T,EA/DM,4.134651,0.055446,1.0,,,-,,,,,
2353789,32614111,8,-,05,5,6,1,7,7,2019-05-08 20:16:02.170000+00:00,820e2c13-7114-400b-b92e-8ac7d96bc891,3,"8,8,8","32614111,32614101,32614106",TYC 6597-1946-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
2372579,36038287,13,-,01,1,2,1,3,3,2020-04-30 19:54:16.207000+00:00,205ae6db-6ea2-41c7-a93a-eaaa9aa6de4c,1,13,36038287,TYC 6887-1750-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
2527981,50185431,27,-,02,2,2,0,3,3,2020-10-04 20:42:14.375000+00:00,544e30fc-dead-4750-bb79-e2270bc9c57b,1,27,50185431,,-,,,,,,,,,-,,,,,,,-,,,,,
2595273,40137698,19,-,00-,0,1,1,1,1,2020-02-04 21:40:32.692000+00:00,47aa0061-d8e2-4a2e-9022-491bd989628f,1,19,40137698,TYC 2394-2013-1,-,PM*|*|IR,,,3.0,,,,,-,,,,,,,-,,,,,
2758565,51650097,29,-,00-,-2,1,3,5,5,2020-11-19 23:29:06.359000+00:00,daa0d170-4bf1-4806-89f0-45a6656678f7,1,29,51650097,UCAC4 363-201683,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
2760219,51649983,29,-,00-,-1,1,2,3,4,2020-11-24 13:26:33.529000+00:00,dce444fc-2f27-4d72-af04-135eef7844d1,1,29,51649983,TYC 6404-55-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
2776520,40137804,19,-,01,1,1,0,2,2,2020-02-15 15:56:10.768000+00:00,cc995742-2b4e-44f5-a380-a3253d1dd3c8,1,19,40137804,HD  34923,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
3034524,40163764,19,T,02,2,2,0,2,2,2020-02-09 14:48:52.250000+00:00,c8466717-f9b8-4777-a15a-8f77aceef85b,1,19,40163764,V* QZ Aur,T,EB*|No*|V*|*|IR,,,3.0,,,,,-,,,,,,,-,,,,,
3060481,60049026,35,-,02,2,2,0,3,3,2021-04-19 17:45:43.994000+00:00,a956795c-5df7-48ad-bf9c-5b6076d50ac7,1,35,60049026,TYC 7164-702-1,-,*|IR,,,3.0,,,,,-,,,,,,,-,,,,,
3311888,40150634,19,T,01,1,1,0,2,2,2020-02-08 13:12:10.999000+00:00,e44fd169-0d41-4e7d-8b8f-c7e0c1a4e90f,1,19,40150634,HD  35921,T,**|EB*|**|SB*|V*|Em*|*|IR|UV,E,,1.0,4035,B,0,LY Aur,T,EB/SD,4.0024932,0.223648,1.0,J052942.67+352231.5,https://asas-sn.osu.edu/variables/210555,T,EW,0.803,4.0035336,1.556651,2.0
3539074,35157659,12,-,01,1,1,0,1,1,2019-08-01 23:02:12.126000+00:00,2ae4b89a-cf77-490f-8dbb-47c896f06765,1,12,35157659,HD 146907,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
3815360,52590145,30,-,05,5,6,1,9,9,2020-12-25 16:00:06.694000+00:00,88d7ccc3-a824-4e2f-8094-0a14a4c33bb1,3,"30,3,3","52590145,29734856,29734863",HD   3834,-,PM*|*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
3816260,29713433,3,T,02,2,2,0,5,5,2019-01-31 16:53:02.684000+00:00,3e9034bf-3b3b-492e-90ec-6a4931dcec82,2,"3,3","29713433,29713452",BD-07    99,-,*|IR,,,5.0,73698,B,0,ASAS J004032-0628.9,T,EA,2.62571,0.10233,1.0,J004032.42-062851.7,https://asas-sn.osu.edu/variables/184951,-,VAR,0.74,420.4886012,0.583134,4.0
3836983,52623540,30,F,01,1,1,0,1,1,2020-12-04 06:14:36.275000+00:00,8827a5bb-3e0d-45e1-a555-c0b7c6486e02,1,30,52623540,UCAC2  29574204,-,*|IR,,,5.0,,,,,-,,,,,J004149.62-060556.8,https://asas-sn.osu.edu/variables/AP16775532,F,ROT,0.991,0.3541177,0.301509,4.0
3921749,29734114,3,-,03,3,3,0,5,5,2019-01-30 20:47:44.962000+00:00,ce231375-d4d3-4b60-9aed-512fd8231eda,4,"3,30,3,3","29734114,52571369,29734101,29734107",PM J00473-0626,-,PM*|PM*|*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
4030617,65551369,39,-,02,2,2,0,2,2,2021-08-09 14:42:59.676000+00:00,5bc6e9e1-063c-4da4-9e4b-f0438564e4ba,1,39,65551369,CD-53  6649,-,*|IR,,,3.0,,,,,-,,,,,,,-,,,,,
4164713,40858328,20,T,01,1,1,0,2,2,2020-03-08 11:54:15.439000+00:00,0fad9557-e9ed-4d26-87d0-1978a610eeb4,1,20,40858328,HD  60987A,F,dS*|V*|**|*|IR|UV|X,E,,5.0,14639,B,0,V0345 Gem,T,EW,0.2747736,0.051578,1.0,J073830.22+334243.0,https://asas-sn.osu.edu/variables/74718,-,VAR,0.719,649.9319065,1.513685,4.0
4200337,56365918,32,F,06,6,6,0,6,6,2021-02-06 23:09:53.108000+00:00,342393b8-983f-4c87-9a08-38285f7a361e,1,32,56365918,,-,,,,,371037,B,0,CSS_J052244.8-010231,F,BY,8.1641168,0.022378,1.0,J052244.88-010231.9,https://asas-sn.osu.edu/variables/212383,F,ROT,0.992,8.152767,0.428608,1.0
4205427,56364900,32,-,01,1,2,1,4,4,2021-02-07 16:41:42.880000+00:00,3293b5d3-cc5a-4741-bc3d-f076215e7793,1,32,56364900,Gaia EDR3 3214129571848636288,-,*|Y*?,,0.001822,3.0,,,,,-,,,,,,,-,,,,,
4206238,31352729,6,T,01,1,1,0,1,1,2019-03-17 22:44:11.234000+00:00,bc2707e7-7d55-4bfb-8130-e5863ded7309,1,6,31352729,HD 290380,-,V*|*|IR,,,5.0,477941,B,0,PDS 110,T,E+TTS,808.6,0.000344,1.0,J052330.94-010424.1,https://asas-sn.osu.edu/variables/212354,-,YSO,0.478,0.0,1.129986,4.0
4207747,56365267,32,-,03,3,4,1,4,4,2021-02-06 12:53:07.997000+00:00,a4fef42f-956c-4522-b2fc-120200cf0fbf,2,"32,6","56365267,31330630",HD  35317,-,**|*|IR|UV|X,,,3.0,,,,,-,,,,,,,-,,,,,
4250265,56371346,32,-,00-,-4,1,5,8,9,2021-02-06 20:46:17.751000+00:00,635311bc-4982-4ffa-9b4f-14a6637bee19,1,32,56371346,Gaia EDR3 3214130980598392960,-,*|Y*?,,0.003304,3.0,,,,,-,,,,,,,-,,,,,
4254645,31360036,6,T,01,1,1,0,1,1,2019-03-15 18:52:55.139000+00:00,af95d915-d48e-4bd6-a92b-34164253b3e1,2,"6,6","31360036,31360048",* eta Ori,T,bC*|EB*|**|Em*|V*|*|IR|UV|X,,,3.0,24714,B,0,eta Ori,T,EA+BCEP:,7.989268,0.03514,1.0,,,-,,,,,
4289780,31321007,6,-,00-,0,1,1,1,1,2019-03-16 15:29:36.692000+00:00,73dc2d2b-0fe6-4529-b070-f64e64a05e22,1,6,31321007,HD  35502,-,SB*|**|*|*|IR|UV,,,5.0,,,,,-,,,,,,,-,,,,,
4299830,40881629,20,-,02,2,3,1,4,4,2020-03-10 03:08:37.169000+00:00,02374910-2cb8-42c2-8e22-d8c071a62330,1,20,40881629,TYC 2454-358-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
4351705,56375563,32,-,00-,-6,1,7,8,8,2021-02-08 22:25:28.688000+00:00,f3af6530-5fe1-43e0-9755-f6fa6884371f,1,32,56375563,TYC 4761-163-1,-,*|IR,,,5.0,,,,,-,,,,,,,-,,,,,
4616072,31818815,7,T,01,1,1,0,3,3,2019-04-17 18:10:15.471000+00:00,d422cf74-940d-4c75-bdfc-23f2500eddd0,3,"7,7,7","31818815,31818810,31818801",HATS-45,-,*|IR,,,5.0,1546401,,0,HATS-45,T,EP,4.1876244,0.010593,1.0,,,-,,,,,
