MAIN_ID,TIC_ID,OTYPES,V__vartyp,V__LoVmax,V__Vmax,V__R_Vmax,V__magtyp,V__UpVmin,V__Vmin,V__R_Vmin,V__UpPeriod,V__period,V__R_period,V__epoch,V__R_epoch,V__D_rt,V__R_D_rt,V__bibcode,RA,DEC,PLX_VALUE,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_R,FLUX_G,FLUX_J,IDS,angDist,Match_Method,Match_Score,Match_Mag,Match_PM,Match_Plx,Match_Aliases,Match_Mag_Band,Match_Mag_Diff,Match_PMRA_DiffPct,Match_PMDEC_DiffPct,Match_Plx_DiffPct,Match_Aliases_NumMatch
TYC 6036-1000-1,5342415,*|IR,,,,,,,,,,,,,,,,,138.8401357279,-19.30738653256,2.584,-27.096,-10.303,11.7,11.0,,11.193496,10.209,2MASS J09152162-1918266|TIC 5342411|TYC 6036-1000-1|Gaia DR2 5679950320312204032|Gaia EDR3 5679950320312204032|Gaia DR1 5679950316016042240,34.135392,co,-4,F,F,-,F,Vmag,5.5,50.788231020704686,133.89144736842107,,0
,5724891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
,6518047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
V* BQ Phe,7203983,SX*|SB*|SB*|V*|*|IR,,,,,,,,,,,,,,,,,6.35060059965,-46.92418139538,3.685,11.629,18.456,10.98,10.41,,10.339176,9.509,CD-47   106|CF   107|CPD-47    37|GSC 08023-00828|HD   2145|HIC   2005|HIP   2005|2MASS J00252413-4655270|PPM 304861|SBC9 2729|TIC 7203984|TYC 8023-828-1|V* BQ Phe|Gaia DR2 4979034472472206080|Gaia EDR3 4979034472472753536|Gaia DR1 4979034468175208576,7.149869,co,-1,F,T,T,F,Vmag,3.9444,9.694094120532382,1.973048085795264,0.2676669670815628,0
,7439481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
Gaia EDR3 1329225518357845760,8413737,*,,,,,,,,,,,,,,,,,245.82230187192,35.15283380097,0.4166,-2.451,-0.512,,,,20.164768,,Gaia DR2 1329225518357845760|Gaia EDR3 1329225518357845760,104.272036,co,-5,F,F,F,F,GAIAmag,5.739167999999999,102.92974002890293,99.512236946146,97.98672961962431,0
2MASS J04262630+5444507,8772485,HB*|*|IR,,,,,,,,,,,,,,,,,66.609619,54.747444,,,,,,,,13.158,2MASS J04262630+5444507|TIC 8772425,110.891568,co,-1,-,-,-,F,,,,,,0
,9028002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
,9054318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
,9067143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
ATO J062.0578-05.7571,9172417,V*,SIN,,12.707083,,o,,12.743693,,,,,,,,,2018AJ....156..241H,62.05785,-5.75716,,,,,,,,,ATO J062.0578-05.7571,2.395288,co,-1,-,-,-,F,,,,,,0
,10823084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
,10932621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
