rank,cum_num_subjects,cum_num_subjects %
1,11054,0.3896918846506381
2,12881,0.45409997884791653
3,13573,0.4784953817951068
4,14268,0.5029965451596983
5,14883,0.5246774307269266
6,15472,0.545441726010012
7,15752,0.5553126983007827
8,15944,0.5620813650144539
9,16365,0.5769230769230769
10,16766,0.5910597193823591
11,16794,0.5920468166114362
12,17053,0.6011774659803991
13,17203,0.6064654868504548
14,17278,0.6091094972854826
15,17559,0.6190157230487203
16,17724,0.6248325460057815
17,17851,0.6293097370090954
18,17974,0.6336459141225411
19,18009,0.6348797856588874
20,18125,0.6389691884650638
21,18309,0.6454558273989988
22,18561,0.6543397024606924
23,18760,0.6613551434816329
24,18845,0.6643516886413312
25,18965,0.6685821053373757
26,19086,0.6728477755058874
27,19196,0.6767256574772615
28,19282,0.6797574561094267
29,19382,0.6832828033561306
30,19397,0.6838116054431361
31,19474,0.6865261228230981
32,19541,0.6888881054783896
33,19662,0.6931537756469012
34,19719,0.6951632235775224
35,19787,0.697560459705281
36,19846,0.6996404145808363
37,19893,0.701297327786787
38,20038,0.7064090812945075
39,20086,0.7081012479729253
40,20150,0.7103574702108157
41,20228,0.7131072410632447
42,20249,0.7138475639850526
43,20299,0.7156102376084045
44,20329,0.7166678417824156
45,20373,0.7182189945709653
46,20490,0.7223436508496087
47,20521,0.7234365084960869
48,20581,0.7255517168441091
49,20672,0.7287597828386096
50,20787,0.7328139321723189
51,20883,0.7361982655291546
52,20911,0.7371853627582317
53,20959,0.7388775294366495
54,21014,0.7408164704223366
55,21061,0.7424733836282874
56,21125,0.7447296058661779
57,21142,0.7453289148981175
58,21224,0.7482196996404146
59,21302,0.7509694704928436
60,21353,0.7527673975886625
61,21428,0.7554114080236903
62,21524,0.758795741380526
63,21575,0.7605936684763449
64,21622,0.7622505816822958
65,21637,0.7627793837693013
66,21667,0.7638369879433125
67,21726,0.7659169428188677
68,21783,0.7679263907494889
69,21838,0.7698653317351759
70,21864,0.7707819220193189
71,21872,0.7710639497990552
72,21928,0.7730381442572093
73,22017,0.7761757033067758
74,22029,0.7765987449763802
75,22138,0.7804413734752873
76,22219,0.7832969047451174
77,22247,0.7842840019741945
78,22275,0.7852710992032715
79,22301,0.7861876894874145
80,22318,0.7867869985193542
81,22341,0.787597828386096
82,22347,0.7878093492208983
83,22366,0.788479165197772
84,22428,0.7906648804907284
85,22472,0.792216033279278
86,22481,0.7925333145314813
87,22500,0.7932031305083551
88,22535,0.7944370020447014
89,22581,0.7960586617781852
90,22662,0.7989141930480153
91,22671,0.7992314743002186
92,22689,0.7998660368046252
93,22737,0.8015582034830431
94,22762,0.802439540294719
95,22794,0.8035676514136643
96,22836,0.8050482972572799
97,22847,0.8054360854544172
98,22914,0.8077980681097088
99,22991,0.8105125854896708
100,23004,0.8109708806317423
