TIC_ID,OID,n_OID,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,l_Period,Period,u_Period,RAJ2000,DEJ2000,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
310897084,1503427,,ASASSN-V J051951.86+694053.8,0,EA,,13.64,,V,,,13.8,,V,,0.818856,,79.9661,69.68161,43.456555,-1,V,2.0
311357432,1706443,,ZTF J163222.63+243917.2,0,BY,,15.481,,g,(,,0.055,,g,,7.2590886,,248.09431,24.65479,37.947048,-1,B,5.484
312353805,1660964,,ZTF J055433.93+311113.2,0,RS,,18.005,,r,(,,0.142,,r,,4.4009997,,88.64139,31.187,100.943658,-1,GAIA,7.945399999999999
312471472,734055,,ASASSN-V J005140.31+563033.4,0,EA,,13.24,,V,,,13.51,,V,,3.1038,,12.91794,56.50927,30.30392,-1,V,2.860000000000001
312486827,631388,B,WISE J201338.3+415113,0,EA,,15.968,,r,(,,0.649,,r,,3.8342366,,303.40992,41.8539,20.727283,-1,GAIA,1.9331999999999994
312907176,610015,B,ASASSN-V J121136.18-684944.9,0,EA,,12.38,,V,,,12.72,,V,,1.51583,,182.90066,-68.82914,24.284532,-1,V,3.2799999999999994
312908709,464237,B,GDS_J1327226-610338,0,VAR,,15.6,,i,(,,3.94,,i,,,,201.84427,-61.06056,53.667566,-1,T,7.0875
313025849,608279,B,NEV123,0,EW,,13.0,,V,,,13.15,,V,,0.320939,,143.27096,74.61567,39.107116,-1,V,3.16
313323495,229183,B,NSVS 5116786,0,VAR,,10.59,,R1,(,,0.41,,R1,,12.67170975,,214.65144,48.83243,89.602204,-1,GAIA,1.1998999999999995
313704601,2135902,,ZTF J230036.65+595616.4,0,EA,,16.934,,r,(,,0.775,,r,,3.647312,,345.15273,59.93789,115.784025,-1,r,2.5950000000000006
314232607,731928,,ASASSN-V J150159.26-511143.5,0,ROT,,14.55,,V,,,14.71,,V,,2.5232,,225.4969,-51.19541,40.111106,-1,V,2.665000000000001
