TIC,m_TIC,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,Sectors,UpDate,tesseb_source
91961,1,1602.8227,0.000236619,5.2826248,0.00012125355,0.175,0.017,0.22,1.0,0.017,0.085,0.5,0.02428,0.198,2.102e-05,0.026,0.122,0.5002,11,2021-09-16T17:36:42,J/ApJS/258/16/tess-ebs
120016,1,1600.078662,0.04843512,0.3263708,2.9383113e-06,0.849,0.168,0.058,1.003,0.178,0.044,0.489,0.2197,0.142,0.4973,,,,11,2021-09-16T17:36:39,J/ApJS/258/16/tess-ebs
627436,1,1438.295848,0.0002658861,0.5789058,8.4672994e-07,0.817,0.13,0.119,0.9974,,,,,,,,,,"5,32",2021-09-16T17:40:35,J/ApJS/258/16/tess-ebs
737546,1,1438.135292,0.0001628426,3.0677452,9.8834328e-05,0.568,0.114,0.291,0.9999,0.107,0.036,0.5,0.1827,0.335,0.9999,0.15,0.069,0.5001,5,2021-09-16T17:40:35,J/ApJS/258/16/tess-ebs
1045298,1,1411.144468,0.001282512,1.4634139,7.6419268e-06,0.641,0.148,0.198,0.9972,0.149,0.193,0.497,0.2415,0.253,0.9981,0.238,0.249,0.4969,4,2021-09-16T17:40:28,J/ApJS/258/16/tess-ebs
1103432,1,1518.136475,0.03344959,3.7260484,0.0022954886,0.319,0.036,0.008,0.9971,,,,0.06157,0.019,0.9959,0.097,0.005,0.529,8,2021-09-16T17:40:49,J/ApJS/258/16/tess-ebs
1129033,1,1410.945897,0.03887532,1.3600996,7.0822175e-05,0.497,0.06,0.015,0.9603,,,,0.1106,0.022,0.989,,,,"4,31",2021-09-16T17:41:09,J/ApJS/258/16/tess-ebs
1129452,1,1411.497547,0.04503368,0.7140171,7.9756875e-06,0.988,0.27,0.033,0.9883,0.277,0.027,0.482,,,,,,,4,2021-09-16T17:41:00,J/ApJS/258/16/tess-ebs
1190662,1,1517.371274,0.1918392,0.8879691,0.00020110941,0.281,,,0.5555,,,0.529,0.01028,0.031,0.5555,0.074,0.014,0.739,"8,35",2021-09-16T17:39:46,J/ApJS/258/16/tess-ebs
1202347,1,1519.656909,0.0008903493,4.1505025,0.00026343046,0.354,0.035,0.046,0.9996,0.036,0.034,0.5,0.05326,0.049,5.521e-05,0.05,0.043,0.5001,8,2021-09-16T17:39:49,J/ApJS/258/16/tess-ebs
1220444,1,1440.634408,0.0001138322,7.1620656,0.00012987684,0.173,0.02,0.047,0.9999,0.253,0.004,0.052,0.02841,0.046,0.9999,,,,5,2021-09-16T17:40:04,J/ApJS/258/16/tess-ebs
1230647,1,1517.562069,0.0006802927,1.1897403,5.9100127e-05,0.586,0.046,0.016,0.9997,,,,0.07624,0.026,0.0001316,,,,8,2021-09-16T17:40:49,J/ApJS/258/16/tess-ebs
1449640,1,1440.419896,0.009819433,3.5017948,7.433018e-06,0.396,0.041,0.006,0.9976,,,,0.07708,0.019,0.001282,,,,"5,32",2021-09-16T17:40:35,J/ApJS/258/16/tess-ebs
1450518,1,1438.085617,0.001028508,0.3337474,4.4925933e-06,0.65,0.143,0.242,0.9993,0.152,0.222,0.497,0.3257,0.335,0.002433,0.25,0.333,0.4971,5,2021-09-16T17:40:36,J/ApJS/258/16/tess-ebs
1630438,1,1571.250526,8.158023e-05,0.3905231,1.0653831e-06,0.989,0.249,0.028,0.9995,0.218,0.026,0.499,,,,,,,10,2021-09-16T17:36:34,J/ApJS/258/16/tess-ebs
1630690,1,1571.173452,6.079732e-05,0.4136605,1.2487834e-06,0.965,0.254,0.061,0.9993,0.228,0.058,0.5,,,,,,,10,2021-09-16T17:36:27,J/ApJS/258/16/tess-ebs
2020964,1,1519.302412,1.130798e-05,2.9423359,5.6795304e-06,0.559,,,1.011,,,0.929,0.1978,0.338,0.9998,,,,8,2021-09-16T17:39:47,J/ApJS/258/16/tess-ebs
2236015,1,1819.171258,6.238681e-06,4.1346604,1.0390411e-05,0.373,0.046,0.394,1.0,0.048,0.367,0.5,0.06557,0.44,1.0,0.068,0.407,0.5,19,2021-09-16T17:38:34,J/ApJS/258/16/tess-ebs
2353789,1,1518.763729,0.0004529748,1.8717,6.1951831e-05,0.425,0.05,0.027,0.9999,,,,0.07242,0.031,8.06e-05,,,,8,2021-09-16T17:39:48,J/ApJS/258/16/tess-ebs
2372579,1,1664.784822,0.0005659959,9.9210976,0.00018441877,0.082,0.013,0.152,1.0,0.143,0.005,0.317,0.01795,0.167,0.9999,,,,13,2021-09-16T17:36:59,J/ApJS/258/16/tess-ebs
2595273,1,1817.123506,0.02344372,2.1129222,0.0085716638,0.421,0.062,0.004,0.9939,,,,,,,,,,19,2021-09-16T17:38:31,J/ApJS/258/16/tess-ebs
2758565,1,1359.372388,0.004343228,3.7685478,0.0098131281,0.658,0.301,0.014,0.9986,,,,0.05706,0.025,0.2952,,,,29,2021-09-16T17:41:11,J/ApJS/258/16/tess-ebs
3034524,1,1816.367296,0.0007693107,0.3574713,1.2874747e-05,0.556,0.115,3.624,1.005,,,,0.2024,5.531,0.001823,,,,19,2021-09-16T17:38:33,J/ApJS/258/16/tess-ebs
3311888,1,1817.773518,0.008957788,4.0010398,0.00085098744,0.72,0.12,0.221,1.003,0.118,0.173,0.504,0.258,0.416,0.000567,0.264,0.368,0.5059,19,2021-09-16T17:38:30,J/ApJS/258/16/tess-ebs
3815360,1,1378.712211,3.24272,19.5810469,8.1378931e-05,0.06,,,0.9998,,,0.77,0.01212,0.009,0.7741,0.011,0.003,0.2653,"3,30",2021-09-16T17:39:20,J/ApJS/258/16/tess-ebs
3816260,1,1390.527157,0.0007244124,13.1278709,0.00020840174,0.122,0.017,0.224,1.0,0.02,0.18,0.79,0.02512,0.239,1.0,0.029,0.192,0.7895,3,2021-09-16T17:39:15,J/ApJS/258/16/tess-ebs
3921749,1,1388.675623,0.005251391,5.6112212,4.6898898e-05,0.175,0.02,0.304,0.999,0.02,0.183,0.499,0.02777,0.34,0.9999,0.03,0.203,0.5,"3,30",2021-09-16T17:39:16,J/ApJS/258/16/tess-ebs
4164713,1,1842.988383,0.0002849694,0.2747868,5.8734312e-06,0.832,0.179,0.069,1.0,0.168,0.048,0.499,,,,,,,20,2021-09-16T17:38:38,J/ApJS/258/16/tess-ebs
4206238,1,1483.133596,0.01957603,14.9741075,0.00069572651,0.267,0.041,0.058,0.9998,0.098,0.009,0.503,0.05318,0.064,0.001127,0.125,0.007,0.5008,"6,32",2021-09-16T17:40:59,J/ApJS/258/16/tess-ebs
4254645,1,1468.263848,0.1357227,4.0387948,0.033366851,0.535,,,,,,,0.1856,0.189,0.9955,,,,6,2021-09-16T17:40:44,J/ApJS/258/16/tess-ebs
4299830,1,1842.819366,0.0006246013,0.5341187,0.00022856389,0.427,,,,,,,,,,,,,20,2021-09-16T17:38:41,J/ApJS/258/16/tess-ebs
4629065,1,1420.376121,0.001482496,11.794327,0.00089885413,0.279,0.028,0.227,1.0,0.03,0.219,0.5,0.04151,0.249,0.0003534,0.042,0.242,0.4999,4,2021-09-16T17:39:23,J/ApJS/258/16/tess-ebs
4723156,1,1409.155739,0.001996768,9.4901054,2.8082416e-05,0.026,0.009,0.343,0.9995,0.006,0.322,0.444,0.01331,0.386,0.9997,0.008,0.378,0.4442,"4,31",2021-09-16T17:39:27,J/ApJS/258/16/tess-ebs
4742129,1,1410.979939,0.001142936,2.0720163,3.4469785e-06,0.375,0.045,0.448,0.9993,0.045,0.331,0.499,0.06666,0.493,0.9999,0.062,0.373,0.5,"4,31",2021-09-16T17:39:27,J/ApJS/258/16/tess-ebs
4957914,1,1871.177899,0.0005892405,1.2463608,3.1412682e-05,0.503,0.028,0.042,1.001,,,,0.04976,0.114,0.0004076,,,,21,2021-09-16T17:38:48,J/ApJS/258/16/tess-ebs
4971740,1,1871.100901,0.003607402,0.8677957,0.00022076412,0.36,0.139,0.001,1.011,,,,0.2157,0.001,0.00693,,,,21,2021-09-16T17:38:50,J/ApJS/258/16/tess-ebs
5092088,1,1522.611897,0.002991841,10.125882,5.8864412e-05,0.231,0.027,0.311,1.0,0.026,0.166,0.501,0.03854,0.346,0.9999,0.039,0.18,0.5,"8,9,35,36",2021-09-16T17:38:54,J/ApJS/258/16/tess-ebs
5205367,1,2011.595338,0.001014604,3.9928126,0.00052055085,0.485,0.074,0.431,1.0,0.072,0.147,0.502,0.105,0.468,0.9997,0.112,0.159,0.5,26,2021-09-16T17:41:35,J/ApJS/258/16/tess-ebs
5364915,1,1524.437252,0.0001808346,11.1448055,0.00064807519,0.159,0.018,0.025,1.0,0.02,0.011,0.493,0.02581,0.029,1.025e-05,0.029,0.013,0.4929,8,2021-09-16T17:39:50,J/ApJS/258/16/tess-ebs
5506314,1,1552.394236,0.002574796,8.2539175,0.0047170139,1.016,0.306,0.035,1.002,0.258,0.03,0.496,,,,,,,9,2021-09-16T17:40:52,J/ApJS/258/16/tess-ebs
5703872,1,1517.517526,0.007556941,16.2814462,0.0023189036,0.163,0.017,0.059,0.6969,0.024,0.009,0.999,0.02787,0.063,0.6973,,,,"8,9",2021-09-16T17:38:58,J/ApJS/258/16/tess-ebs
5868998,1,1571.067575,0.1425368,0.6356447,0.00011728278,0.443,0.057,0.014,1.06,,,,0.09831,0.031,0.8332,,,,"10,37",2021-09-16T17:36:29,J/ApJS/258/16/tess-ebs
5969274,1,1570.686811,0.009326106,1.0579672,1.4944928e-05,0.528,0.11,0.001,0.9716,,,,0.1339,0.007,0.9641,,,,"10,37",2021-09-16T17:40:53,J/ApJS/258/16/tess-ebs
5981829,1,1571.120876,0.0002906114,1.799076,4.8356671e-05,0.607,0.105,0.088,0.9999,0.102,0.013,0.499,0.1675,0.11,3.602e-05,0.168,0.032,0.5,10,2021-09-16T17:36:20,J/ApJS/258/16/tess-ebs
6400274,1,1656.304618,2.381049e-05,1.211232,3.4399058e-06,0.512,0.08,0.182,1.0,0.083,0.168,0.5,0.1194,0.205,9.052e-05,0.12,0.193,0.5,13,2021-09-16T17:36:59,J/ApJS/258/16/tess-ebs
6518047,1,1492.548449,0.002049107,1.8513319,0.00029967897,0.489,0.078,0.031,1.042,0.101,0.021,0.595,0.1097,0.027,0.04222,0.131,0.027,0.5965,7,2021-09-16T17:39:39,J/ApJS/258/16/tess-ebs
6667908,1,1660.802817,0.010785,14.4434464,0.00917632,0.298,0.028,0.003,0.9994,,,,0.03982,0.003,0.9999,,,,13,2021-09-16T17:36:55,J/ApJS/258/16/tess-ebs
7211118,1,1492.559937,3.57427e-05,1.4462609,1.5770818e-05,0.534,0.096,0.266,1.0,0.1,0.065,0.5,0.1478,0.279,1.0,0.149,0.078,0.5,7,2021-09-16T17:39:42,J/ApJS/258/16/tess-ebs
7418947,1,1411.183765,0.00224297,1.007808,0.00024209001,0.732,0.137,0.001,0.9891,,,,0.3297,0.004,0.9959,,,,"4,5,6",2021-09-16T17:40:44,J/ApJS/258/16/tess-ebs
7695666,1,1429.243404,3.96088e-05,17.5537009,0.00093310451,0.093,0.015,0.351,1.0,0.018,0.32,0.164,0.0213,0.372,1.564e-05,0.026,0.338,0.1638,"4,5",2021-09-16T17:39:25,J/ApJS/258/16/tess-ebs
7724421,1,1411.237833,0.001740103,0.6405998,9.4023796e-07,0.822,0.167,0.071,1.003,0.17,0.04,0.501,0.3716,0.124,0.9998,0.378,0.094,0.5003,"4,5,31,32",2021-09-16T17:40:28,J/ApJS/258/16/tess-ebs
7849727,1,1684.163234,1.503565e-05,0.993305,3.8278515e-08,0.635,0.133,0.197,1.001,0.132,0.187,0.501,0.2112,0.249,0.000958,0.21,0.238,0.5011,"14,26",2021-09-16T17:37:03,J/ApJS/258/16/tess-ebs
7851729,1,2009.803495,0.0001381056,1.2526446,3.6862608e-05,0.614,0.123,0.313,0.9993,0.123,0.307,0.5,0.2067,0.396,0.9994,0.2,0.391,0.5001,26,2021-09-16T17:41:35,J/ApJS/258/16/tess-ebs
7854182,1,1983.743828,1.887316e-05,0.866021,1.0320994e-06,0.615,0.14,0.365,1.0,0.132,0.071,0.501,0.2338,0.432,2.775e-05,0.2,0.126,0.5014,"25,26",2021-09-16T17:41:32,J/ApJS/258/16/tess-ebs
8200343,1,1873.158979,0.0002677912,12.9845622,0.0010257923,0.086,0.013,0.23,0.9982,0.013,0.074,0.522,0.01856,0.248,0.9982,0.018,0.077,0.5223,21,2021-09-16T17:38:49,J/ApJS/258/16/tess-ebs
8245065,1,1870.756682,0.0003027244,0.3280228,1.0588274e-05,0.748,0.154,0.026,1.0,0.146,0.022,0.502,0.3348,0.044,0.9995,0.288,0.04,0.5,21,2021-09-16T17:38:47,J/ApJS/258/16/tess-ebs
8592033,1,1957.720621,0.0002223034,4.3435903,9.2041058e-06,0.629,0.127,0.443,1.0,0.111,0.264,0.501,0.2023,0.573,1.0,0.195,0.377,0.5007,"24,25",2021-09-16T17:40:08,J/ApJS/258/16/tess-ebs
8624617,1,1956.305561,0.004532815,4.9057067,0.00044731689,0.602,0.115,0.504,0.9987,0.098,0.097,0.496,0.1799,0.62,0.9978,0.201,0.188,0.4968,"24,25",2021-09-16T17:40:15,J/ApJS/258/16/tess-ebs
8669966,1,1983.738483,0.000126678,3.3944543,2.5431434e-05,0.9,0.35,0.016,0.5024,,,,0.05611,0.017,6.802e-05,0.04,0.013,0.5016,25,2021-09-16T17:41:31,J/ApJS/258/16/tess-ebs
8673277,1,1956.079063,4.009258e-05,0.4211697,6.598578e-07,0.804,0.119,0.038,1.0,0.146,0.034,0.501,0.2947,0.086,0.0001022,0.288,0.084,0.5018,"24,25",2021-09-16T17:41:28,J/ApJS/258/16/tess-ebs
8677671,1,1871.454057,0.000264684,1.1159766,5.5326957e-06,0.564,0.121,0.528,0.9998,0.112,0.083,0.498,0.1904,0.608,1.253e-05,0.171,0.133,0.4979,21,2021-09-16T17:38:46,J/ApJS/258/16/tess-ebs
8766412,1,1872.532706,0.04837165,2.319333,0.00017259606,0.909,0.249,0.007,1.001,0.238,0.004,0.489,,,,,,,21,2021-09-16T17:38:46,J/ApJS/258/16/tess-ebs
8769657,1,1870.51488,0.0004187868,0.4264695,6.4376525e-06,0.574,0.092,0.165,1.0,0.093,0.16,0.499,0.1369,0.199,0.0009579,0.142,0.192,0.5001,21,2021-09-16T17:38:50,J/ApJS/258/16/tess-ebs
8895896,1,1818.457581,0.01269529,12.8580885,0.0040112155,0.198,0.014,0.022,1.001,,,,0.03814,0.051,1.0,,,,19,2021-09-16T17:38:31,J/ApJS/258/16/tess-ebs
8989778,1,1354.732595,0.0008286355,0.6127979,6.2484403e-07,0.791,0.12,0.087,0.9983,,,,,,,,,,2,2021-09-16T17:40:20,J/ApJS/258/16/tess-ebs
9033144,1,1557.028333,0.0006467433,14.1451608,9.4685776e-05,0.122,0.009,0.007,1.0,0.011,0.006,0.335,0.01113,0.007,0.0004953,0.015,0.006,0.3348,"2,29",2021-09-16T17:40:20,J/ApJS/258/16/tess-ebs
9036901,1,1930.550945,0.0002680471,3.4130085,5.09421e-05,0.599,0.094,0.207,1.0,0.076,0.026,0.501,0.1504,0.271,1.0,0.132,0.08,0.5,"23,24",2021-09-16T17:39:08,J/ApJS/258/16/tess-ebs
9054370,1,1357.135305,0.005068749,3.1899595,1.8576749e-05,0.29,0.031,0.037,1.002,0.03,0.033,0.501,0.04395,0.043,1.0,0.045,0.039,0.5,"2,29",2021-09-16T17:39:15,J/ApJS/258/16/tess-ebs
9058724,1,1934.712606,0.0001617631,3.5605419,4.275552e-05,0.442,0.038,0.11,1.0,0.04,0.092,0.5,0.06597,0.117,0.0005596,0.05,0.104,0.5,23,2021-09-16T17:39:06,J/ApJS/258/16/tess-ebs
9070070,1,1354.608867,1.731614e-05,0.4814247,1.8681029e-06,0.831,0.145,0.113,0.9999,0.176,0.1,0.5,0.2937,0.199,0.9999,0.29,0.187,0.501,2,2021-09-16T17:41:26,J/ApJS/258/16/tess-ebs
9172417,1,1438.039329,3.898223e-05,0.2451915,5.834723e-07,0.655,0.089,0.049,0.9985,0.087,0.04,0.496,0.1531,0.076,0.9987,0.141,0.067,0.4952,5,2021-09-16T17:40:36,J/ApJS/258/16/tess-ebs
9209932,1,1354.712968,0.1452655,3.5225329,0.0010700152,0.45,,,1.014,,,0.077,0.05005,0.01,0.01043,,,,2,2021-09-16T17:39:17,J/ApJS/258/16/tess-ebs
9361438,1,1875.749082,7.178227e-05,8.6077407,0.0001596831,0.14,0.021,0.272,1.0,0.021,0.095,0.515,0.0284,0.286,1.0,0.03,0.094,0.5149,21,2021-09-16T17:38:46,J/ApJS/258/16/tess-ebs
9380768,1,1439.531668,0.0003178876,1.6222184,1.5035536e-05,0.459,0.058,0.278,1.001,0.058,0.255,0.501,0.08309,0.304,0.0008113,0.085,0.276,0.5006,5,2021-09-16T17:40:04,J/ApJS/258/16/tess-ebs
9381557,1,1446.448142,0.0003940878,11.8221481,0.00054707404,0.48,0.055,0.121,1.0,0.059,0.058,0.5,0.09461,0.171,0.0001321,0.112,0.094,0.499,5,2021-09-16T17:40:02,J/ApJS/258/16/tess-ebs
9391285,1,1902.102903,0.0002392606,2.7525411,9.9678715e-06,0.303,0.041,0.158,1.0,0.04,0.035,0.5,0.05779,0.174,0.0001976,0.066,0.041,0.5,22,2021-09-16T17:39:03,J/ApJS/258/16/tess-ebs
9433212,1,1440.155582,0.0003663781,5.013448,2.0083642e-06,0.2,0.019,0.03,0.9996,,,,0.03063,0.041,0.9996,0.025,0.007,0.4999,"5,32",2021-09-16T17:40:06,J/ApJS/258/16/tess-ebs
9461737,1,1900.629627,0.0008495769,0.6369756,3.5754391e-05,0.574,0.115,0.119,0.9992,0.128,0.059,0.493,0.2175,0.221,0.0004705,0.22,0.123,0.4984,22,2021-09-16T17:39:02,J/ApJS/258/16/tess-ebs
9473243,1,1989.388849,0.0003034217,2.2669595,1.4774361e-05,0.536,0.112,0.906,0.9999,0.102,0.072,0.503,0.1727,0.978,4.324e-06,0.144,0.115,0.5031,"25,26",2021-09-16T17:41:31,J/ApJS/258/16/tess-ebs
9727392,1,1355.324723,0.001011278,4.5345679,4.0113163e-06,0.376,0.041,0.013,0.9931,,,,0.07507,0.027,0.9937,,,,"2,29",2021-09-16T17:40:20,J/ApJS/258/16/tess-ebs
9825731,1,1987.446729,2.884085e-05,0.5907443,1.1130921e-06,0.7,0.266,0.079,0.5044,,,,0.3192,0.214,1.0,0.291,0.081,0.5038,"25,26",2021-09-16T17:41:31,J/ApJS/258/16/tess-ebs
9845586,1,1410.776879,1.722441e-05,0.3601126,1.966342e-05,0.719,0.103,0.198,0.4949,,,,0.2641,0.463,0.9953,0.25,0.446,0.5,4,2021-09-16T17:40:28,J/ApJS/258/16/tess-ebs
9945183,1,1411.732541,2.21051e-05,1.5575895,1.8231478e-07,0.531,0.108,0.603,0.994,0.099,0.101,0.495,0.1588,0.691,0.0002053,0.157,0.148,0.5002,"4,31",2021-09-16T17:40:28,J/ApJS/258/16/tess-ebs
10057647,1,1842.808981,0.0001072634,16.26353,0.00025283682,0.076,0.011,0.329,1.0,0.024,0.099,0.305,0.01742,0.341,1.193e-06,0.035,0.132,0.305,20,2021-09-16T17:38:42,J/ApJS/258/16/tess-ebs
10393493,1,1983.753086,1.947159e-05,0.3604604,1.9491274e-07,0.789,0.111,0.096,0.4994,0.116,0.094,1.0,0.3493,0.322,0.9996,0.342,0.32,0.5006,"25,26",2021-09-16T17:41:30,J/ApJS/258/16/tess-ebs
10467747,1,2010.457011,0.0002136726,0.3026197,4.0858123e-06,0.53,0.093,0.01,1.001,0.102,0.01,0.501,0.1393,0.011,0.9999,0.152,0.01,0.4998,26,2021-09-16T17:41:11,J/ApJS/258/16/tess-ebs
10756751,1,1387.997727,0.0003967709,3.4885322,1.9306499e-05,0.571,0.113,0.282,1.0,0.105,0.046,0.501,0.1764,0.326,0.0001416,0.153,0.076,0.5015,3,2021-09-16T17:39:17,J/ApJS/258/16/tess-ebs
10838695,1,1386.671343,0.0001932989,2.3061233,7.4237137e-06,0.527,0.096,0.355,0.9997,0.088,0.022,0.5,0.1474,0.396,0.9998,0.123,0.043,0.5,3,2021-09-16T17:39:21,J/ApJS/258/16/tess-ebs
10891640,1,1685.068121,0.0002050717,6.1819688,0.016073933,0.522,,,0.988,,,1.044,0.1541,0.14,0.00373,,,,14,2021-09-16T17:39:53,J/ApJS/258/16/tess-ebs
11002748,1,1438.415691,0.0002291462,0.778715,1.8230502e-05,0.669,0.154,0.123,1.001,0.166,0.022,0.504,0.3031,0.162,0.0003027,0.238,0.061,0.5,5,2021-09-16T17:40:36,J/ApJS/258/16/tess-ebs
11070365,1,1492.277544,0.003129294,0.9020851,0.00018276248,0.56,0.176,0.193,1.005,,,,0.2557,0.205,0.007422,,,,7,2021-09-16T17:39:41,J/ApJS/258/16/tess-ebs
11113164,1,1712.92706,0.001859514,2.8391805,6.6817231e-05,0.629,0.118,0.547,1.0,0.108,0.242,0.5,0.2133,0.725,0.9993,0.186,0.418,0.4999,15,2021-09-16T17:37:36,J/ApJS/258/16/tess-ebs
11119600,1,1683.732028,6.691854e-05,1.2211942,5.7111933e-06,0.532,0.089,0.526,1.0,0.091,0.496,0.5,0.1331,0.602,0.9999,0.133,0.573,0.5,"14,15",2021-09-16T17:37:31,J/ApJS/258/16/tess-ebs
11286209,1,1468.138678,0.04193021,1.1909336,6.5718824e-05,0.572,0.15,0.028,0.9666,,,,0.2728,0.04,0.001832,0.309,0.025,0.4105,"6,32",2021-09-16T17:39:29,J/ApJS/258/16/tess-ebs
11437325,1,1790.806106,2.416667e-05,0.5733566,7.151794e-07,0.521,0.095,0.215,0.9999,0.092,0.086,0.504,0.1384,0.242,0.9996,0.147,0.103,0.5049,18,2021-09-16T17:38:13,J/ApJS/258/16/tess-ebs
11480287,1,1713.015398,0.0003958815,2.3168078,8.767091e-05,0.6,0.119,0.712,1.0,0.11,0.228,0.5,0.2113,0.878,1.0,0.171,0.386,0.5,15,2021-09-16T17:37:44,J/ApJS/258/16/tess-ebs
11480757,1,1711.550618,0.0006466542,0.404167,1.2562501e-06,0.862,0.166,0.109,0.9967,0.224,0.086,0.499,,,,,,,15,2021-09-16T17:37:41,J/ApJS/258/16/tess-ebs
11487334,1,1386.000092,0.008061016,0.3840273,0.00020145906,0.809,0.16,0.046,0.9768,,,,,,,,,,"3,30",2021-09-16T17:40:25,J/ApJS/258/16/tess-ebs
11491822,1,1851.927737,0.0006761397,9.9465911,0.00056464712,0.207,0.035,0.262,1.0,0.035,0.193,0.449,0.04931,0.277,4.506e-05,0.049,0.205,0.4493,20,2021-09-16T17:38:42,J/ApJS/258/16/tess-ebs
11546041,1,1386.326665,0.00322203,0.4068856,9.3858178e-05,0.778,0.162,0.054,1.001,,,,,,,,,,3,2021-09-16T17:40:25,J/ApJS/258/16/tess-ebs
11561667,1,1548.526144,0.3226843,3.0876595,1.7787204e-05,0.286,,,0.99,,,0.997,,,,,,,"9,35",2021-09-16T17:38:55,J/ApJS/258/16/tess-ebs
11598102,1,1386.004577,0.0004448988,0.4229058,4.2005072e-06,0.779,0.107,0.091,0.9997,0.11,0.083,0.5,0.3231,0.278,0.9986,0.301,0.27,0.5,3,2021-09-16T17:40:25,J/ApJS/258/16/tess-ebs
11704852,1,1713.36117,0.001579387,6.7712427,0.0013422004,0.548,0.11,0.956,1.0,0.099,0.082,0.502,0.1785,1.086,0.000212,0.129,0.17,0.5012,15,2021-09-16T17:37:37,J/ApJS/258/16/tess-ebs
11748495,1,1521.099907,0.0009883585,4.1615575,0.00013539923,0.514,,,1.004,,,0.418,0.1148,0.006,0.00165,,,,"8,34,35",2021-09-16T17:40:49,J/ApJS/258/16/tess-ebs
11756637,1,1469.137539,0.0001044332,4.3064103,9.0836553e-07,0.191,0.023,0.46,0.4982,0.023,0.421,1.0,0.03175,0.491,3.025e-05,0.033,0.442,0.4981,"6,33",2021-09-16T17:39:33,J/ApJS/258/16/tess-ebs
11793277,1,1712.306542,0.0002967124,1.5069611,8.317008e-06,0.61,0.132,0.307,1.0,0.132,0.247,0.498,0.2124,0.364,2.953e-05,0.203,0.304,0.4984,15,2021-09-16T17:37:34,J/ApJS/258/16/tess-ebs
11799872,1,1842.942715,0.0002813203,4.2578574,0.00013747671,0.364,0.04,0.01,0.9999,,,,0.06576,0.012,1.0,0.086,0.001,0.5001,20,2021-09-16T17:38:42,J/ApJS/258/16/tess-ebs
11799874,1,1842.942705,0.0008002888,4.2579273,3.7587219e-05,0.366,0.036,0.008,1.0,,,,0.06582,0.012,0.9999,0.083,0.001,0.5,20,2021-09-16T17:38:41,J/ApJS/258/16/tess-ebs
12012992,1,1517.905474,0.000896196,0.9011729,1.0618026e-05,0.626,0.08,0.111,1.0,,,,0.1154,0.158,0.999,,,,8,2021-09-16T17:39:46,J/ApJS/258/16/tess-ebs
12029932,1,1689.653253,2.509377,10.5542613,0.039800041,0.733,,,1.106,,,0.445,0.1073,0.181,0.001023,0.107,0.138,0.4995,"14,15",2021-09-16T17:37:07,J/ApJS/258/16/tess-ebs
12158853,1,1469.552347,0.0001636933,1.2623791,1.3444358e-05,0.361,0.04,0.173,1.0,0.042,0.17,0.5,0.06047,0.193,0.9999,0.058,0.178,0.5,6,2021-09-16T17:39:30,J/ApJS/258/16/tess-ebs
12494582,1,1684.023707,0.0003988222,0.8309453,8.046376e-07,0.648,0.108,0.075,0.9993,,,,0.3863,0.29,0.9999,,,,"14,15",2021-09-16T17:37:28,J/ApJS/258/16/tess-ebs
12529950,1,1411.572059,0.001223676,2.4004337,5.2277707e-06,0.308,0.025,0.012,1.001,,,,0.0474,0.023,0.001079,,,,"4,31",2021-09-16T17:39:27,J/ApJS/258/16/tess-ebs
12631605,1,1411.258762,0.0001057074,0.7088063,7.1009148e-06,0.539,,,1.046,,,0.954,0.1627,0.257,0.000252,0.001,0.11,0.505,"4,31",2021-09-16T17:39:25,J/ApJS/258/16/tess-ebs
12632044,1,1411.329619,0.03121255,0.2016308,8.7637116e-07,0.849,0.3,0.053,1.002,,,,,,,,,,4,2021-09-16T17:40:28,J/ApJS/258/16/tess-ebs
12672792,1,1684.080929,0.001601317,4.2116316,4.6289681e-05,0.576,0.116,0.188,1.0,0.086,0.127,0.499,0.214,0.214,1.0,0.13,0.158,0.4994,"14,15",2021-09-16T17:37:09,J/ApJS/258/16/tess-ebs
12673900,1,1712.419698,0.0005424415,1.9102172,2.0389044e-05,0.635,0.091,0.065,1.001,0.093,0.046,0.496,0.1592,0.085,0.0008001,0.131,0.072,0.4962,15,2021-09-16T17:37:33,J/ApJS/258/16/tess-ebs
12723924,1,1357.502611,8.884049e-05,22.0004004,0.0054080291,0.038,,,0.5962,,,0.872,0.006923,0.047,0.5986,,,,"2,28",2021-09-16T17:40:20,J/ApJS/258/16/tess-ebs
12790306,1,1765.50053,1.117178e-05,1.1847291,2.4417177e-06,0.609,0.116,0.079,0.9999,0.118,0.077,0.5,0.1793,0.095,0.9997,0.181,0.093,0.4998,"17,24",2021-09-16T17:38:00,J/ApJS/258/16/tess-ebs
12824209,1,1790.855458,0.08053676,1.0711624,3.2867306e-05,0.527,,,,,,,0.009281,0.121,0.9769,,,,"18,25",2021-09-16T17:38:13,J/ApJS/258/16/tess-ebs
12862119,1,1390.980644,0.02119302,11.2077438,0.012522623,0.254,0.014,0.122,1.003,,,,0.03019,0.15,0.001292,,,,3,2021-09-16T17:41:09,J/ApJS/258/16/tess-ebs
12915124,1,1684.26038,9.682408e-05,3.1642751,3.0835859e-05,0.524,0.073,0.268,0.9999,0.083,0.151,0.537,0.1073,0.296,1.0,0.119,0.171,0.5368,"14,15",2021-09-16T17:37:26,J/ApJS/258/16/tess-ebs
