TIC,m_TIC,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,Sectors,UpDate,tesseb_source
99254945,1,1901.766654,0.0003809316,7.7078125,0.00019618998,0.1,0.014,0.178,1.0,0.015,0.044,0.497,0.02036,0.204,7.64e-05,0.025,0.041,0.4969,22,2021-09-16T17:39:04,J/ApJS/258/16/tess-ebs
99391575,1,1816.456204,0.000366817,2.7262669,2.263999e-05,0.416,0.063,0.075,1.001,,,,0.09388,0.086,0.0003293,,,,"19,20",2021-09-16T17:38:34,J/ApJS/258/16/tess-ebs
99465976,1,1325.355404,0.0003224995,0.6243709,8.0560151e-06,0.631,0.157,0.336,1.0,0.145,0.071,0.501,0.2687,0.411,0.9998,0.251,0.134,0.501,1,2021-09-16T17:40:16,J/ApJS/258/16/tess-ebs
99641129,1,1842.652993,7.235523e-05,0.0956464,4.8350271e-07,0.543,0.122,0.498,0.9999,,,,0.2404,0.638,0.000789,0.106,0.118,0.5012,20,2021-09-16T17:38:41,J/ApJS/258/16/tess-ebs
99646802,1,1325.47026,0.00425882,0.7155582,3.3576345e-06,0.751,0.134,0.052,1.0,,,,,,,,,,"1,28",2021-09-16T17:40:16,J/ApJS/258/16/tess-ebs
99746674,1,1870.487262,0.0007654975,0.2716514,9.8187834e-06,0.584,0.13,0.003,0.9995,,,,0.3221,0.008,0.0001811,,,,21,2021-09-16T17:38:47,J/ApJS/258/16/tess-ebs
99784331,1,1870.820894,0.005372498,0.5234661,8.3103845e-06,0.705,0.09,0.03,0.9896,,,,0.3551,0.117,1.0,0.254,0.046,0.4997,21,2021-09-16T17:38:46,J/ApJS/258/16/tess-ebs
99813351,1,1684.474844,0.001066217,16.373828,0.0014899827,0.21,0.025,0.517,0.9999,0.028,0.473,0.468,0.03425,0.535,2.172e-05,0.038,0.491,0.4683,14,2021-09-16T17:37:28,J/ApJS/258/16/tess-ebs
99920728,1,1684.459764,0.0002912263,2.3585278,9.3214024e-05,0.341,0.04,0.065,1.0,,,,0.05461,0.081,0.9998,,,,14,2021-09-16T17:37:08,J/ApJS/258/16/tess-ebs
99982385,1,1691.636502,0.0002362488,18.5665156,9.7209826e-05,0.504,,,0.6706,,,0.718,0.02708,0.227,0.6805,0.023,0.225,0.0001041,14,2021-09-16T17:37:06,J/ApJS/258/16/tess-ebs
100029948,1,1354.173872,0.0003939896,2.7775647,9.7102729e-06,0.337,0.043,0.431,1.0,0.044,0.263,0.5,0.06234,0.473,1.0,0.062,0.294,0.5001,"2,3",2021-09-16T17:39:21,J/ApJS/258/16/tess-ebs
100099031,1,2088.394262,0.0021684,1.2981369,0.00010619005,0.306,,,0.9897,,,0.025,0.1031,0.013,0.9981,,,,"29,30",2021-09-16T17:41:14,J/ApJS/258/16/tess-ebs
100100827,1,1355.405942,0.01974395,0.9414549,6.5882708e-07,0.537,0.062,0.003,1.01,,,,0.1381,0.012,0.9956,,,,"2,3,29,30",2021-09-16T17:40:21,J/ApJS/258/16/tess-ebs
100508429,1,1439.702163,0.006828757,3.2180802,0.0026809823,0.715,,,0.7481,,,0.761,,,,,,,5,2021-09-16T17:41:14,J/ApJS/258/16/tess-ebs
100917608,1,1388.303293,5.660464e-05,4.1237901,4.9983792e-07,0.447,0.062,0.353,0.9947,0.061,0.349,0.495,0.08464,0.396,1.0,0.085,0.389,0.5,"3,30",2021-09-16T17:39:36,J/ApJS/258/16/tess-ebs
100918213,1,1386.12391,0.005009446,0.5129265,0.00025639187,0.574,0.086,0.006,0.958,,,,0.128,0.007,0.9697,,,,3,2021-09-16T17:39:19,J/ApJS/258/16/tess-ebs
101070833,1,1411.759948,2.878632e-05,0.8276644,5.4953969e-05,0.7,0.167,0.254,1.001,0.128,0.076,0.501,0.3146,0.388,0.001035,0.328,0.205,0.5,4,2021-09-16T17:40:30,J/ApJS/258/16/tess-ebs
101302325,1,1792.249539,0.0005947027,2.1980121,7.7751083e-05,0.564,0.068,0.025,0.9993,,,,0.1243,0.048,0.9996,,,,18,2021-09-16T17:38:14,J/ApJS/258/16/tess-ebs
101395259,1,1523.94517,0.01955171,7.5746218,1.4084512e-05,0.173,,,,,,,0.02381,0.007,0.9999,,,,"8,9,35",2021-09-16T17:41:14,J/ApJS/258/16/tess-ebs
101497151,1,1544.926728,0.0002421411,1.2520502,7.721048e-05,0.43,0.059,0.079,0.502,0.058,0.077,1.003,0.06988,0.074,0.5,0.079,0.073,0.002192,9,2021-09-16T17:38:52,J/ApJS/258/16/tess-ebs
101546875,1,1872.416621,0.005957317,4.6840246,0.0031535742,0.299,,,,,,,,,,,,,21,2021-09-16T17:38:51,J/ApJS/258/16/tess-ebs
101547609,1,1872.36778,3.859515e-05,21.454335,0.00023330511,0.562,,,1.092,,,-0.032,0.1269,0.473,0.9999,0.144,0.364,0.4959,21,2021-09-16T17:38:45,J/ApJS/258/16/tess-ebs
101645013,1,1983.821579,0.0002159756,0.4712987,4.1167291e-07,0.851,0.152,0.109,1.002,0.186,0.105,0.501,0.275,0.191,0.001221,0.296,0.187,0.5018,"25,26",2021-09-16T17:41:33,J/ApJS/258/16/tess-ebs
101654574,1,1661.268446,0.001821342,18.459294,0.0017660993,0.168,0.009,0.02,1.0,,,,0.0009432,0.022,0.06563,0.012,0.02,0.0003603,13,2021-09-16T17:37:01,J/ApJS/258/16/tess-ebs
101719607,1,1984.257832,0.0002434403,1.0461329,2.5917246e-06,0.528,0.095,0.229,1.0,0.094,0.033,0.5,0.1432,0.256,0.9998,0.143,0.051,0.5,"25,26",2021-09-16T17:41:33,J/ApJS/258/16/tess-ebs
