MAIN_ID,TIC_ID,Is_EB_SIMBAD,OTYPES,V__vartyp,angDist,Match_Score
UPM J0936-3740,5906850,-,PM*|*|IR,,,1
HD  59021,5917423,F,a2*|*|IR,ACV,,5
HD 112074,5969274,-,**|*|IR|UV,,,5
BD-20  3738,5981829,-,*|IR,,,5
TYC 5404-1358-1,6276559,-,*|IR,,,3
CD-49 12374,6287502,-,*|IR,,,5
V* V362 Tel,6400274,T,EB*|**|V*|*|IR,,,3
TYC 5400-729-1,6610653,-,*|IR,,,5
HD 147827,6631253,T,EB*|V*|*|IR,,,3
TYC 8759-158-1,6667908,-,PM*|*|IR,,0.002139,5
K2-115,7020254,-,*|IR,EP,,5
BD+13  1919,7060775,-,*|IR,,,5
HD   1197,7128700,-,*|IR,,,5
HD  60637,7211118,-,V*|*|IR,,,5
V* UV Pic,7320873,F,V*|BY*|Er*|*|*|*|IR|X,rot,,4
HD 123830,7413227,-,**|*|IR,,,5
HD 274494,7418947,-,*|IR,,,5
TYC 6738-1279-1,7441558,-,*|IR,,,5
TYC 8712-2477-1,7484436,-,*|IR,,103.284969,1
ATO J213.4592-29.8897,7551387,-,V*|blu|*,LPV:,0.001727,3
TYC 7326-296-1,7589380,-,PM*|*,,0.001524,5
HD  27342,7624182,T,EB*|*|IR,,,5
Gaia EDR3 4841047206294554240,7652962,-,PM*|*,,0.008571,3
CD-36  1689,7690559,-,**|*|IR,,,5
CD-41  1394,7695666,T,EB*|V*|*|IR,E,,5
HD  28014,7697330,-,*|IR|UV,,,5
BD+47  2607,7720507,-,*|IR,,,5
V* RT Cae,7724421,T,EB*|V*|*|IR,EW,,5
CD-33 10602,7791094,T,EB*|V*|*|IR,,,5
V* RX Cae,7808834,F,dS*|V*|*|IR|UV,,,5
HD  28902,7809817,-,*|IR,,,4
HD  75734,7847220,-,*|IR,,,5
UCAC4 443-049488,7848746,-,*|IR,,177.26167,1
V* V572 Lyr,7849727,T,EB*|V*|*|IR,EW,,5
V* V571 Lyr,7851729,T,EB*|EB*|V*|*|IR,E,,3
V* TZ Dra,7854182,T,EB*|V*|*|IR,E,,5
HD 139035,7867385,-,**|*|IR,,,3
CD-32 10957,8008612,-,TT*|*|IR|X,,,5
HD  91151,8053446,-,**|*|IR,,,1
HD  91257,8070739,-,*|IR,,,3
BD+42  2113,8152515,F,dS*|*|IR,,,5
BD+37  2070,8153514,-,RG*|*|IR,,,5
UCAC4 650-050463,8200343,-,PM*|SB*|V*|*|IR,,0.002478,5
V* GS UMa,8245065,F,dS*|V*|*|IR,,,5
HD 139649,8280837,-,*|IR,,,5
BD+32  2719,8416296,-,*|IR,,,5
ROTSE1 J162406.50+344241.7,8417276,T,EB*|V*|V*|*|IR,SIN,,5
TYC 7331-964-1,8423012,-,*|IR,,,5
TYC 2584-480-1,8444713,-,V*|SB*|V*|*|IR,,,5
V* GU Her,8592033,T,EB*|EB*|SB*|V*|*|IR,EW,,5
V* HV Her,8624617,T,EB*|EB*|EB*|V*|*|IR,EA,,5
*  32 Her,8669966,-,SB*|**|*|IR|UV,,,5
V* V899 Her,8673277,T,EB*|PM*|SB*|V*|*|IR|UV,EW,,5
V* WW Cnc,8677671,T,EB*|V*|*|IR,E,,5
BD+31  1970,8766412,-,*|IR,,,3
CRTS J092128.3+332558,8769657,T,EB*|*|EB?|IR,EA,,1
*   8 LMi,8865471,-,PM*|V*|*|IR,,,5
TYC 3740-2105-1,8895896,-,*|IR,,,5
TYC 5832-622-1,8964552,-,PM*|*|IR,,,5
V* EK Aqr,8989778,T,EB*|EB*|V*|*|EB?|IR,E,,5
UCAC2  28124456,9029822,-,**|*|IR,,,2
TYC 6402-158-1,9032812,-,*|IR,,,5
BD-20  6572,9033144,-,*|IR,,,5
V* TX Boo,9036901,T,EB*|V*|*|EB?|IR,EA:,,5
HD 222891,9054370,T,*|EB?|IR,,,3
UCAC2  24499764,9057422,-,PM*|*|IR,,,5
V* MV Boo,9058724,T,PM*|EB*|V*|*|IR|X,?,,5
V* EL Aqr,9070070,T,EB*|EB*|EB*|SB*|**|V*|*|IR,E,,3
V* OV Aqr,9146275,T,EB*|V*|*|IR,,,5
HD 220937,9165090,-,*|IR,,,5
HD 221198,9209932,-,*|IR,,,5
HD 221299,9216075,-,*|IR,,,5
HD  78697,9273803,-,*|IR|UV,,,5
TYC 6692-1101-1,9348655,-,*|IR,,,5
TYC 2509-608-1,9361438,-,*|IR,,,5
1RXS J045304.1-070011,9380768,T,EB*|EB*|V*|*|IR|X|X,ED,,5
V* MQ Eri,9381557,T,EB*|V*|*|IR|V*?,,,5
TYC 6688-601-1,9384580,-,*|IR,,,4
