subject_id,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at
56981084,1,2,1,5,5,2021-02-16 15:29:31.807000+00:00
56981085,5,5,0,6,6,2021-02-21 17:20:58.293000+00:00
56981090,3,3,0,3,3,2021-02-21 17:21:59.902000+00:00
56981091,6,6,0,7,7,2021-02-21 17:23:45.079000+00:00
56981144,2,2,0,2,2,2021-02-15 20:47:44.071000+00:00
56981149,1,1,0,4,4,2021-02-27 01:33:20.769000+00:00
56981182,0,1,1,1,1,2021-02-13 14:32:29.583000+00:00
56981232,3,3,0,3,3,2021-02-21 17:31:42.435000+00:00
56981246,3,5,2,5,5,2021-02-15 04:58:37.684000+00:00
56981274,3,3,0,3,3,2021-02-21 17:52:52.897000+00:00
56981297,3,3,0,5,5,2021-02-21 17:53:31.822000+00:00
56981369,2,2,0,2,2,2021-02-21 17:49:16.621000+00:00
56981447,1,3,2,6,6,2021-02-24 20:27:02.843000+00:00
56981527,-3,2,5,7,7,2021-02-21 18:04:08.756000+00:00
56981547,5,5,0,6,6,2021-02-21 18:06:20.087000+00:00
56981591,3,3,0,3,3,2021-02-13 18:00:56.151000+00:00
56981711,3,3,0,3,3,2021-02-21 18:36:11.494000+00:00
56981772,3,4,1,5,5,2021-02-21 18:52:29.219000+00:00
56981778,1,1,0,1,1,2021-02-14 12:19:41.012000+00:00
56981804,1,1,0,1,1,2021-02-21 18:54:36.163000+00:00
56981917,-2,1,3,5,5,2021-02-21 19:12:51.832000+00:00
56981960,1,1,0,1,1,2021-02-12 18:17:14.032000+00:00
56982033,-2,1,3,3,3,2021-02-15 21:50:25.257000+00:00
56982041,-1,2,3,5,5,2021-02-21 22:10:22.647000+00:00
56982092,1,1,0,2,2,2021-02-13 21:53:41.611000+00:00
56982191,-1,3,4,7,7,2021-02-16 18:17:05.421000+00:00
56982206,1,1,0,1,1,2021-02-15 22:39:29.045000+00:00
56982273,1,1,0,1,1,2021-02-16 19:40:52.399000+00:00
56982356,1,1,0,2,2,2021-02-14 02:57:51.585000+00:00
56982374,2,2,0,3,3,2021-02-14 18:00:17.726000+00:00
56982480,5,5,0,6,6,2021-02-21 22:20:26.664000+00:00
56997943,0,1,1,1,1,2021-02-17 18:47:24.372000+00:00
