OID,n_OID,V,Name,TIC_ID,Is_EB,Type,Period,angDist,Match_Score
15033,B,0,HV Her,8624617,T,EA/SD,4.905918,0.012523,1
59130,B,0,NSV 20695,8669966,F,ELL+DSCT,3.3943056,1.059544,1
15710,B,0,V0899 Her,8673277,T,EW,0.421173,0.058985,1
4849,B,0,WW Cnc,8677671,T,EA/SD,1.1159518,0.043639,1
43134,B,1,NSV 4510,8865471,-,,,0.030527,1
999,B,0,EK Aqr,8989778,T,EW,0.61279,0.055973,1
4334,B,0,TX Boo,9036901,T,EA/SD:,3.4127464,0.161075,1
282833,B,0,HD 222891,9054370,T,EA,1.59495,0.349152,1
629032,B,0,ASASSN-V J232025.64-192505.5,9057422,-,VAR,,0.275828,1
160289,B,0,MV Boo,9058724,T,EA/RS,3.56053,0.082264,1
1000,B,0,EL Aqr,9070070,T,EW,0.48141,0.073456,1
64516,B,0,OV Aqr,9146275,T,EA,21.66595,0.081568,1
64532,B,1,NSV 26097,9216075,-,,,0.265664,1
76643,B,0,ASAS J045304-0700.4,9380768,T,EA+BY,1.62221933,0.044756,1
40382,B,0,MQ Eri,9381557,T,EA,11.822,0.05981,1
95461,B,0,ASAS J124613-2533.6,9384580,T,ESD,0.314508,0.192777,1
298003,B,0,V0390 UMa,9391285,T,EA,2.75259,0.255663,1
555313,B,0,PTFS1612al,9461737,T,EA/EL,0.636926,0.123318,1
14839,B,0,TU Her,9473243,T,EA/SD,2.2669385,0.009635,1
15899,B,0,u. Her,9588485,T,EA/SD,2.051026,0.009537,1
941,B,0,BS Aqr,9632550,F,DSCT,0.1978234,0.083194,1
136709,B,0,V0386 Nor,9677272,F,DSCTC,0.0577,7.927914,1
136708,B,0,V0385 Nor,9692649,F,ELL:,0.974,0.115304,1
1516692,,0,ASASSN-V J172045.60+340721.5,9729491,F,ROT,5.54147,110.942224,1
138697,B,0,ROTSE1 J172343.95+311754.4,9825731,T,EW,0.83884603,0.552217,1
129515,B,0,MY Eri,9845586,T,EW,0.3601105,0.049414,1
75251,B,0,ASAS J031529-1146.2,9886075,T,EW,0.3535902,0.093801,1
1545938,,0,PMAK V66,10057647,T,EA+DSCT+ROT:,16.26379,0.033841,1
136551,B,0,MU UMa,10111251,F,RRC,0.267946,0.066158,1
390769,B,0,CSS_J175056.5+333244,10393493,T,EW,0.360466,0.986204,1
144256,B,0,GP Cet,10756751,T,EA,3.4885,0.015294,1
9118,B,0,WZ Cet,10838695,T,EA/DM,4.6122,0.089289,1
75592,B,0,ASAS J034449-0304.7,11002748,T,EB,0.7787482,0.03854,1
24422,B,0,V1359 Ori,11083205,F,DSCT,0.182157,0.060769,1
11175,B,0,KV Cyg,11113164,T,EB/SD,2.8389936,0.091417,1
13159,B,0,V2239 Cyg,11119600,T,EA,0.61047966,0.024728,1
24310,B,0,V1247 Ori,11199521,F,UXOR+DSCT,,0.046856,1
55045,B,1,NSV 16610,11286198,-,VAR:,,2.184894,1
24093,B,0,V1030 Ori,11286209,T,SXARI/E,1.1908,0.085272,1
77987,B,0,V2747 Ori,11294988,-,INB:,1.92952,0.042563,1
724030,,0,ASASSN-V J020033.24+600033.0,11437325,T,EA,1.1467,0.317555,1
11374,B,0,V0454 Cyg,11480287,T,EB/SD,2.3168937,0.067493,1
13160,B,0,V2240 Cyg,11480757,T,EW,0.404187,0.051408,1
231993,B,0,NSVS 17506495,11487334,T,EW,0.38395,0.877143,1
17906,B,0,RR Lyn,11491822,T,EA/DM,9.945079,0.055453,1
34076,B,0,AN Scl,11518868,F,RS,7.89,0.101102,1
53700,B,0,CT Scl,11546041,T,EW,0.406798,0.086369,1
16271,B,0,OY Hya,11559798,-,GCAS,,0.08672,1
34092,B,0,BE Scl,11598102,T,EW,0.422901,0.106445,1
12107,B,0,V1187 Cyg,11793277,T,EA/DM,1.5070018,0.157741,1
41826,B,0,NSV 3202,11799872,T,EA+ROT,4.258,4.616319,1
41826,B,0,NSV 3202,11799874,T,EA+ROT,4.258,0.020449,1
11619,B,0,V0699 Cyg,11918748,T,EA,1.55152,0.08972,1
23593,B,0,V0530 Ori,11961096,T,EA/D,6.110792,0.052324,1
172715,B,0,V2526 Cyg,12029932,T,EA:,10.5113,0.076584,1
409599,,0,V2914 Cyg,12494582,T,EA,1.661885,0.056152,1
251870,B,0,LL Eri,12632044,F,ELL,0.2016268,0.042261,1
11364,B,0,V0444 Cyg,12672792,T,EA/WR,4.212424,0.069936,1
625412,B,0,EPIC 205919993,12723924,T,EA,11.00354925,0.049305,1
8805,B,0,V0453 Cep,12790306,T,EA,1.18475,0.014685,1
51643,B,2,NSV 13019,12811898,-,,,0.812293,1
1585939,,0,ZTF J021513.13+652859.9,12824209,T,EA,1.0711968,34.793884,1
723588,,0,ASASSN-V J021557.21+655706.7,12825453,T,EA,1.0976,0.014581,1
410516,B,0,ASAS J001648-1427.2,12864374,T,EC|BCEP|DSCT|DSCTr|ESD,0.303708,0.196844,1
734267,,0,ASASSN-V J201956.90+375007.3,12915124,T,EA,3.164,0.018147,1
305723,B,0,HIP 97961,13017011,-,VAR,0.31928,0.157718,1
8432,B,0,BB Cep,13037534,T,EA/DS,30.1851,0.070066,1
76868,B,0,ASAS J050205-2842.8,13062255,T,EA,1.6512397,0.059651,1
122902,B,0,ASAS J231234-2416.0,13068361,T,EC,0.30736,0.133562,1
76907,B,0,ASAS J050334-2521.9,13070701,T,EW,0.41407579,0.010806,1
77005,B,0,ASAS J050656-2936.0,13135572,T,EC,0.398375,0.100969,1
64416,B,1,NSV 25981,13284088,-,VAR:,,0.675908,1
77203,B,0,ASAS J051433-2519.7,13325340,T,EA,0.89309,0.097735,1
9541,B,0,RS Col,13345143,T,EW/DW,0.672355,0.061545,1
409078,B,0,WASP-36,13349647,T,EP,1.5373653,0.027429,1
6890,B,0,V0559 Cas,13351941,T,EA,1.58064,0.037536,1
8652,B,0,NY Cep,13389059,T,EA/DM,15.27568,0.046168,1
42906,B,2,NSV 4282,13566784,-,,,0.024239,1
730295,,0,ASASSN-V J085143.68-070744.4,13623021,T,EA,2.1703,0.013949,1
11418,B,0,V0498 Cyg,13968858,T,EA/DM,3.4848355,0.052989,1
12951,B,0,V2031 Cyg,14207118,T,EA,2.704666,0.002635,1
89849,B,0,V0648 Hya,14307980,T,EA,0.89742,0.073324,1
174813,B,0,NSVS 5733998,14617089,T,EA,1.6688988,0.017132,1
14311,B,0,RY Gem,14709809,T,EA/DS,9.300567,0.044251,1
17220,B,0,FZ Leo,14826027,T,EB/RS,0.91225,0.036639,1
286092,B,0,V2938 Cyg,14842303,T,EA,0.772596,0.058333,1
728914,,0,ASASSN-V J202538.33+370310.6,14844585,T,EB,1.8631,0.008933,1
57892,B,0,NO Com,14948284,T,EA,2.7044,0.075707,1
73953,B,0,ASAS J010512+2746.1,15613315,T,EA,0.7166127,0.040517,1
11376,B,0,V0456 Cyg,15795549,T,EA,0.89119559,0.033047,1
1546549,,0,K2-237,16288184,T,EP,2.1805577,0.001295,1
12747,B,0,V1827 Cyg,16316642,T,EB,4.0217,0.030855,1
241665,B,0,WHAT236 14724,16331062,T,E,1.38601,0.112903,1
11620,B,0,V0700 Cyg,16617827,T,EW/KW,0.29062974,0.030254,1
51753,B,0,NSV 13129,16734598,T,EA,4.7462557,1.075189,1
1547316,,0,KELT-9,16740101,T,EP,1.4811235,0.017444,1
2213494,,3,KELT KC06C10526,17206122,T,EA,4.4536963,0.058149,1
2213512,,3,KELT KC07C06727,17299918,T,EA,1.014055,0.4347,1
1546101,,0,HD 144359,17342647,F,HB,4.382,0.051356,1
13107,B,0,V2187 Cyg,17449899,F,BCEP,0.25389,0.17078,1
13106,B,0,V2186 Cyg,17451194,T,EA,2.9788,0.117268,1
138509,B,0,ROTSE1 J161118.72+353818.9,17467989,T,EW,0.31766301,0.778768,1
136698,B,0,AU CrB,17539022,F,SXPHE(B),0.05172,0.163339,1
138511,B,0,ROTSE1 J161342.13+315706.1,17539192,T,EW,0.53180999,0.759305,1
136701,B,0,AV CrB,17562290,T,EW,0.308193,0.123865,1
136702,B,0,AW CrB,17563811,T,EW,0.3609353,0.152962,1
10636,B,0,UX CrB,17568668,T,EA,0.5678,0.014977,1
555512,B,0,HAT-P-50,17746821,T,EP,3.1220109,0.054037,1
57212,B,0,NSV 18777,18028547,T,E,7.399,0.411657,1
57797,B,0,NSV 19362,18069450,-,VAR,0.63331,0.07776,1
2213613,,3,KELT KC10C08028,18178958,T,EA,4.924206,0.010962,1
74228,B,0,ASAS J013130+2803.6,18225199,T,EA/EL,1.882752,0.156754,1
36620,B,0,TT Tri,18250189,T,UGZ:+E,0.139637462,0.05698,1
15875,B,0,V1064 Her,18269802,T,EW,0.3431507,0.025001,1
14837,B,0,SZ Her,18271803,T,EA/SD,0.8180979,0.038803,1
1546171,,0,NGCA-V34,18319090,T,EA,7.71265,0.060894,1
138880,B,0,ROTSE1 J174353.36+313147.7,18433724,T,EW,0.40760516,0.023669,1
390613,B,0,CSS_J174512.1+332708,18534775,T,EW,0.33586756,0.173301,1
138833,B,0,ROTSE1 J174704.52+295352.1,18566969,T,EW,0.563721,0.811131,1
138868,B,0,ROTSE1 J174728.53+322127.1,18636142,T,EW,0.43150899,0.214962,1
86252,B,0,ASAS J081351-0738.4,19122666,F,ROT,0.32595,0.096836,1
86309,B,0,ASAS J081512-0618.9,19193162,T,ED,5.690856,0.032079,1
609655,B,0,ASASSN-V J081849.17-102953.7,19515735,T,EA,2.29691,0.043821,1
89227,B,0,ASAS J092125-3157.8,19757899,T,ESD,1.40685,0.111428,1
721592,,0,ASASSN-V J092250.24-295503.0,19908570,T,EB,0.870744,0.011648,1
16254,B,0,NT Hya,20042408,F,DSCTC,0.1440507,0.043443,1
9550,B,0,ST Col,20176492,T,EA,2.22129,0.088937,1
4336,B,0,TZ Boo,20212631,T,EW/KW,0.297162,0.066814,1
630374,B,0,WISE J150916.0+360200,20215452,-,MISC,0.5957573,0.539051,1
242075,B,0,2MASS J15111013+3857031,20239565,T,EA,1.50525,0.135089,1
4322,B,0,SS Boo,20299889,T,EA/RS,7.606146,0.076558,1
96309,B,0,ASAS J132225-2042.3,20541663,F,RRC,0.235934,0.052145,1
1501751,,0,ASASSN-V J024908.18+441508.0,20876588,T,EA,3.1507,0.006919,1
13937,B,0,LQ Dra,21126323,T,EA,1.841637,0.014351,1
272045,B,0,TYC 7605-1429-1,21438160,F,TTS/ROT,0.3514,0.131363,1
78076,B,0,ASAS J054138-3822.4,21442712,T,EW,0.34952008,0.026375,1
2213499,,3,KELT KC06C05566,21499327,T,EA,7.391758,0.250146,1
17262,B,0,TV LMi,21499609,T,EA,8.477985,0.059551,1
410189,B,0,1SWASP J055302.53-401849.3,21729403,T,EW,0.40535138,0.010033,1
409107,B,0,HAT-P-18,21744120,T,EP,5.508023,0.116978,1
229379,,0,NSVS 7949010,21829304,T,EA,2.24972,0.517067,1
5104,B,0,BI CVn,22017780,T,EW/KW,0.38416,0.061599,1
56726,B,0,NSV 18291,22083083,F,GDOR,1.12595,0.061982,1
90404,B,0,ASAS J095357-2408.8,22120766,F,ROT,1.668,0.06813,1
2213005,,3,KELT KS23C05689,22146154,T,EA,18.18469,0.220853,1
57780,B,0,V1118 Cen,22390773,T,EA,11.30489,0.035585,1
95003,B,0,ASAS J122733-1836.5,22457438,T,EC|ESD,0.360679,1.570289,1
717338,,0,ASASSN-V J122827.40-185539.8,22481474,F,ROT,0.599484,0.302031,1
2213625,,3,KELT KC10C18208,22513851,T,EA,18.82429,0.022467,1
1546404,,0,WASP-121,22529346,T,EP,1.2749255,0.00748,1
26964,B,0,V0362 Pup,22538139,T,EA,9.26581,0.079099,1
2213439,,3,KELT KC19C006026,22590328,T,EA,2.737575,0.023833,1
285098,B,0,HAT-187-0001498,22818693,T,E,5.6296482,0.736611,1
714653,,0,ASASSN-V J071517.34-361229.8,22864020,F,ROT,0.467485,0.007468,1
281591,B,0,ASAS J154106-2656.6,22959701,F,ROT,5.273,0.010944,1
26899,B,0,NV Pup,23037766,-,GCAS,,0.088666,1
75124,B,0,ASAS J030521-0619.9,23139612,T,EC|ESD,0.4113,0.065744,1
14018,B,0,UX Eri,23221002,T,EW/KW,0.445286,0.056216,1
1733092,,0,ZTF J182034.57+311336.6,23389349,T,EW,0.364965,0.26803,1
723998,,0,ASASSN-V J111727.38-340047.8,23582886,T,EB,1.1427,0.014584,1
160281,B,0,FW CVn,23753424,F,ELL,0.345514,0.058749,1
229591,B,0,NSVS 8110779,23936839,T,EW,0.27531208,0.064721,1
229281,,0,NSVS 7849126,24077469,T,EA,5.29590046,0.33544,1
469673,B,0,HD 142232,24133365,T,EA,7.06875,0.022577,1
412687,B,0,ASAS J155434-2909.0,24194061,T,ESD|ED,1.26244,0.071717,1
77589,B,0,ASAS J052800-3334.6,24433067,T,EA+BY,6.1862,0.074083,1
40782,B,2,NSV 2158,24531951,-,,,0.061522,1
9543,B,0,RU Col,24586751,T,EA/SD,0.51282661,0.035592,1
77459,B,0,ASAS J052313-0907.7,24606516,T,EC,0.4019834,0.029585,1
272044,B,0,TYC 7064-839-1,24608426,F,TTS/ROT,1.143,0.110474,1
305378,B,0,HIP 46396,24733359,-,VAR,0.18922,0.124366,1
230667,,0,NSVS 3558222,24935204,T,EA,13.45757009,1.162613,1
89573,B,0,ASAS J093052-3234.3,24972851,T,EA,4.02169,0.038333,1
838556,,0,ASASSN-V J040018.97-685801.2,25063986,F,BY,,0.012937,1
280926,B,0,ASAS J040340-6558.2,25078924,T,EB,1.8088,0.086795,1
89634,B,0,ASAS J093238-3239.7,25101101,T,EW,0.388043,0.030145,1
839889,,0,ASASSN-V J040811.47-682320.1,25132229,T,EW,0.501336,0.006939,1
54349,B,1,NSV 15914,25132999,F,BY+UV:,,3.142346,1
1547387,,0,WASP-126,25155310,T,EP,3.28883,0.009723,1
488403,B,0,SSS_J093306.2-331723,25159742,T,EA,6.932217,0.025275,1
281107,B,0,ASAS J063155-0705.0,25183492,F,ROT,0.279,0.07684,1
16454,B,0,BR Hyi,25195864,T,EW,0.7436,0.061153,1
410164,,0,1SWASP J214749.02-201353.5,25226885,T,EA,1.632116,0.023861,1
2212828,,0,KELT KS22C007311,25281076,T,EA,16.641,0.019396,1
52580,B,1,NSV 13956,25375770,-,,,0.700519,1
103154,B,0,ASAS J163500-4815.4,25428504,T,ESD,0.652598,0.669427,1
2213493,,3,KELT KS22C022737,25776767,T,EA,5.54558,0.474125,1
706451,,0,ASASSN-V J100617.43-110000.4,26107382,T,EW,0.253486,0.009089,1
649267,B,0,WISE J070634.4+144033,26182280,T,EW,0.3409066,0.019217,1
91097,B,0,ASAS J101332-0702.3,26261539,F,RRC,0.313619,0.029445,1
54205,B,0,NSV 15770,26432264,T,SXARI/E,1.0498,0.014104,1
13000,B,0,V2080 Cyg,26489741,T,EA,4.933568,0.036256,1
25991,B,0,V0467 Per,26533207,T,EB,1.7653511,0.09033,1
169783,B,0,ASAS J192811+4856.6,26584043,T,EW,0.296679,0.196339,1
243955,B,0,KID 11560447,26656583,T,EA,0.52768,0.080362,1
530335,B,0,KIC 11404836,26748620,F,ROT,11.464,75.487477,1
6568,B,0,IT Cas,26801525,T,EA+DSCTC:,3.8966475,0.022563,1
245103,B,0,KID 10979669,26962050,F,ELL,0.925768,0.019023,1
243571,B,0,KID 11817750,27006880,T,EA,9.762542,0.074161,1
9853,B,0,KR Com,27112021,T,EW,0.40797003,0.009296,1
138136,B,0,ROTSE1 J193900.30+493923.3,27307817,T,EA,14.588946,0.07792,1
244569,B,0,KID 11920266,27308818,T,EW,0.467406,0.057165,1
186077,B,0,V2684 Cyg,27315670,F,DSCT,0.1092685,0.113127,1
479078,B,0,KIC 11409673,27395746,F,HB,12.317869,0.020682,1
253361,B,0,KID 11820830,27397122,T,EA,12.7323,0.111853,1
160282,B,0,IZ Boo,27415380,F,BY:,0.3693,0.047992,1
170273,B,0,ASAS J194311+5053.8,27639466,F,DSCT+GDOR,0.1231367,0.054119,1
162365,B,0,T-Cyg1-00246,27767184,T,EA,3.512951,0.103543,1
162457,B,0,T-Cyg1-06587,27843942,T,EA,1.521925,0.133163,1
244011,B,0,KID 12268220,27844498,T,EA,4.421494,0.08431,1
243583,B,0,KID 11923819,27845677,T,EA,33.159502,0.280338,1
253356,B,0,KID 11671429,27846645,T,DSCT+EA,0.062617,0.173344,1
243681,B,0,KID 10987439,27915909,T,EA,10.671749,0.183182,1
53584,B,0,NSV 15149,27985664,F,ACV,1.81508,0.059606,1
5141,B,0,CX CVn,28157482,T,EA,6.563204,0.076244,1
243613,B,0,KID 11673686,28159019,T,EA,4.618787,0.087757,1
2214208,,0,PMAK V79,28224552,T,EA,9.926317,0.07653,1
2213565,,3,KELT KC09C12437,28290956,T,EA,6.003541,0.014573,1
51105,B,1,NSV 12481,28298510,-,,,4.282071,1
244881,B,0,KID 11572643,28306907,F,ELL,0.345415,0.044846,1
185967,B,0,NSVS 6507557,28351918,T,EA+INT,0.51508836,0.114462,1
170607,B,0,ASAS J195222+4806.3,28359831,T,EW|PULS,0.89059,0.0237,1
36600,B,0,X Tri,28391714,T,EA/SD,0.9715352,0.028985,1
243719,B,0,KID 11099351,28449295,T,EA,2.378023,0.082129,1
1546128,,0,Zayed-V2,28586609,T,EA,3.86679,0.058076,1
362788,B,0,CSS_J014839.0+382314,28763683,T,EA/EL,0.8917354,0.159926,1
88019,B,0,ASAS J084945-4257.1,28944285,T,ESD|ED,2.6741,51.398867,1
235361,B,0,ALS 1179,29051733,-,GCAS:,,0.058446,1
37673,B,0,KX Vel,29052041,T,EA,26.306047,0.011305,1
279633,B,0,HAT 259-0000390,29053989,T,EA,1.30555,0.107491,1
1543626,,0,2MASS J20562711-2400123,29477348,F,BY,0.323,0.013676,1
683708,B,0,HD 76307,29598925,F,SPB,0.80623,0.012723,1
90779,B,0,ASAS J100421-3319.0,29664907,T,EA,6.71489,0.071207,1
76047,B,0,ASAS J041731-6649.6,29777922,T,EC|ESD,0.53059,0.014635,1
480739,B,0,SSS_J041725.0-662415,29778064,T,EB|EW,0.494649,0.030525,1
840130,,0,ASASSN-V J041852.67-690019.8,29779122,F,ROT,0.742094,0.012183,1
630264,B,0,WISE J042002.6-711443,29780293,-,MISC,0.4149053,0.813768,1
129446,B,0,IO Cet,29848012,T,EW,0.349173,0.018469,1
280868,B,0,ASAS J013514-0712.9,29853348,F,ROT,0.7031,0.084002,1
74300,B,0,ASAS J014028-1606.5,29939923,F,ROT,1.56,0.056539,1
476833,B,0,HD 76424,29949778,F,ACV,2.48068,0.10402,1
14140,B,0,EP Eri,30016911,F,RS,6.71,0.048995,1
74997,B,0,ASAS J025347-1307.7,30028394,F,DSCT,0.185929,0.064592,1
2219149,,0,LMC V0128,30031510,-,SDOR,,0.012552,1
40394,B,0,AT Men,30034081,T,EA,2.3446345,0.014922,1
272642,B,0,ASAS J045250-7046.5,30034189,-,VAR,,114.182743,1
88252,B,0,ASAS J085524-4411.3,30122338,T,EA,7.040274,0.051539,1
272662,B,0,ASAS J045623-6942.2,30267198,-,VAR,,86.397642,1
2219163,,1,LMC V0321,30275777,-,WR:,,59.602534,1
2219163,,1,LMC V0321,30275795,-,WR:,,111.175265,1
574432,B,0,ASASSN-V J045651.28-662348.9,30275861,F,L:,,88.198414,1
574432,B,0,ASASSN-V J045651.28-662348.9,30312676,F,L:,,108.007239,1
