TIC_ID,ASASSN-V,RAJ2000,DEJ2000,Vmag,Amp,Per,Type,Prob,HJD,Gaia,pmRA,pmDE,Vt,Dist,WISEA,Jmag,J-K,W1-W2,APASS,B-V,E(B-V),Ref,URL,2M,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
437757602,J002250.05+292715.3,5.70853,29.45426,7.37,0.78,NON PERIODIC,VAR,0.279,2456899.96206,2857501394830370816,81.357,-9.537,51.56247,132.8,J002249.94+292715.3,6.556,0.051,0.027,,,0.048,II,https://asas-sn.osu.edu/variables/134062,2M,2.208805,1,V,0.4185699999999999
437920598,J125849.55-654505.5,194.70646,-65.75153,10.63,0.07,260.2535828,VAR,0.344,2458117.8062,5858561070887550976,-3.648,-1.447,23.18262,1246.23,J125849.62-654506.7,10.183,0.08,-0.026,49146120,0.124,1.039,II,https://asas-sn.osu.edu/variables/313051,2M,63.563853,1,V,0.6359999999999992
438119688,J062331.00+141157.5,95.87918,14.1993,9.98,0.56,NON PERIODIC,VAR,0.276,2457011.93369,3332641287345712128,-1.713,-5.071,42.6858,1682.47,J062330.98+141157.7,9.265,0.081,-0.025,24000321,0.033,0.743,II,https://asas-sn.osu.edu/variables/205142,2M,77.318739,1,V,0.006999999999999673
438174130,J092800.11-583034.1,142.00047,-58.50947,9.02,0.16,343.1049627,VAR,0.603,2457569.50201,5305651136026872832,-11.338,7.126,35.46367,558.7,J092800.33-583034.1,8.467,-0.078,-0.055,39856095,0.091,0.54,II,https://asas-sn.osu.edu/variables/303806,2M,1.842551,1,V,0.3879999999999999
438838902,J132946.06-484436.4,202.44191,-48.74344,12.79,0.14,2.5421504,ROT,0.999,2458191.75347,6082600686820423680,-27.638,-16.744,20.41792,133.3,J132945.72-484436.9,10.121,0.855,0.065,54445092,1.084,0.142,V,https://asas-sn.osu.edu/variables/AP54445092,2M,3.085616,1,V,0.20200000000000173
438942374,J093203.03-575131.9,143.01263,-57.85885,11.14,0.08,NON PERIODIC,ROT:,0.909,2457427.61178,5305787063162968064,-32.857,-6.142,21.46604,135.48,J093203.02-575131.2,9.547,0.634,-0.039,39859170,0.847,0.718,II,https://asas-sn.osu.edu/variables/312595,2M,0.765467,1,V,0.17199999999999882
439168784,J130220.33-632823.0,195.58469,-63.47305,11.41,0.12,0.189129,DSCT:,0.531,2457808.70649,5862358440397868032,-6.029,-1.295,81.15245,2776.41,J130220.26-632823.5,9.869,0.299,-0.085,49294147,0.68,7.46,II,https://asas-sn.osu.edu/variables/357807,2M,0.642538,1,V,0.18200000000000038
439331111,J093342.14-570947.7,143.42558,-57.16326,9.33,0.35,NON PERIODIC,GCAS,0.336,2458055.84491,5306938183107333120,-7.065,4.218,66.90123,1715.31,J093342.38-570948.0,8.701,0.264,0.261,39883254,0.528,1.146,II,https://asas-sn.osu.edu/variables/304629,2M,2.084854,1,V,0.1899999999999995
439399635,J000405.13-165951.2,1.02136,-16.99756,12.06,0.62,0.6060724,RRAB,0.988,2457718.65123,2414817603803476992,33.28,-4.433,372.68268,2341.85,J000405.14-165951.5,11.123,0.341,-0.021,16486184,0.403,0.023,II,https://asas-sn.osu.edu/variables/255019,2M,0.330099,1,V,0.04600000000000115
439399707,J000415.09-172529.7,1.06287,-17.42493,9.33,0.58,559.0588556,VAR,0.763,2457929.7932,2414592753675598848,-11.293,-20.589,24.28426,218.17,J000415.10-172529.7,8.541,0.244,-0.021,16485827,0.148,0.026,II,https://asas-sn.osu.edu/variables/254798,2M,0.483113,1,V,0.27999999999999936
439462694,J011922.69-230627.3,19.84453,-23.10759,9.5,0.48,645.4636128,VAR,0.482,2457186.88453,5041648223698938880,23.557,5.569,20.30625,176.98,J011922.60-230627.5,8.63,0.148,-0.021,37559014,0.292,0.017,II,https://asas-sn.osu.edu/variables/145094,2M,1.333554,1,V,0.33000000000000007
439511833,J093422.78-560625.1,143.59492,-56.10697,10.73,0.23,775.1889093,VAR,0.731,2457471.54716,5307096100446964736,-8.917,4.647,41.1588,863.56,J093423.02-560624.3,10.23,0.127,-0.019,39886294,0.17,2.102,II,https://asas-sn.osu.edu/variables/313007,2M,2.215466,1,V,0.1490000000000009
439519959,J093350.31-555505.5,143.45962,-55.91819,10.4,1.29,NON PERIODIC,VAR,0.341,2457447.56683,5307153721751882752,-5.918,1.872,34.54379,1174.11,J093350.61-555506.1,9.894,0.077,-0.025,39887667,0.155,1.98,II,https://asas-sn.osu.edu/variables/310975,2M,2.65345,1,V,0.17180000000000106
439670072,J130435.86-614018.5,196.14942,-61.67181,9.6,0.39,NON PERIODIC,GCAS,0.393,2457461.68427,5863474788285584384,-3.61,-1.998,66.77699,3414.42,J130436.02-614017.2,7.934,0.299,-0.031,49322045,0.526,4.382,II,https://asas-sn.osu.edu/variables/356136,2M,1.681131,1,V,0.23099999999999987
439907848,J030201.39-002707.3,45.5058,-0.45203,11.46,0.2,NON PERIODIC,ROT:,0.882,2458354.76307,5188070496407347200,110.6,-22.924,131.40743,245.44,J030201.30-002708.0,9.59,0.673,-0.005,37923441,,0.108,II,https://asas-sn.osu.edu/variables/345997,2M,2.452891,1,V,0.08899999999999864
440003271,J001003.30+462325.2,2.51374,46.39033,8.1,0.74,NON PERIODIC,VAR,0.263,2456642.80608,386917424557512320,9.372,-11.66,11.21535,158.17,J001003.60+462325.6,7.846,0.236,0.088,2743776,,0.102,II,https://asas-sn.osu.edu/variables/134949,2M,0.997113,1,V,0.5856699999999995
440051305,J001355.18+442302.8,3.4799,44.38411,10.29,0.58,NON PERIODIC,VAR,0.287,2456907.93054,385590588900489216,13.585,-38.848,41.45335,212.5,J001355.17+442304.4,8.973,0.377,-0.032,2727246,0.641,0.087,II,https://asas-sn.osu.edu/variables/599991,2M,2.11788,1,V,0.045999999999999375
440221208,J055120.64+420610.2,87.83599,42.10284,9.54,0.47,NON PERIODIC,VAR,0.74,2457042.86028,192351523399105760,-0.63,-3.56,11.83283,690.5,J055120.73+420610.5,8.938,0.061,-0.043,961203,1.031,0.313,II,https://asas-sn.osu.edu/variables/124877,2M,1.183844,1,V,0.45699999999999896
440459327,J060209.24+454100.3,90.53852,45.68342,8.68,1.57,NON PERIODIC,VAR,0.389,2456989.95218,,,,,,J060209.12+454055.1,9.414,0.442,-0.023,6676299,0.671,0.201,II,https://asas-sn.osu.edu/variables/125199,2M,25.311269,1,V,0.4039999999999999
440537642,J093803.49-541310.8,144.51454,-54.21966,7.62,0.45,271.7711476,VAR,0.64,2458301.51124,5308854941119963136,-11.529,8.547,12.07825,177.55,J093803.20-541308.6,6.971,-0.088,-0.155,39931784,-0.202,2.703,II,https://asas-sn.osu.edu/variables/343506,2M,3.122556,1,V,0.7400000000000002
440657189,J002727.54+265012.2,6.86475,26.83672,11.32,0.22,0.2601587,EW,0.966,2458308.07373,2855968705685232128,-47.144,-67.306,45.66296,117.23,J002727.55+265012.2,9.45,0.602,-0.019,18094760,0.868,0.039,VI,https://asas-sn.osu.edu/variables/AP18094760,2M,1.023075,1,V,0.09600000000000009
440779601,J071508.94+155544.0,108.78727,15.9289,11.75,0.63,NON PERIODIC,ROT:,0.732,2457061.87483,3168125245131332608,209.694,-169.37,68.09746,53.3,J071508.94+155543.2,,,0.074,22896873,1.141,0.093,II,https://asas-sn.osu.edu/variables/225390,2M,2.42152,1,V,0.2599999999999998
440796977,J071657.57+144616.9,109.23986,14.77135,15.8,0.45,1.564168,EA,1.0,2457417.79777,3167414209003863040,0.231,-2.003,16.34225,1709.95,J071657.55+144616.5,15.12,0.468,-0.044,22885489,1.18,0.102,VI,https://asas-sn.osu.edu/variables/AP22885489,2M,72.345838,1,V,0.9250000000000007
