sec	time

1	1327.842888817785

1	1327.8442776982533

1	1327.845666578723

1	1327.8470554596586

1	1327.8484443401271

1	1327.8498332210615

1	1327.8512221015312

1	1327.852610982466

1	1330.342874065214

1	1330.34426294478

1	1330.3456518248117

1	1330.3470407048449

1	1330.3484295848777

1	1330.3498184644436

1	1330.3512073444754

1	1330.3525962245085

1	1332.8428547174974

1	1332.8442435938045

1	1332.8456324701115

1	1332.8470213464184

1	1332.8484102231912

1	1332.8497990994983

1	1332.8511879758053

1	1332.8525768521117

1	1335.3428201078063

1	1335.3442089749403

1	1335.34559784161

1	1335.3469867087447

1	1335.3483755758791

1	1335.3497644430145

1	1335.3511533096832

1	1335.352542176818

1	1337.8427815309306

1	1337.8441703979615

1	1337.8455592649925

1	1337.8469481320237

1	1337.8483369995206

1	1337.8497258665516

1	1337.8511147335835

1	1337.8525036006145

1	1339.6594131856323

1	1339.6608020398676

1	1339.6621908941024

1	1339.6635797483377

1	1339.664968602574

1	1342.185733314162

1	1342.1871221637416

1	1342.1885110133196

1	1342.1898998628976

1	1342.1912887120116

1	1342.1926775615912

1	1342.1940664111698

1	1342.195455260748

1	1342.1968441103268

1	1344.6856600832016

1	1344.6870489301166

1	1344.6884377765662

1	1344.6898266234814

1	1344.691215469931

1	1344.6926043168455

1	1344.69399316376

1	1344.6953820102096

1	1344.6967708571256

1	1347.1855813010989

1	1347.186970144773

1	1347.1883589884478

1	1347.189747831656

1	1347.1911366753293

1	1347.1925255185388

1	1347.193914362213

1	1347.1953032058864

1	1347.196692049095

1	1349.6854967273048

1	1349.686885567684

1	1349.6882744080635

1	1349.6896632484436

1	1349.6910520888237

1	1349.6924409292033

1	1349.693829769582

1	1349.695218609962

1	1349.696607450342

1	1352.185406783165

1	1352.1867956206625

1	1352.1881844576938

1	1352.189573295191

1	1352.1909621322216

1	1352.192350969718

1	1352.1937398067496

1	1352.1951286442468

1	1352.1965174812776

2	1354.1080351993612

2	1354.1094241368044

2	1354.1108130747118

2	1354.1122020126202

2	1354.1135909500633

2	1356.6345008467501

2	1356.6358897734824

2	1356.637278700214

2	1356.6386676269472

2	1356.6400565536803

2	1356.641445480879

2	1356.642834407611

2	1356.6442233343428

2	1359.1345641108298

2	1359.1359530324396

2	1359.1373419535835

2	1359.1387308751944

2	1359.140119796805

2	1359.1415087179491

2	1359.1428976395594

2	1359.144286560704

2	1361.634618434705

2	1361.6360073516587

2	1361.6373962686118

2	1361.638785185566

2	1361.6401741020545

2	1361.641563019008

2	1361.6429519359615

2	1361.644340852449

2	1364.1346651618105

2	1364.1360540750395

2	1364.1374429882683

2	1364.1388319014957

2	1364.140220814258

2	1364.141609727487

2	1364.1429986407159

2	1364.1443875539446

2	1366.6347074078878

2	1366.6360963201844

2	1366.637485232947

2	1366.638874145244

2	1366.6402630580071

2	1366.6416519707702

2	1366.643040883067

2	1366.6444297958294

2	1368.601405289042

2	1368.602794193888

2	1368.6041830987344

2	1368.6055720035806

2	1368.6069609084277

2	1371.127812049537

2	1371.1292009441388

2	1371.1305898382755

2	1371.1319787328773

2	1371.1333676274787

2	1371.1347565216154

2	1371.1361454162172

2	1371.1375343103539

2	1373.6278165678225

2	1373.6292054563698

2	1373.6305943449177

2	1373.6319832334666

2	1373.6333721220146

2	1373.6347610105634

2	1373.6361498995777

2	1373.6375387881267

2	1376.1278115321659

2	1376.1292004160575

2	1376.1305892994833

2	1376.1319781833756

2	1376.1333670672668

2	1376.1347559506933

2	1376.1361448345856

2	1376.1375337180114

2	1378.627798507657

2	1378.6291873873581

2	1378.6305762675245

2	1378.6319651472256

2	1378.6333540269268

2	1378.6347429070931

2	1378.6361317867934

2	1378.637520666494

2	1381.1277812037545

2	1381.1291700834558

2	1381.1305589631572

2	1381.1319478433231

2	1381.1333367230238

2	1381.1347256027243

2	1381.1361144828913

2	1381.1375033625925

3	1387.7527659591494

3	1387.754154847232

3	1387.7555437357807

3	1387.7569326243295

3	1387.7583215128775

3	1387.7597104014264

3	1387.7610992899752

3	1387.762488178523

3	1390.252760184679

3	1390.2541490676397

3	1390.2555379506

3	1390.2569268335608

3	1390.2583157165216

3	1390.2597045999482

3	1390.2610934829092

3	1390.2624823658691

3	1392.7527454932972

3	1392.754134372067

3	1392.7555232503707

3	1392.7569121291406

3	1392.7583010079104

3	1392.7596898866798

3	1392.7610787654496

3	1392.7624676442194

3	1395.252726423336

3	1395.2541153030372

3	1395.2555041822727

3	1395.256893061974

3	1395.2582819412098

3	1395.25967082091

3	1395.2610597006114

3	1395.2624485798472

3	1398.712410440247

3	1398.7137993055128

3	1398.7151881703128

3	1398.7165770351128

3	1398.7179658999128

3	1398.719354765178

3	1398.720743629978

3	1398.722132494778

3	1400.7123714256534

3	1400.7137602848654

3	1400.715149143612

3	1400.7165380028234

3	1400.7179268615698

3	1400.7193157203164

3	1400.7207045795287

3	1400.7220934382751

3	1402.712324726274

3	1402.713713580364

3	1402.7151024344537

3	1402.7164912885426

3	1402.7178801426326

3	1402.7192689967226

3	1402.7206578508114

3	1402.7220467049015

3	1404.7122714769246

3	1404.713660326823

3	1404.7150491762561

3	1404.716438026155

3	1404.7178268760538

3	1404.7192157259528

3	1404.720604575852

3	1404.7219934257512

4	1413.9412966651166

4	1413.9426855480774

4	1413.9440744315039

4	1413.9454633149303

4	1413.946852198357

4	1413.948241081318

4	1413.9496299647449

4	1413.9510188481715

4	1416.9412750329443

4	1416.9426639079898

4	1416.944052782569

4	1416.9454416571475

4	1416.946830532192

4	1416.948219406771

4	1416.9496082813498

4	1416.950997155929

4	1422.9411852524445

4	1422.9425741177092

4	1422.943962982975

4	1422.945351848241

4	1422.9467407139714

4	1422.948129579238

4	1422.9495184445043

4	1422.9509073102358

4	1424.5550500733452

4	1424.5564389404744

4	1424.5578278076023

4	1424.5592166747306

4	1427.5869305051165

4	1427.5883193587401

4	1427.5897082128308

4	1427.5910970664554

4	1427.5924859200798

4	1427.593874773704

4	1427.5952636273273

4	1430.5868451651077

4	1430.588234010349

4	1430.589622855592

4	1430.5910117008352

4	1430.5924005460765

4	1430.593789391319

4	1430.595178237027

4	1433.5867431120928

4	1433.58813195035

4	1433.5895207886074

4	1433.5909096264

4	1433.5922984646572

4	1433.5936873029145

4	1433.5950761411718

4	1436.5866281528524

4	1436.5880169878506

4	1436.5894058228478

4	1436.5907946578454

4	1436.592183492843

4	1436.5935723278408

4	1436.5949611628394

5	1441.0270658215204

5	1441.028454724039

5	1441.029843626557

5	1441.0312325293091

5	1441.0326214318284

5	1441.0340103343465

5	1441.0353992370979

5	1444.027087385885

5	1444.0284762811864

5	1444.0298651764874

5	1444.0312540717882

5	1444.0326429670897

5	1444.0340318623907
