TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
2760219,2760219.01,2382.01,,,,,,,,PC,,11.4408,0.006,356.375185,-16.114124,12.369,0.12,-5.394,0.088,2458353.1317,.0021,4.66259,0.00051,5.889779,,5410,,0.094,0.006,84.6,.7,.9,.01,.079,.004,9.53,1.22,13.14,1.36,,,,,,,.75,.32,,,,,,,,,,,434.92,15.7905,5949,125.492,4.10968,.0859059,1.52373,.0900829,2020-08-10 07:20:18,montalto,,29398,"new CTOI, Montalto et al. (2020)"
3027456,3027456.01,,,,,,,,,PC,,9.438541,0.006,82.177755,30.121762,25.71,0.101,-49.879,0.075,2458812.3892,.0062,4.49078,0.0016,0.553867,,510,,0.141,0.016,73.879,4.502,.96,.008,.019,.008,3.458,1.928,3.443,1.67,,,,,,,.039,.178,,,,,,,,,,,198.467,2.1425,6390.61,151.5,4.14466,.116795,1.5854,.15151,2022-10-20 09:02:36,montalto,,420895,"new CTOI, Montalto (2022)"
3181884,3181884.01,,,,,,,,,PC,,16.83,1,246.241351,-50.894596,25.71,0.101,-49.879,0.075,2459212.6444,.0083,,,4.453103,0.129167,4093.06,118.96,1.6,0.67,,,,,,,,,11.78,.17,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-15 04:50:07,steuer,,94396,"Found with our in-house single transit finder"
3224605,3224605.01,5552.01,,,,,,,,PC,,11.9901,0.006,82.384951,33.246886,-9.484,0.09,-31.911,0.064,2459483.011,.0024,28.64507,0.001598,8.73503,0.531107,8012.9836,489.0478,4.2852,0.1182,,,.633,.0929,.08952,.00272,45.44,4.2986,8.6475,.5323,,,20.4423,4.2491,591.8196,29.348,,,.1851,.02,,,,,2459475.85,.0027,,,287.606,4.359,5639.5,114.529,4.54594,.075829,.883211,.0479799,2022-01-04 02:47:35,mason,,104061,"PHT Community. Saturn sized - 3 transits"
3892209,3892209.01,,,,,,,,,PC,,11.442,0.008,11.083123,-7.923376,8.46,0.112,-13.095,0.054,2459123.041,.005,,,2.500069,0.238888,2300,220,3.408,0.648,,,,,,,,,5.931,.277,,,,,,,,,,,,,,,,,,,314.156,4.757,5909,131.943,4.35924,.0789099,1.13268,.0572864,2020-11-26 04:54:55,steuer,,52129,"Found with our in-house single transit finder; transit finder output attached under 'Files'"
3900859,3900859.01,,,,,,,,,PC,,11.7976,0.007,171.676266,22.862198,-40.33,0.07,-19.152,0.086,2458899.0117,.0033,0.38607,0.00008,1.49174,,1373,,0.057,0.008,63.526,6.435,.719,.093,.036,.005,1.613,.31,3.812,.836,,,,,,,.532,.515,,,,,,,,,,,303.745,4.461,5663.27,124.919,4.43511,.0765657,1.00842,.0536608,2022-10-20 09:02:36,montalto,,420841,"new CTOI, Montalto (2022)"
4299199,4299199.01,,,,,,,,,PC,,9.66502,0.006,115.707401,30.337055,-27.098,0.069,-22.379,0.061,2458850.05,.013,,,2.086617,0.010857,1920,10,3.864,1.272,,,,,,,,,5.165,.014,,,,,,,,,,,,,,,,,,,137.135,.7055,5970,123.728,4.41222,.0776746,1.07852,.0497035,2021-01-27 11:21:34,steuer,,93717,"Found with our in-house single transit finder; Sector 20"
4426490,4426490.01,,,,,,,,,PC,,12.1616,0.007,116.578612,30.776661,-6.295,0.059,-4.36,0.034,2458841.9968,.0007,2.66844,0.0001,17.087532,,15615,,0.118,0.004,84.323,.805,.652,.054,.122,.003,6.591,.377,15.915,1.337,,,,,,,.76,.24,,,,,,,,,,,468.406,8.323,5983.3,177.254,4.3234,.101782,1.19683,.0814975,2022-10-20 09:02:36,montalto,,420902,"new CTOI, Montalto (2022)"
4672985,4672985.01,,,,,,,,,PC,,10.9918,0.007,38.470678,-10.657383,43.218,0.062,-27.741,0.057,2458429.8573,.0017,,,8.93974,0.62991,8200,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.385,2.195,5735,122.188,4.30693,.0752105,1.17454,.0553769,2020-12-21 11:43:40,brahm,,92648,"WINE single transit"
4689632,4689632.01,,,,,,,,,PC,,17.0816,0.051,281.009573,-19.544855,-2.969,0.448,-2.591,0.404,2459207.149,.006,,,5.398651,0.149473,4960,137.66,2.4,0.555,,,,,,,,,2.616,.036,,,,,,,,,,,,,,,,,,,3764.45,2406.9,5281,171,4.00693,,1.56707,,2021-02-15 04:52:08,steuer,,94400,"Found with our in-house single transit finder"
