TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
122617317,122617317.02,4311.02,,,,,,,,PC,,10.7236,0.006,41.685522,-31.17932,170.932,0.089,73.688,0.095,2459386.60733,,0.990267,,0.28765,0.004886,264.9,4.5,1.571,0.002,,,.242,.242,,,,,1.339,.069,,,1489.6,,1583,,,,.01857,,,,,,,,,,134.988,.926,5159,123.858,4.519,.0898566,.850729,.0504723,2021-07-27 16:46:11,spencer,,98543,"Corrected transit depth of 212.37 (+/-11.75) ppm. USP candidate, background stars should be checked"
122620177,122620177.01,,,,,,,,,PC,,11.7667,0.015,77.152445,40.354307,-0.105,0.085,-24.388,0.063,2458815.3859,.0169,2.57017,0.00267,1.183011,,1089,,0.162,0.022,58.819,10.246,.965,.027,.033,.016,1.864,1.537,5.966,3.325,,,,,,,.018,.059,,,,,,,,,,,460.709,15.1225,5804.35,136.529,4.02743,.0866285,1.63619,.120443,2022-10-20 09:03:27,montalto,,421022,"new CTOI, Montalto (2022)"
122897814,122897814.01,,,,,,,,,PC,,10.5333,0.006,117.927778,-5.964932,15.329,0.066,-27.474,0.049,2458488.5644,.007,3.20034,0.00133,1.811433,,1667,,0.118,0.013,82.64,2.44,.77,.07,.041,.007,6.02,1.69,8.76,2,,,,,,,.4,.44,,,,,,,,,,,300.885,3.972,5342,123.117,3.82055,.0856606,1.95596,.109711,2020-08-10 07:20:18,montalto,,29309,"new CTOI, Montalto et al. (2020)"
123012736,123012736.01,,,,,,,,,PC,,10.8376,0.006,278.953031,44.788478,-6.745,0.037,22.521,0.041,2458685.02,,4.06,,0.069272,,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.031,1.5585,6216,126.882,4.40076,.0845248,1.14209,.0503015,2021-02-15 12:33:49,chiarello,,94415,"Possible two planets as per light curve"
123125197,123125197.01,,,,,,,,,PC,,11.6197,0.008,280.619979,42.825463,5.259,0.04,-13.398,0.043,2458670.2917,.0042,13.21099,0.00022,1.427596,,1314,,0.247,0.009,88.972,.281,.302,.14,.032,.003,16.803,.713,6.746,1.121,,,,,,,.514,.178,,,,,,,,,,,651.773,9.696,6490.62,139.011,4.0143,.0963024,1.87849,.0969348,2022-10-20 09:03:27,montalto,,421063,"new CTOI, Montalto (2022)"
123233041,123233041.01,2177.01,,,,,,,,PC,,13.1448,0.007,281.288134,42.451098,2.196,0.023,3.841,0.027,2458684.4464227054,,3.5227832408479713,,10.441739,,9571.099954407835,,5.8822832661375415,,,,.850385686822344,,.09783199862216777,,,,,,,,,,,,,,,,,,,,,,,,1021.87,14.575,6179,25,4.1117,,1.5817,,2020-07-14 13:40:48,wilson,,28551,"Kepler confirmed planet KOI-10.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)"
123495874,123495874.01,2176.01,,,,,,,,PC,,12.9934,0.007,282.629633,46.323281,-3.546,0.023,-11.776,0.023,2458687.684272609,,7.886192640439142,,7.625187,,6998.452693896813,,2.878221705544264,,,,.0000004047016932921076,,.08365675521974787,,,,,,,,,,,,,,,,,,,,,,,,722.795,6.5885,5883,146.406,4.25308,.0825663,1.27992,.0708593,2020-07-14 13:40:48,wilson,,28551,"Kepler confirmed planet KOI-22.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)"
123496379,123496379.01,,,,,,,,,PC,,11.4767,0.006,282.714354,45.838869,-13.133,0.046,-31.094,0.045,2458699.4466,.0025,,,34.76439,3.576872,31512,3289,6.5,,,,,,,,,,18.3817,1.2642,,,,,,,,,,,,,,,,,,,250.991,1.429,5653.4,109.432,4.48733,.0733429,.946284,.0425452,2022-04-28 22:03:58,dragomir,tfopwg,415348,"single transit event from the TSTPC working group"
123664207,123664207.01,2493.01,,,,,,,,PC,,11.433,0.006,89.746248,-21.575094,33.223,0.022,113.235,0.056,2459225.8061,.0049,,,1.831313,0.198089,1685.28,182.43,4,2.78,,,,,,,,,2.93,.15,,,,,,,,,,,,,,,,,,,93.1416,.24335,4242,122.601,4.62878,.104086,.652251,.0585929,2021-02-15 04:50:07,steuer,,94389,"Found with our in-house single transit finder"
123755508,123755508.01,,,,,,,,,PC,,12.5532,0.006,115.804881,-47.769109,-5.292,0.024,7.937,0.025,2458492.575,.004,15.2869,0.002,17.936039,,16384,,4.62,0.17,87.9,.3,.77,.05,.128,.0059,,,18.1,2.1,,,,,,,,,.1256,.0011,,,,,,,,,401.093,2.1855,4484,123,,,1.59875,,2020-11-03 06:37:20,nardiello,,36690,"new CTOI likely member of Velorum association, PATHOS-38 in Nardiello (2020)"
124029677,124029677.01,5153.01,,,,,,,,PC,,11.215,0.007,91.54032,-19.953444,8.695,0.041,-34.562,0.059,2459218.0119,.009,,,5.560186,0.28563,5108.03,263.04,4.4,0.48,,,,,,,,,10.82,.27,,,,,,,,,,,,,,,,,,,390.484,4.457,6408,125.597,4.26601,.0868095,1.38459,.061191,2021-02-15 04:50:07,steuer,,94390,"Found with our in-house single transit finder"
124095888,124095888.01,2358.01,,,,,,,,PC,,11.5137,0.007,196.285834,-31.985378,-6.391,0.09,-14.182,0.118,2458570.1461,.0017,1.12548,0.00021,2.022438,,1861,,0.027,0.004,78.83,2.96,1.01,.14,.079,.147,5.2,1.18,10.7,20.46,,,,,,,2.1,1.47,,,,,,,,,,,395.046,8.438,6423,126.065,4.36128,.0897868,1.24077,.0603869,2020-08-10 07:20:18,montalto,,29439,"new CTOI, Montalto et al. (2020)"
124206468,124206468.01,2357.01,,,,,,,,PC,,11.4586,0.006,197.200536,-31.499464,4.491,0.104,-0.829,0.073,2458570.8294,.0028,7.0939,0.00129,6.049171,,5556,,0.138,0.006,84.74,.86,.89,.01,.075,.011,9.74,1.71,12.92,2.56,,,,,,,.35,.22,,,,,,,,,,,503.535,11.249,6493,132.085,4.16587,.0869202,1.5777,.074799,2020-08-10 07:20:18,montalto,,29440,"new CTOI, Montalto et al. (2020)"
124515764,124515764.01,2355.01,,,,,,,,PC,,11.7959,0.006,199.021029,-33.76396,-25.369,0.063,-7.35,0.069,2458570.8462,.0074,1.27154,0.00063,1.105842,,1018,,0.104,0.011,89.82,0,.01,.29,.031,.004,4.01,.26,3.95,.64,,,,,,,.75,.33,,,,,,,,,,,418.251,6.009,6296,125.799,4.39428,.0827364,1.1664,.0502312,2020-08-10 07:20:18,montalto,,29445,"new CTOI, Montalto et al. (2020)"
124852105,124852105.01,,,,,,,,,PC,,12.168,0.007,94.94077,-30.886696,8.078,0.083,-7.315,0.1,2458468.1706,.0004,0.26962,0.00001,10.071168,,9233,,0.057,0.001,42.76,5.28,.82,.02,.102,.005,1.11,.06,16.95,1.7,,,,,,,.36,.08,,,,,,,,,,,586.168,18.1235,5848,122.463,4.09835,.0784992,1.52235,.0823568,2020-08-10 07:20:18,montalto,,29441,"new CTOI, Montalto et al. (2020)"
125192758,125192758.01,,5,5,5,5,5,5,5,PC,FP,14.1452,0.011,105.394824,-8.816844,-0.83,0.057,-0.357,0.053,2458492.689092073,.005194524535909295,1.7306882364130334,0.0006749908248124825,35.612336,21.505482,32268.08100739372,19612.40559358689,2.6864943661050957,0.6575725647618619,72.73502181723704,6.471461416425677,.989376392541696,.4619497044016473,.1796331845940324,.0772021329018234,3.33357697194692,.9772137114419448,29.24658979244059,8.773976937732176,,,,,,,,,,,,,,,,,,,1100.46,47.425,5384,123,4.05864,,1.49265,,2019-11-01 06:09:23,bouma,tfopwg,5723,"Giant PC in M50, 100Myr star; rot variable. Parallax a tad low, but within CG18's M50 members.  (CDIPS; Bouma+19)"
125358479,125358479.01,,,,,,,,,PC,,12.2915,0.006,123.688179,-14.421457,-30.325,0.075,9.307,0.049,2458492.51,,5.01,,0.035797,,32.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.661,3.7855,5165,125.882,4.52649,.0884921,.844391,.0509548,2021-06-07 09:30:06,chiarello,,97531,"Camera 2, CCD 3, Column 634, Row 647, Sector 7"
125414447,125414447.01,,,,,,,,,PC,,14.2935,0.017,105.730319,-8.436902,0.003,0.061,-0.654,0.052,2458493.2,.004,3.7069,0.0008,58.484348,,52441,,2.393,,85.4,.5,.88,.09,.229,.052,10.4,.3,25.1,5.7,,,,,,,,,,,,,,,,,,,1042.65,42.325,6037,122,4.38644,,1.12311,,2020-11-03 04:43:57,nardiello,,36661,"new CTOI likely member of NGC 2323     , PATHOS-09 in Nardiello et al. (2020)"
125489144,125489144.01,,,,,,,,,PC,,11.8752,0.006,354.933908,40.596381,12.952,0.045,35.588,0.032,2458787.6524,.0044,,,11.099566,2.936541,10171,2701,6.4,,,,,,,,,,8.0249,1.22,,,,,,,,,,,,,,,,,,,154.798,.717,4682,131.208,4.58497,.092954,.729807,.0540302,2022-04-28 22:03:58,dragomir,tfopwg,415363,"single transit event from the TSTPC working group"
126098688,126098688.01,,,,,,,,,PC,,9.2081,0.006,56.286658,32.976883,50.785,0.078,-36.06,0.047,2458795.63045,,5.913825,0.007519,0.682057,0.205224,628,189,3.586,0.246,,,,,,,,,2.52,.41,,,208.4,,961,,,,.063,,,,,,,,,,86.3434,.34145,5595.55,118.019,4.49621,.0766822,.930564,.0444623,2020-01-02 18:15:31,damboiu,,8516,"Signal displays possible TTVs"
126278294,126278294.01,,,,,,,,,PC,,10.7564,0.006,134.066369,25.196724,-24.452,0.107,-9.211,0.068,2459570.23,.001,,,1.184098,0.065146,1090,60,4.667,2.668,,,,,,,,,3.951,.107,,,,,,,,,,,,,,,,,,,204.257,2.807,5648.05,106.288,4.36193,.0735214,1.0927,.0522814,2022-02-06 07:02:28,vogl,,107755,"Found with our in-house single transit finder; Sector 46"
126572546,126572546.01,2527.01,,,,,,,,PC,,11.1673,0.032,136.653301,-50.48045,-13.033,0.248,7.838,0.235,,,2.302,,1.086279,0.32577,1000,300,5.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.085,85.498,6919,258.918,3.54099,.109935,3.45166,.385246,2020-12-10 12:26:59,grunblatt,,61031,"planet candidate around evolved hot star"
126600730,126600730.01,,,,,,,,,PC,,15.4686,0.018,116.077234,-28.325305,-2.013,0.06,1.2,0.067,2458497.305,.011,6.2991,0.0067,11.355172,,10404,,3.324,,84.7,1.9,.75,.18,.102,.027,9.3,1,23.8,8,,,,,,,,,,,,,,,,,,,4043,705.455,7487,125,3.90287,,2.42864,,2020-11-03 04:43:57,nardiello,,36662,"new CTOI likely member of Haffner 14   , PATHOS-10 in Nardiello et al. (2020)"
126797048,126797048.01,,,,,,,,,PC,,8.8855,0.006,137.046678,-50.613758,-6.462,0.055,-26.792,0.055,2459284.358,.02,,,3.044325,0.108579,2800,100,22.8,0.2,,,,,,,,,10.5,.5,,,,,,,,,,,,,,,,,,,187.473,1.1515,7271,132.644,4.15114,.0841284,1.78191,.0635578,2021-05-13 04:59:48,gsun,,96992,"newCTOI"
126945917,126945917.01,,,,,,,,,PC,,9.1063,0.006,318.732623,-43.395502,44.059,0.081,-12.722,0.072,2458325.6218,,1.347917,,2225.344165,,871215.874271156,,6.66666666666667,,,,,,,,,,73.6053970136627,,,,,,,,,,,,,,,,,,,,310.176,5.5135,7580,145.012,3.98548,.083325,2.23383,.085402,2019-05-25 09:17:28,lipponen,,3787,"sector1"
126945917,126945917.02,,,,,,,,,PC,,9.1063,0.006,318.732623,-43.395502,44.059,0.081,-12.722,0.072,2458326.2885,,1.342361,,1117.184164,,642623.21768236,,5.03333333333333,,,,,,,,,,122.614451487989,,,,,,,,,,,,,,,,,,,,310.176,5.5135,7580,145.012,3.98548,.083325,2.23383,.085402,2019-05-25 09:17:28,lipponen,,3787,"sector1"
126984335,126984335.01,,,,,,,,,PC,,9.8872,0.006,24.363431,17.846511,140.264,0.101,-53.714,0.139,2459490.366,.021,,,1.325407,0.04343,1220,40,6.734,5.656,,,,,,,,,2.992,.052,,,,,,,,,,,,,,,,,,,82.1672,.41335,5062,121.382,4.57783,.0883295,.784923,.0479799,2021-11-22 13:59:32,vogl,,102249,"Found with our in-house single transit finder; Sector 43"
127505658,127505658.01,5564.01,,,,,,,,PC,,11.6871,0.006,80.947217,35.417549,10.743,0.069,3.524,0.051,2458840.5352,.0046,,,12.612137,1.668973,11549,1536,,,,,,,,,,,10.4252,.8681,,,,,,,,,,,,,,,,,,,251.487,2.5905,5722,253.654,4.55073,.0905375,.88753,.0446105,2022-04-28 22:03:58,dragomir,tfopwg,415379,"single transit event from the TSTPC working group"
127505662,127505662.01,,,,,,,,,PC,,10.4894,0.006,80.943667,35.415306,-3.396,3.132,-14.157,2.862,2458840.5398,.0042,,,3.898268,0.499554,3584,460,,,,,,,,,,,8.9393,,,,,,,,,,,,,,,,,,,,229.173,,6288,,,,1.37004,,2022-04-28 22:03:58,dragomir,tfopwg,415387,"single transit event from the TSTPC working group"
128703021,128703021.01,,,,,,,,,PC,,5.5859,0.006,219.793951,-46.585398,-198.202,0.122,-214.385,0.08,2458601.85,,0,,0.651637,0.217169,600,200,7.2,2,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,34.0141,.06055,6281.14,103.866,4.12175,.07672,1.59629,.0630025,2020-03-06 02:04:31,eisner,tfopwg,17977,"Planet Hunters TESS candidate. Single transit event."
129004128,129004128.01,,,,,,,,,PC,,11.9084,0.007,341.055511,39.043157,16.148,0.033,2.295,0.039,2458738.5577,.0063,1.16996,0.00056,1.310188,,1206,,0.076,0.015,55.448,4.257,.994,.005,.056,0,1.753,.27,10.723,.709,,,,,,,.074,.053,,,,,,,,,,,592.971,10.462,6039.19,136.382,4.00578,.0906297,1.74081,.0956987,2022-10-20 09:03:27,montalto,,421004,"new CTOI, Montalto (2022)"
129103090,129103090.01,,,,,,,,,PC,,11.892,0.006,341.609646,39.263458,-25.811,0.036,-34.261,0.037,2458734.7755,.0161,6.27099,0.00588,2.026789,,1865,,0.104,0.015,88.671,.539,.424,.181,.04,.004,18.26,1.191,3.891,.686,,,,,,,2.923,1.277,,,,,,,,,,,264.873,2.077,5598.43,105.609,4.56993,.0803382,.854847,.0470352,2022-10-20 09:03:27,montalto,,421009,"new CTOI, Montalto (2022)"
129203523,129203523.01,,,,,,,,,PC,,11.0219,0.006,342.290328,39.029517,20.928,0.04,-35.798,0.038,2458737.2958,.0163,1.72745,0.00183,0.558212,,514,,0.161,0.032,28.556,18.832,.968,.011,.021,.007,1.103,1.141,3.097,1.241,,,,,,,.009,.077,,,,,,,,,,,310.019,3.0125,6055.58,149.869,4.23428,.0898181,1.34292,.0785125,2022-10-20 09:03:27,montalto,,421003,"new CTOI, Montalto (2022)"
129204392,129204392.01,,,,,,,,,PC,,8.8434,0.006,342.192134,38.034809,22.949,0.039,-20.743,0.046,2458733.3416,.0184,5.56561,0.00555,0.43764,,403,,0.173,0.015,82.37,2.831,.822,.053,.02,.004,6.194,1.91,2.882,.779,,,,,,,.145,.266,,,,,,,,,,,128.429,.6235,6753,143.465,4.38978,.0872518,1.27036,.0505779,2022-10-20 09:03:27,montalto,,420989,"new CTOI, Montalto (2022)"
129268651,129268651.01,,,,,,,,,PC,,13.8728,0.007,118.767185,-28.829894,-119.149,0.074,-31.476,0.082,2458526.25411,.00272,5.965288,0.001875,0.000109,,0.1,0,0.087,0.009,90.21,.99,-.098,.468,.2175,.0121,27,2.7,5.41,.34,,,4.3,.4,400.9,8.5,,,.0373,.0002,0,0,,,,,,,56.9275,.15745,3380,157,5.01784,.0181984,.227887,.00687227,2019-06-10 08:56:06,cloutier,,4047,"new CTOI from ORION (https://arxiv.org/abs/1812.08145)"
129711632,129711632.01,,,,,,,,,PC,,14.3355,0.008,322.118531,-37.649275,8.995,0.114,-23.189,0.091,2458324.9783,.0017,1.16004,0.00012,17.256298,,15768,,0.045,0.004,85.144,.932,.638,.065,.122,0,7.54,.795,9.336,.654,,,,,,,6.022,3.228,,,,,,,,,,,338.917,11.1685,3692,157,4.5691,.0164952,.700786,.0252819,2022-10-20 09:04:55,montalto,,421486,"new CTOI, Montalto (2022)"
129756316,129756316.01,,,,,,,,,PC,,9.74061,0.006,34.836888,40.993944,31.088,0.09,-14.244,0.092,2458789.9366,.000484,6.526329,,8.361886,,7672,,0.26,0.003,85.374,.884,.588,.035,.085,.002,7.286,.372,19.505,1.814,,,,,,,.172,.037,,,,,,,,,,,300.063,6.5685,6409,125.631,3.92746,.0874798,2.04297,.100329,2022-10-20 09:03:27,montalto,,421029,"new CTOI, Montalto (2022)"
129762963,129762963.01,,,,,,,,,PC,,13.5567,0.007,35.113017,39.003484,0.581,0.078,-1.529,0.059,2458791.79297436,.00286439,1.04629347,0.00022869,12.162976,10.462458,11140,9590,1.49,0.217,,,.712,.305,.12893,.04209,4.61,1.43,20.44,8.8,,,,,,,,,,,,,,,,,,,929.433,27.151,5415,127,4.05961,,1.49897,,2022-02-19 11:17:05,bouma,tfopwg,108227,"Qual:A,NotCM?,1.2e+09yr. Wrn: mean(R)=1.166. Rp=(0.59-3.40)Rj. b=0.12-1.08 (3-97HDI)."
129904995,129904995.01,,,,,,,,,PC,,8.8702,0.006,36.169458,40.139082,-120.312,0.082,-153.689,0.076,2458786.5453,.0125,4.1791,0.00322,0.380074,,350,,0.077,0.011,84.369,.937,.881,.013,.022,.006,8.975,3.521,1.972,.687,,,,,,,.785,3.4,,,,,,,,,,,41.3629,.1008,4517,118.676,4.46025,.0917896,.821367,.0624724,2022-10-20 09:03:27,montalto,,421019,"new CTOI, Montalto (2022)"
129979519,129979519.01,,,,,,,,,PC,,10.7503,0.006,36.7153,37.536993,-5.246,0.082,-10.798,0.068,2458791.38,,1.22,,0.777915,,716.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.356,.739,5014,116.782,4.55312,.0825341,.799457,.046696,2021-03-31 10:50:16,chiarello,,95802,"camera 1; ccd 2; column 816; row 1419; sector 18"
130370378,130370378.01,,,,,,,,,PC,,8.422,0.032,104.444296,-44.291157,-1102.66,2,-43.17,2,2459231.752,.005,,,1.738569,0.108579,1600,100,6.6,0.2,,,,,.04,.0013,,,1.22,.05,,,,,,,,,,,,,,,,,,,11.67992,,,,4.86012,.00094503,.364271,.0109464,2021-03-17 23:34:22,deen,,95523,"single transit (nominal period: 490 days)"
130469151,130469151.01,,,,,,,,,PC,,12.3078,0.006,104.830063,-47.759125,-2.209,0.042,10.659,0.041,2458468.3008,.0032,2.40296,0.00018,5.875588,,5397,,0.078,0.006,78.06,1.41,.97,.12,.082,.074,4.7,.65,16.31,15.58,,,,,,,.34,.17,,,,,,,,,,,794.86,13.2115,6258,137.701,4.00327,.0848527,1.82212,.0862513,2020-08-10 07:20:18,montalto,,29482,"new CTOI, Montalto et al. (2020)"
130613275,130613275.01,,,,,,,,,PC,,10.7657,0.006,105.825266,-42.068667,-14.054,0.043,23.395,0.042,2458484.85,.0044,8.47684,0.00205,6.767814,,6214,,0.13,0.005,84.91,.38,.95,.02,.082,.019,10.72,.78,25.41,7.18,,,,,,,.32,.12,,,,,,,,,,,641.453,9.694,6416,133.424,3.64275,.0890983,2.83761,.129513,2020-08-10 07:20:18,montalto,,29341,"new CTOI, Montalto et al. (2020)"
130718055,130718055.01,,,,,,,,,PC,,9.595,0.006,203.472673,-2.235469,35.652,0.096,-15.311,0.061,2458897.82,.1,,,3.425467,0.217169,3150,200,7.3,0.8,,,,,,,,,4.8,1,,,,,,,,,,,,,,,,,,,76.9167,.2867,5227,125.39,4.59376,.080726,.788585,.0451759,2022-02-11 05:47:11,eisner,,108014,"PHT candidate. Possible period 207.65 d. Unusual transit shape needs to be investigated. Events close to momentum dumps."
131419878,131419878.01,720.01,,,,,,,,PC,,8.8154,0.006,118.037196,-37.799016,-12.175,0.112,8.992,0.11,3458494.08915,.00651,3.1604,0.00071,0.220427,0.001086,203,1,1.922,0.489,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,151.634,1.4935,6681,132.559,4.20216,.0852412,1.55798,.0683141,2019-04-18 06:11:48,kcollins,tfopwg,3205,"possible NEB"
133260600,133260600.01,,,,,,,,,PC,,13.8454,0.006,120.814147,-37.278252,-9.303,0.038,5.619,0.039,2458518.47746052,.00119558,1.42374409,0.00012496,167.294594,43.587032,142800,39350,2.47,0.136,79.9,1.6,.855,.139,.37789,.07364,4.87,.18,43.72,13.12,,,,,,,,,,,,,,,,,,,488.274,5.551,4687,122,4.26195,,1.0607,,2020-01-03 11:21:12,bouma,tfopwg,8521,"Probably EB, else HJ in Vela OB2 pop2 (<50Myr, CG19)."
133323306,133323306.01,,,,,,,,,PC,,11.9726,0.007,149.572288,-49.941819,-10.224,0.057,5.704,0.044,2458558.32394991,.00508751,1.09506063,0.00044528,3.098766,0.217169,2850,200,2.631,0.615,81.2,8,.473,.431,.0534,.00262,3.08,.57,12.55,.85,,,,,,,,,,,,,,,,,,,922.908,25.9115,7330,136.4,3.99106,.0840126,2.15555,.101249,2020-01-03 11:21:12,bouma,tfopwg,8521,"Cand 1.1d HJ, Theia 988 (~500Myr; KC19). Short period rotn(?) signal too. Multisector."
133655284,133655284.01,3378.01,,,,,,,,PC,,12.0588,0.009,121.289884,-41.187617,-5.545,0.045,8.331,0.043,2458500.5,.5,2.61,0.01,2.173647,0.217169,2000,200,5.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.563,22.8015,7363,142.458,3.80043,.0826678,2.69264,.118834,2020-12-22 10:30:42,grunblatt,,92721,"hot Jupiter candidate around hot, evolved star"
134528212,134528212.01,,,,,,,,,PC,,13.7025,0.006,122.413793,-37.371099,4.079,2.85,-4.126,2.85,2458492.259666701,.002742790617048741,1.6052396275434235,0.0003335330681822901,14.927555,7.269424,13654.703335187733,6673.022969491445,1.8457391282985087,0.5692965005768077,84.06739597190902,6.483996954097486,.6361707641387302,.7197943383026958,.11685334113831633,.040380016067797134,6.154989047226482,1.8888896131291664,15.573008369147153,7.126463721774588,,,,,,,,,,,,,,,,,,,705.238,,,,,,,,2019-09-18 09:12:28,bouma,tfopwg,5724,"Cand HJ, Dias14 says in NGC2546. Occ depth implies likely EB. Star is 2sigma off in parallax & PMs. (CDIPS; Bouma+19)"
134549022,134549022.01,,,,,,,,,PC,,11.5649,0.006,108.622439,-43.463984,-1.545,0.032,-11.122,0.034,2458483.8245,.0006,11.53405,0.00019,19.536655,,17833,,0.119,0.005,87.43,.22,.93,.08,.149,.055,20.72,1.51,16.8,6.91,,,,,,,1.27,.38,,,,,,,,,,,318.085,1.8175,6144,128.872,4.47777,.0799813,1.03333,.0465452,2020-08-10 07:20:18,montalto,,29472,"new CTOI, Montalto et al. (2020)"
134631912,134631912.01,,,,,,,,,PC,,10.3925,0.009,182.118081,-41.348987,-1.1,2.1,-7.2,2,2458569.59,,1.06,,0.6655,,612.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.626,,6370,,,,1.41226,,2021-01-24 15:13:59,chiarello,,93487,"All info obtained using the Light Kurve framework"
135036669,135036669.01,2640.01,,,,,,,,PC,,15.709,0.008,150.273202,-52.435796,-22.692,0.15,7.371,0.147,2458544.62803991,.00321066,0.91122495,0.00019845,66.51065,2.739508,59420,2520,3.172,0.488,81.9,5.9,.382,.279,.24377,.0073,2.72,.28,7.31,.32,,,,,,,,,,,,,,,,,,,131.444,1.554,2999,157,4.95462,.00770906,.274907,.008943101,2020-01-03 11:21:12,bouma,tfopwg,8521,"Cand super-Neptune; IC2602 (30Myr; KC19). PMS M dwarf. Faint."
135050395,135050395.01,,,,,,,,,PC,,9.5765,0.006,184.83703,-39.857046,-108.735,0.049,14.018,0.023,2458567.7233,.0002,6.76012,0.00009,23.12756,,21076,,0.104,0.003,87.67,.18,.73,.02,.145,.003,18.07,.8,13.27,.97,,,,,,,2.44,.41,,,,,,,,,,,85.3758,.28485,5371,127.157,4.56036,.0826891,.837717,.0461558,2020-08-10 07:20:18,montalto,,29339,"new CTOI, Montalto et al. (2020)"
135100529,135100529.01,5628.01,,,,,,,,PC,,14.4733,0.006,185.727955,18.836705,-171.085,0.127,-28.273,0.103,2459640.621,.001,4.341,0.001,46.586227,5.442298,42000,5000,1.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.03,.9085,3427,122,,,,,2022-05-18 04:08:39,eisner,,415790,"PHT candidate. No Gaia radius. Given Teff, color, parallax likely late type star."
135145585,135145585.01,,,,,,,,,PC,,11.5092,0.006,185.408019,-41.19529,-33.177,0.047,2.524,0.021,2458569.6934,.002,1.51001,0.00018,4.493376,,4130,,0.057,0.004,76,2.09,.95,.02,.054,.008,3.91,.7,8.08,1.7,,,,,,,.5,.28,,,,,,,,,,,351.789,4.35,5617,134.309,4.16023,.0815578,1.37005,.0731256,2020-08-10 07:20:18,montalto,,29469,"new CTOI, Montalto et al. (2020)"
135230723,135230723.01,,,,,,,,,PC,,12.2804,0.008,243.561825,23.303387,-51.652,0.03,14.083,0.036,2458951.6244,.0002,6.77601,0.00005,28.968297,,26328,,0.206,0.004,86.032,.159,.671,.012,.142,.005,9.691,.231,18.803,2.305,,,,,,,.375,.033,,,,,,,,,,,426.401,4.1075,5655.47,100.16,4.29846,.0688315,1.17436,.0503367,2022-10-20 09:02:36,montalto,,420847,"new CTOI, Montalto (2022)"
135243705,135243705.01,,,,,,,,,PC,,11.7929,0.006,186.194809,-39.834994,21.116,0.058,-21.952,0.049,2458569.4646,.005,2.65883,0.00088,9.52557,,8735,,0.213,0.009,81.23,1.82,.56,.09,.082,.008,3.67,.23,12.26,1.7,,,,,,,.13,.04,,,,,,,,,,,467.814,9.404,6138,128.798,4.22968,.08165,1.36906,.0641608,2020-08-10 07:20:18,montalto,,29463,"new CTOI, Montalto et al. (2020)"
135268489,135268489.01,,,,,,,,,PC,,10.6853,0.006,244.156629,19.891044,0.776,0.157,2.106,0.15,2459007.496,.005,3.702,0.005,19.721281,0.543004,18000,500,4.57,,,,,,.134,.002,,,20.7,.3,,,,,,,,,.0483,.0022,,,,,,,,,289.684,9.4415,6054,121.037,4.18939,.0831774,1.41415,.0774799,2020-07-27 17:01:03,deen,,28732,"6 transits. star variable with similar period (3.83 days)"
