HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457696.75169,2016-11-04.2523716,be,1.55,15.394,11.761,0.008,75.808,0.561,V
2457699.73977,2016-11-07.2403966,be,1.65,15.355,11.715,0.008,79.022,0.590,V
2457699.74107,2016-11-07.2416980,be,1.64,15.342,11.724,0.008,78.420,0.589,V
2457699.74236,2016-11-07.2429863,be,1.63,15.355,11.715,0.008,79.051,0.577,V
2457702.73366,2016-11-10.2342332,be,1.62,15.370,11.750,0.009,76.524,0.590,V
2457702.73495,2016-11-10.2355149,be,1.65,15.357,11.747,0.008,76.746,0.588,V
2457702.73625,2016-11-10.2368172,be,1.64,15.356,11.742,0.008,77.098,0.577,V
2457707.71963,2016-11-15.2200912,be,2.17,15.136,11.716,0.010,79.018,0.718,V
2457707.72093,2016-11-15.2213885,be,2.18,15.177,11.710,0.010,79.391,0.703,V
2457707.72226,2016-11-15.2227223,be,2.18,15.129,11.715,0.010,79.059,0.722,V
2457710.83438,2016-11-18.3347825,be,1.47,15.327,11.740,0.008,77.236,0.603,V
2457710.83567,2016-11-18.3360665,be,1.45,15.326,11.739,0.008,77.388,0.598,V
2457710.83696,2016-11-18.3373590,be,1.43,15.347,11.753,0.008,76.305,0.583,V
2457714.78759,2016-11-22.2878967,be,1.60,15.382,11.760,0.008,75.816,0.569,V
2457714.78887,2016-11-22.2891872,be,1.60,15.373,11.751,0.008,76.500,0.577,V
2457714.79018,2016-11-22.2904896,be,1.62,15.369,11.741,0.008,77.179,0.578,V
2457718.74872,2016-11-26.2489472,be,1.55,15.409,11.754,0.008,76.274,0.560,V
2457718.75000,2016-11-26.2502252,be,1.50,15.404,11.746,0.008,76.781,0.572,V
2457718.75129,2016-11-26.2515134,be,1.53,15.427,11.759,0.007,75.858,0.546,V
2457721.70940,2016-11-29.2095586,be,1.44,15.381,11.755,0.008,76.214,0.568,V
2457721.71070,2016-11-29.2108577,be,1.50,15.393,11.764,0.008,75.568,0.567,V
2457721.71210,2016-11-29.2122615,be,1.51,15.399,11.759,0.008,75.922,0.557,V
2457725.72762,2016-12-03.2276875,be,1.65,15.379,11.761,0.008,75.744,0.566,V
2457725.72891,2016-12-03.2289765,be,1.63,15.401,11.770,0.008,75.116,0.564,V
2457725.73020,2016-12-03.2302677,be,1.69,15.387,11.769,0.008,75.265,0.559,V
2457729.70641,2016-12-07.2063898,be,1.68,15.399,11.792,0.008,73.699,0.564,V
2457729.70769,2016-12-07.2076718,be,1.64,15.386,11.793,0.008,73.581,0.561,V
2457729.70898,2016-12-07.2089575,be,1.67,15.401,11.800,0.008,73.101,0.561,V
2457738.74282,2016-12-16.2425888,be,1.54,15.313,11.756,0.009,76.086,0.617,V
2457738.74413,2016-12-16.2439039,be,1.52,15.289,11.754,0.008,76.303,0.615,V
2457738.74543,2016-12-16.2452018,be,1.54,15.328,11.759,0.008,75.868,0.591,V
2457741.76622,2016-12-19.2659277,be,1.61,15.384,11.800,0.008,73.108,0.566,V
2457741.76751,2016-12-19.2672140,be,1.54,15.370,11.796,0.008,73.359,0.576,V
2457741.76879,2016-12-19.2684923,be,1.54,15.392,11.795,0.008,73.444,0.562,V
2457743.64300,2016-12-21.1426674,be,1.55,15.379,11.714,0.007,79.134,0.569,V
2457743.64429,2016-12-21.1439576,be,1.63,15.380,11.738,0.008,77.403,0.568,V
2457743.64558,2016-12-21.1452445,be,1.61,15.406,11.724,0.007,78.469,0.554,V
2457746.60871,2016-12-24.1083100,be,1.54,15.375,11.761,0.008,75.826,0.571,V
2457746.61001,2016-12-24.1096089,be,1.52,15.368,11.765,0.009,75.499,0.583,V
2457746.61130,2016-12-24.1108982,be,1.51,15.370,11.776,0.008,74.713,0.573,V
2457749.69321,2016-12-27.1927422,be,2.06,15.380,11.812,0.009,72.287,0.585,V
2457749.69450,2016-12-27.1940333,be,2.08,15.370,11.797,0.009,73.326,0.580,V
2457749.69585,2016-12-27.1953809,be,2.08,15.379,11.783,0.008,74.227,0.575,V
2457752.66147,2016-12-30.1609395,be,1.49,15.396,11.731,0.007,77.863,0.559,V
2457752.66275,2016-12-30.1622181,be,1.47,15.402,11.744,0.007,76.973,0.555,V
2457752.66404,2016-12-30.1635072,be,1.49,15.375,11.725,0.008,78.274,0.580,V
2457755.68676,2017-01-02.1861680,be,1.78,15.387,11.715,0.008,79.080,0.573,V
2457755.68804,2017-01-02.1874517,be,1.75,15.364,11.697,0.008,80.399,0.587,V
2457755.68933,2017-01-02.1887435,be,1.77,15.374,11.707,0.008,79.650,0.583,V
2457757.86550,2017-01-04.3648659,be,1.47,15.331,11.787,0.008,73.939,0.588,V
2457757.86678,2017-01-04.3661413,be,1.49,15.292,11.796,0.009,73.395,0.608,V
2457757.86811,2017-01-04.3674766,be,1.48,15.302,11.808,0.009,72.576,0.607,V
2457759.59917,2017-01-06.0984972,be,1.51,15.332,11.696,0.009,80.430,0.606,V
2457759.60046,2017-01-06.0997895,be,1.52,15.334,11.697,0.009,80.358,0.605,V
2457759.60175,2017-01-06.1010793,be,1.58,15.347,11.711,0.008,79.306,0.588,V
2457761.83778,2017-01-08.3370656,be,1.52,15.394,11.812,0.008,72.314,0.560,V
2457761.83908,2017-01-08.3383673,be,1.49,15.411,11.800,0.008,73.133,0.554,V
2457761.84036,2017-01-08.3396528,be,1.55,15.404,11.794,0.008,73.541,0.549,V
2457762.59905,2017-01-09.0983197,be,1.46,15.338,11.759,0.008,75.946,0.596,V
2457762.60035,2017-01-09.0996187,be,1.48,15.320,11.756,0.009,76.112,0.608,V
2457762.60163,2017-01-09.1009056,be,1.44,15.305,11.751,0.009,76.512,0.616,V
2457764.67883,2017-01-11.1780719,be,1.47,15.252,11.748,0.009,76.671,0.640,V
2457764.68012,2017-01-11.1793621,be,1.50,15.315,11.770,0.009,75.143,0.616,V
2457764.68143,2017-01-11.1806652,be,1.48,15.287,11.743,0.008,77.032,0.620,V
2457766.75404,2017-01-13.2532439,be,1.50,15.203,11.749,0.009,76.575,0.666,V
2457766.75533,2017-01-13.2545333,be,1.51,15.207,11.754,0.009,76.265,0.664,V
2457766.75662,2017-01-13.2558171,be,1.59,15.219,11.758,0.009,76.026,0.659,V
2457768.83081,2017-01-15.3299726,be,1.67,15.215,11.750,0.009,76.487,0.656,V
2457768.83211,2017-01-15.3312756,be,1.61,15.267,11.749,0.010,76.576,0.646,V
2457768.83340,2017-01-15.3325598,be,1.65,15.222,11.755,0.009,76.202,0.656,V
2457770.54687,2017-01-17.0460023,be,1.43,15.347,11.770,0.008,75.153,0.583,V
2457770.54815,2017-01-17.0472799,be,1.49,15.339,11.756,0.008,76.091,0.591,V
2457770.54943,2017-01-17.0485678,be,1.44,15.362,11.777,0.008,74.632,0.574,V
2457773.63149,2017-01-20.1305712,be,1.46,15.383,11.790,0.009,73.773,0.574,V
2457773.63277,2017-01-20.1318574,be,1.48,15.396,11.806,0.008,72.704,0.552,V
2457773.63401,2017-01-20.1331001,be,1.50,15.389,11.798,0.008,73.295,0.568,V
2457775.64275,2017-01-22.1417996,be,1.54,15.324,11.693,0.009,80.686,0.618,V
2457775.64404,2017-01-22.1430873,be,1.52,15.320,11.696,0.008,80.492,0.609,V
2457775.64533,2017-01-22.1443799,be,1.62,15.310,11.695,0.008,80.494,0.611,V
2457778.73664,2017-01-25.2356467,be,1.49,15.316,11.734,0.008,77.714,0.597,V
2457778.73792,2017-01-25.2369224,be,1.54,15.308,11.737,0.008,77.455,0.602,V
2457778.73920,2017-01-25.2382070,be,1.46,15.297,11.745,0.008,76.930,0.610,V
2457780.73252,2017-01-27.2314967,be,1.44,15.316,11.737,0.008,77.489,0.599,V
2457780.73381,2017-01-27.2327921,be,1.45,15.319,11.758,0.008,75.959,0.599,V
2457780.73512,2017-01-27.2340965,be,1.47,15.291,11.742,0.009,77.129,0.626,V
2457782.70211,2017-01-29.2010562,be,1.46,15.333,11.720,0.008,78.684,0.590,V
2457782.70342,2017-01-29.2023673,be,1.47,15.357,11.745,0.008,76.956,0.587,V
2457782.70472,2017-01-29.2036697,be,1.44,15.345,11.739,0.009,77.267,0.599,V
2457786.68794,2017-02-02.1868464,be,1.63,15.374,11.744,0.008,77.004,0.577,V
2457786.68925,2017-02-02.1881467,be,1.59,15.355,11.725,0.008,78.349,0.589,V
2457786.69055,2017-02-02.1894524,be,1.62,15.369,11.730,0.009,77.954,0.584,V
2457789.70787,2017-02-05.2067402,be,1.69,15.374,11.826,0.008,71.326,0.574,V
2457789.70918,2017-02-05.2080424,be,1.64,15.358,11.818,0.008,71.871,0.580,V
2457789.71048,2017-02-05.2093503,be,1.65,15.357,11.811,0.008,72.341,0.577,V
2457790.72325,2017-02-06.2221114,be,1.55,15.319,11.732,0.009,77.776,0.619,V
2457790.72456,2017-02-06.2234128,be,1.57,15.338,11.710,0.008,79.418,0.592,V
2457790.72585,2017-02-06.2247122,be,1.56,15.300,11.709,0.008,79.468,0.618,V
2457792.52557,2017-02-08.0244085,be,1.48,15.232,11.745,0.009,76.873,0.648,V
2457792.52687,2017-02-08.0257125,be,1.48,15.190,11.746,0.010,76.786,0.690,V
2457792.52815,2017-02-08.0269866,be,1.50,15.153,11.748,0.010,76.668,0.722,V
2457795.59927,2017-02-11.0980780,be,1.70,15.143,11.696,0.010,80.478,0.713,V
2457795.60056,2017-02-11.0993743,be,1.81,15.110,11.701,0.010,80.102,0.731,V
2457795.60186,2017-02-11.1006731,be,1.74,15.058,11.696,0.010,80.445,0.755,V
2457798.72214,2017-02-14.2209309,be,1.52,15.267,11.705,0.008,79.768,0.628,V
2457798.72341,2017-02-14.2221960,be,1.58,15.207,11.701,0.010,80.077,0.677,V
2457798.72472,2017-02-14.2235052,be,1.52,15.264,11.721,0.008,78.646,0.630,V
2457800.69490,2017-02-16.1936741,be,1.46,15.311,11.749,0.009,76.629,0.613,V
2457801.77355,2017-02-17.2723123,be,1.51,15.323,11.804,0.009,72.850,0.587,V
2457801.77486,2017-02-17.2736241,be,1.49,15.345,11.811,0.008,72.352,0.582,V
2457801.77617,2017-02-17.2749348,be,1.49,15.322,11.818,0.009,71.845,0.592,V
2457802.73115,2017-02-18.2299055,be,1.45,15.302,11.712,0.009,79.250,0.618,V
2457802.73246,2017-02-18.2312190,be,1.40,15.324,11.701,0.008,80.027,0.599,V
2457802.73377,2017-02-18.2325296,be,1.48,15.311,11.714,0.008,79.149,0.604,V
2457803.65696,2017-02-19.1557082,be,1.49,15.354,11.708,0.009,79.561,0.593,V
2457803.65827,2017-02-19.1570175,be,1.49,15.348,11.694,0.008,80.598,0.593,V
2457803.65958,2017-02-19.1583327,be,1.40,15.346,11.695,0.008,80.514,0.590,V
2457805.52852,2017-02-21.0272604,be,1.81,15.373,11.827,0.009,71.305,0.577,V
2457805.52982,2017-02-21.0285605,be,1.81,15.359,11.806,0.008,72.733,0.572,V
2457805.53112,2017-02-21.0298677,be,1.76,15.370,11.819,0.008,71.858,0.573,V
2457807.60448,2017-02-23.1032089,be,1.47,15.338,11.677,0.008,81.882,0.598,V
2457807.60576,2017-02-23.1044972,be,1.44,15.341,11.690,0.008,80.836,0.590,V
2457808.61933,2017-02-24.1180631,be,1.51,15.367,11.743,0.008,77.080,0.583,V
2457808.62065,2017-02-24.1193752,be,1.50,15.379,11.746,0.008,76.835,0.574,V
2457808.62196,2017-02-24.1206943,be,1.46,15.353,11.736,0.008,77.547,0.574,V
2457816.72595,2017-03-04.2246670,be,1.46,15.332,11.756,0.008,76.097,0.588,V
2457816.72726,2017-03-04.2259674,be,1.51,15.335,11.776,0.008,74.686,0.589,V
2457816.72856,2017-03-04.2272765,be,1.49,15.320,11.770,0.008,75.153,0.593,V
2457818.56619,2017-03-06.0649052,be,1.64,15.330,11.715,0.008,79.012,0.600,V
2457818.56749,2017-03-06.0662016,be,1.63,15.318,11.721,0.008,78.664,0.600,V
2457818.56880,2017-03-06.0675131,be,1.62,15.316,11.700,0.008,80.117,0.606,V
2457822.72473,2017-03-10.2234531,be,1.50,15.260,11.697,0.009,80.373,0.702,V
2457822.72603,2017-03-10.2247509,be,1.43,15.273,11.706,0.009,79.753,0.699,V
2457822.72732,2017-03-10.2260406,be,1.46,15.295,11.683,0.009,81.386,0.680,V
2457823.72000,2017-03-11.2187172,be,1.51,15.254,11.685,0.009,81.284,0.686,V
2457823.72131,2017-03-11.2200261,be,1.54,15.204,11.676,0.009,81.957,0.739,V
2457823.72262,2017-03-11.2213354,be,1.54,15.175,11.686,0.010,81.164,0.766,V
2457825.68467,2017-03-13.1833907,be,1.52,15.210,11.764,0.010,75.523,0.729,V
2457825.68598,2017-03-13.1847053,be,1.56,15.216,11.750,0.010,76.585,0.707,V
2457825.68729,2017-03-13.1860119,be,1.53,15.258,11.762,0.010,75.697,0.696,V
2457827.64536,2017-03-15.1440951,be,1.53,15.317,11.658,0.009,83.304,0.699,V
2457827.64668,2017-03-15.1454054,be,1.59,15.270,11.671,0.009,82.270,0.689,V
2457827.64797,2017-03-15.1467019,be,1.50,15.308,11.660,0.009,83.166,0.683,V
2457829.69701,2017-03-17.1957472,be,1.52,15.336,11.757,0.009,76.013,0.655,V
2457829.69830,2017-03-17.1970454,be,1.48,15.281,11.761,0.010,75.748,0.684,V
2457829.69962,2017-03-17.1983559,be,1.54,15.323,11.766,0.009,75.470,0.655,V
2457830.59127,2017-03-18.0900179,be,1.46,15.409,11.688,0.009,81.063,0.651,V
2457830.59259,2017-03-18.0913356,be,1.49,15.394,11.700,0.009,80.165,0.656,V
2457830.59390,2017-03-18.0926446,be,1.43,15.395,11.692,0.008,80.807,0.633,V
2457835.70782,2017-03-23.2065982,be,1.49,15.310,11.707,0.008,79.700,0.601,V
2457836.70269,2017-03-24.2014725,be,1.55,15.351,11.782,0.008,74.309,0.578,V
2457836.70398,2017-03-24.2027592,be,1.53,15.355,11.766,0.008,75.399,0.576,V
2457836.70528,2017-03-24.2040564,be,1.55,15.344,11.796,0.008,73.351,0.588,V
2457837.63239,2017-03-25.1311810,be,1.54,15.358,11.777,0.008,74.636,0.575,V
2457837.63371,2017-03-25.1324944,be,1.47,15.387,11.785,0.008,74.074,0.565,V
2457837.63502,2017-03-25.1338025,be,1.47,15.375,11.778,0.008,74.611,0.576,V
2457839.62721,2017-03-27.1260166,be,1.47,15.361,11.710,0.008,79.379,0.583,V
2457839.62865,2017-03-27.1274546,be,1.42,15.361,11.705,0.007,79.815,0.576,V
2457839.63009,2017-03-27.1288905,be,1.41,15.355,11.704,0.008,79.867,0.580,V
2457844.68052,2017-04-01.1793697,be,1.49,15.340,11.778,0.008,74.611,0.587,V
2457844.68183,2017-04-01.1806747,be,1.48,15.344,11.780,0.008,74.474,0.584,V
2457844.68314,2017-04-01.1819903,be,1.54,15.344,11.765,0.008,75.460,0.584,V
2457846.67454,2017-04-03.1734053,be,1.57,15.328,11.712,0.008,79.217,0.603,V
2457846.67584,2017-04-03.1747043,be,1.53,15.331,11.728,0.008,78.105,0.597,V
2457846.67715,2017-04-03.1760145,be,1.54,15.321,11.695,0.008,80.525,0.608,V
2457848.66904,2017-04-05.1679302,be,1.64,15.306,11.785,0.008,74.092,0.603,V
2457848.67035,2017-04-05.1692424,be,1.55,15.308,11.782,0.008,74.291,0.600,V
2457848.67166,2017-04-05.1705512,be,1.69,15.315,11.795,0.009,73.428,0.602,V
2457851.65837,2017-04-08.1572931,be,1.79,15.243,11.743,0.010,76.988,0.660,V
2457851.65963,2017-04-08.1585516,be,1.81,15.216,11.738,0.009,77.437,0.665,V
2457851.66089,2017-04-08.1598146,be,1.71,15.208,11.707,0.009,79.651,0.664,V
2457853.64584,2017-04-10.1447942,be,2.03,15.128,11.766,0.011,75.407,0.736,V
2457853.64711,2017-04-10.1460606,be,2.03,15.222,11.764,0.010,75.556,0.684,V
2457853.64837,2017-04-10.1473237,be,2.02,15.139,11.759,0.011,75.906,0.716,V
2457855.59842,2017-04-12.0974017,be,1.49,15.232,11.722,0.009,78.547,0.657,V
2457855.59969,2017-04-12.0986671,be,1.48,15.258,11.731,0.009,77.901,0.646,V
2457855.60096,2017-04-12.0999336,be,1.52,15.194,11.722,0.010,78.564,0.682,V
2457857.64293,2017-04-14.1419331,be,1.53,14.539,11.779,0.018,74.564,1.220,V
2457857.64419,2017-04-14.1431998,be,1.49,14.280,11.750,0.023,76.546,1.595,V
2457857.64546,2017-04-14.1444646,be,1.50,14.185,11.760,0.024,75.859,1.718,V
2457858.64227,2017-04-15.1412931,be,1.51,15.252,11.704,0.009,79.862,0.647,V
2457858.64354,2017-04-15.1425562,be,1.51,15.259,11.700,0.009,80.135,0.648,V
2457858.64480,2017-04-15.1438174,be,1.49,15.258,11.704,0.008,79.834,0.639,V
2457863.62270,2017-04-20.1217931,be,1.65,15.290,11.757,0.009,76.050,0.621,V
2457863.62396,2017-04-20.1230591,be,1.59,15.282,11.749,0.009,76.618,0.632,V
2457863.62523,2017-04-20.1243209,be,1.58,15.249,11.756,0.010,76.132,0.647,V
2457866.62081,2017-04-23.1199569,be,1.47,15.335,11.720,0.008,78.651,0.599,V
2457866.62209,2017-04-23.1212285,be,1.55,15.301,11.705,0.008,79.836,0.609,V
2457866.62336,2017-04-23.1225033,be,1.54,15.306,11.712,0.009,79.339,0.617,V
2457869.61152,2017-04-26.1107128,be,2.07,15.319,11.748,0.009,76.685,0.612,V
2457869.61280,2017-04-26.1119939,be,2.07,15.308,11.749,0.009,76.628,0.618,V
2457869.61408,2017-04-26.1132706,be,2.05,15.283,11.735,0.009,77.577,0.634,V
2457871.47531,2017-04-27.9745395,be,2.28,15.326,11.725,0.009,78.341,0.627,V
2457871.47658,2017-04-27.9758059,be,2.27,15.318,11.736,0.009,77.566,0.627,V
2457871.47784,2017-04-27.9770699,be,2.26,15.344,11.733,0.009,77.791,0.616,V
2457874.59640,2017-05-01.0956827,be,1.45,15.312,11.724,0.008,78.453,0.603,V
2457874.59767,2017-05-01.0969520,be,1.50,15.309,11.709,0.008,79.512,0.609,V
2457874.59894,2017-05-01.0982238,be,1.46,15.313,11.707,0.008,79.653,0.612,V
2457878.58278,2017-05-05.0821413,be,1.41,15.178,11.712,0.009,79.264,0.678,V
2457878.58404,2017-05-05.0833996,be,1.46,15.198,11.718,0.010,78.880,0.685,V
2457878.58532,2017-05-05.0846758,be,1.45,15.242,11.708,0.008,79.579,0.647,V
2457882.57338,2017-05-09.0728155,be,1.54,15.201,11.729,0.009,78.066,0.672,V
2457882.57464,2017-05-09.0740765,be,1.53,15.186,11.725,0.009,78.340,0.670,V
2457882.57590,2017-05-09.0753394,be,1.54,15.213,11.725,0.010,78.314,0.672,V
2457889.55081,2017-05-16.0503832,be,1.52,15.325,11.732,0.008,77.842,0.594,V
2457889.55208,2017-05-16.0516539,be,1.55,15.325,11.727,0.008,78.157,0.602,V
2457889.55335,2017-05-16.0529173,be,1.49,15.348,11.747,0.008,76.737,0.587,V
2457894.54319,2017-05-21.0428734,be,1.50,15.329,11.749,0.008,76.629,0.592,V
2457894.54445,2017-05-21.0441366,be,1.50,15.332,11.732,0.008,77.873,0.594,V
2457895.53272,2017-05-22.0324233,be,1.46,15.346,11.780,0.008,74.450,0.586,V
2457895.53399,2017-05-22.0336900,be,1.46,15.352,11.787,0.008,74.014,0.585,V
2457895.53525,2017-05-22.0349487,be,1.43,15.346,11.788,0.008,73.950,0.584,V
2457902.50477,2017-05-29.0046255,be,1.46,15.339,11.752,0.008,76.417,0.579,V
2457902.50603,2017-05-29.0058833,be,1.48,15.356,11.766,0.008,75.444,0.577,V
2457902.50729,2017-05-29.0071458,be,1.51,15.341,11.754,0.008,76.238,0.574,V
2457904.50415,2017-05-31.0040446,be,1.61,15.288,11.708,0.008,79.602,0.622,V
2457904.50543,2017-05-31.0053229,be,1.63,15.307,11.724,0.008,78.466,0.614,V
2457904.50670,2017-05-31.0065959,be,1.61,15.300,11.700,0.008,80.116,0.615,V
2457906.48495,2017-06-01.9848864,be,1.64,14.756,11.757,0.015,75.999,1.051,V
2457906.48620,2017-06-01.9861408,be,1.67,14.898,11.769,0.013,75.208,0.899,V
2457906.48747,2017-06-01.9874079,be,1.61,14.914,11.772,0.013,74.993,0.869,V
2457907.50598,2017-06-03.0059467,be,1.48,14.376,11.736,0.020,77.496,1.458,V
2457907.50725,2017-06-03.0072155,be,1.48,14.911,11.755,0.013,76.149,0.890,V
2457907.50852,2017-06-03.0084877,be,1.49,14.950,11.754,0.012,76.248,0.853,V
2457908.49278,2017-06-03.9927609,be,1.44,14.835,11.676,0.013,81.926,0.944,V
2457908.49404,2017-06-03.9940193,be,1.42,14.755,11.710,0.014,79.410,1.048,V
2457908.49530,2017-06-03.9952850,be,1.49,14.309,11.771,0.022,75.056,1.522,V
2457909.48870,2017-06-04.9887126,be,1.69,99.990,99.990,99.990,99.990,99.990,V
2457909.48998,2017-06-04.9899851,be,1.50,99.990,99.990,99.990,99.990,99.990,V
2457910.48468,2017-06-05.9847125,be,1.45,15.286,11.769,0.009,75.244,0.625,V
2457910.48594,2017-06-05.9859740,be,1.46,15.299,11.765,0.009,75.481,0.622,V
2457910.48721,2017-06-05.9872388,be,1.49,15.235,11.757,0.010,76.057,0.657,V
2457911.48728,2017-06-06.9873248,be,1.49,15.260,11.753,0.009,76.318,0.626,V
2457911.48854,2017-06-06.9885880,be,1.50,15.200,11.756,0.010,76.066,0.677,V
2457911.48980,2017-06-06.9898545,be,1.55,15.269,11.773,0.009,74.953,0.632,V
2457914.44994,2017-06-09.9500574,be,1.91,15.149,11.746,0.010,76.794,0.711,V
2457914.45120,2017-06-09.9513193,be,1.77,15.221,11.769,0.009,75.164,0.660,V
2457914.45246,2017-06-09.9525814,be,1.78,15.223,11.775,0.010,74.825,0.660,V
2457918.46173,2017-06-13.9619371,be,1.56,15.179,11.792,0.010,73.669,0.684,V
2457918.46299,2017-06-13.9631980,be,1.58,15.183,11.782,0.009,74.318,0.674,V
2457918.46426,2017-06-13.9644633,be,1.62,15.165,11.791,0.010,73.696,0.685,V
2457994.92281,2017-08-29.4241155,be,1.59,15.208,11.684,0.009,81.352,0.701,V
2457994.92407,2017-08-29.4253747,be,1.59,15.173,11.687,0.010,81.136,0.753,V
2457995.91159,2017-08-30.4128975,be,1.52,14.817,11.704,0.014,79.835,1.039,V
2457995.91286,2017-08-30.4141664,be,1.52,14.609,11.707,0.016,79.593,1.145,V
2457995.91413,2017-08-30.4154307,be,1.51,14.995,11.719,0.012,78.777,0.843,V
2457996.90801,2017-08-31.4093206,be,1.55,14.682,11.731,0.015,77.896,1.119,V
2457996.90928,2017-08-31.4105922,be,1.40,14.653,11.734,0.017,77.711,1.165,V
2457996.91055,2017-08-31.4118564,be,1.42,14.897,11.725,0.013,78.325,0.927,V
2457998.90487,2017-09-02.4061784,be,1.55,14.890,11.684,0.012,81.378,0.953,V
2457998.90613,2017-09-02.4074501,be,1.61,14.989,11.690,0.012,80.896,0.884,V
2457998.90741,2017-09-02.4087219,be,1.61,15.022,11.684,0.012,81.315,0.909,V
2458001.89863,2017-09-05.3999427,be,1.81,15.183,11.727,0.010,78.212,0.704,V
2458001.89989,2017-09-05.4012096,be,1.88,15.199,11.710,0.010,79.414,0.690,V
2458001.90119,2017-09-05.4025021,be,1.80,15.216,11.737,0.010,77.428,0.676,V
2458003.88728,2017-09-07.3885937,be,1.52,15.183,11.720,0.010,78.721,0.707,V
2458003.88856,2017-09-07.3898723,be,1.44,15.162,11.737,0.009,77.521,0.690,V
2458003.88984,2017-09-07.3911488,be,1.45,15.186,11.723,0.010,78.481,0.685,V
2458009.89367,2017-09-13.3949679,be,2.00,15.259,11.713,0.009,79.195,0.645,V
2458009.89493,2017-09-13.3962355,be,2.02,15.268,11.723,0.009,78.470,0.643,V
2458009.89620,2017-09-13.3975084,be,2.01,15.260,11.726,0.008,78.202,0.633,V
2458012.88308,2017-09-16.3843747,be,1.53,15.325,11.742,0.008,77.126,0.600,V
2458012.88435,2017-09-16.3856487,be,1.55,15.333,11.745,0.009,76.908,0.602,V
2458012.88562,2017-09-16.3869108,be,1.56,15.313,11.746,0.009,76.822,0.618,V
2458016.88823,2017-09-20.3895096,be,1.93,15.315,11.745,0.009,76.940,0.617,V
2458016.88950,2017-09-20.3907805,be,1.87,15.310,11.759,0.009,75.892,0.625,V
2458016.89078,2017-09-20.3920616,be,1.94,15.309,11.732,0.009,77.818,0.627,V
2458017.89221,2017-09-21.3934693,be,1.55,15.303,11.708,0.008,79.578,0.609,V
2458017.89454,2017-09-21.3958059,be,1.56,15.297,11.706,0.008,79.720,0.616,V
2458019.87345,2017-09-23.3747062,be,1.47,15.343,11.733,0.008,77.744,0.585,V
2458019.87475,2017-09-23.3760005,be,1.53,15.313,11.743,0.009,77.088,0.613,V
2458019.87601,2017-09-23.3772662,be,1.46,15.327,11.738,0.008,77.435,0.601,V
2458022.88339,2017-09-26.3846245,be,1.48,15.332,11.735,0.008,77.639,0.597,V
2458022.88465,2017-09-26.3858892,be,1.43,15.313,11.731,0.009,77.921,0.613,V
2458022.88592,2017-09-26.3871559,be,1.42,15.348,11.747,0.009,76.745,0.605,V
2458023.84972,2017-09-27.3509471,be,1.48,15.291,11.732,0.009,77.825,0.641,V
2458023.85099,2017-09-27.3522115,be,1.45,15.300,11.721,0.009,78.599,0.621,V
2458023.85225,2017-09-27.3534767,be,1.52,15.309,11.729,0.009,78.050,0.619,V
2458026.84298,2017-09-30.3441864,be,1.46,99.990,99.990,99.990,99.990,99.990,V
2458029.83628,2017-10-03.3374550,be,1.71,15.264,11.724,0.009,78.390,0.644,V
2458029.83754,2017-10-03.3387187,be,1.59,15.241,11.718,0.009,78.797,0.652,V
2458029.83882,2017-10-03.3399943,be,1.59,15.226,11.714,0.010,79.149,0.663,V
2458031.86441,2017-10-05.3655694,bi,2.45,15.480,12.116,0.010,51.713,0.485,g
2458031.86564,2017-10-05.3667915,bi,2.47,15.539,12.099,0.010,52.578,0.473,g
2458031.86686,2017-10-05.3680153,bi,2.44,15.546,12.099,0.009,52.511,0.457,g
2458032.86113,2017-10-06.3622753,bi,1.71,15.674,12.104,0.009,52.310,0.415,g
2458032.86235,2017-10-06.3634940,bi,1.72,15.649,12.087,0.008,53.143,0.421,g
2458032.86358,2017-10-06.3647208,bi,1.77,15.679,12.101,0.008,52.433,0.411,g
2458033.82323,2017-10-07.3243564,be,1.42,15.172,11.712,0.010,79.239,0.715,V
2458033.82449,2017-10-07.3256223,be,1.50,15.169,11.740,0.009,77.215,0.684,V
2458033.82575,2017-10-07.3268842,be,1.49,15.211,11.734,0.010,77.724,0.697,V
2458033.87638,2017-10-07.3775038,bi,1.62,15.814,12.113,0.008,51.834,0.368,g
2458033.87759,2017-10-07.3787246,bi,1.66,15.793,12.124,0.008,51.329,0.375,g
2458033.87881,2017-10-07.3799432,bi,1.69,15.796,12.099,0.007,52.509,0.371,g
2458034.87320,2017-10-08.3743245,bi,1.93,15.777,12.140,0.008,50.604,0.377,g
2458034.87442,2017-10-08.3755437,bi,1.99,15.842,12.147,0.007,50.239,0.353,g
2458034.87565,2017-10-08.3767657,bi,2.01,15.798,12.151,0.008,50.059,0.366,g
2458036.83548,2017-10-10.3365759,be,1.63,15.244,11.708,0.008,79.584,0.641,V
2458036.83675,2017-10-10.3378449,be,1.64,15.250,11.706,0.009,79.713,0.653,V
2458036.83802,2017-10-10.3391091,be,1.65,15.249,11.718,0.009,78.819,0.657,V
2458037.83600,2017-10-11.3370817,be,1.74,15.283,11.749,0.009,76.645,0.633,V
2458037.83727,2017-10-11.3383498,be,1.66,15.265,11.735,0.009,77.579,0.656,V
2458037.83854,2017-10-11.3396202,be,1.67,15.260,11.743,0.010,76.977,0.646,V
2458041.80414,2017-10-15.3051684,be,1.92,15.294,11.756,0.009,76.118,0.627,V
