HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456949.84044,2014-10-19.3410056,be,1.48,15.520,11.806,0.007,72.666,0.505,V
2456949.84190,2014-10-19.3424603,be,1.54,15.518,11.802,0.007,72.921,0.507,V
2456950.86652,2014-10-20.3670696,be,1.48,15.508,11.766,0.007,75.423,0.512,V
2456950.86794,2014-10-20.3684942,be,1.56,15.520,11.768,0.007,75.226,0.505,V
2456952.86466,2014-10-22.3651763,be,1.49,15.410,11.768,0.008,75.316,0.561,V
2456952.86608,2014-10-22.3665939,be,1.49,15.216,11.784,0.010,74.224,0.695,V
2456960.78386,2014-10-30.2842375,be,1.53,15.431,11.766,0.007,75.400,0.542,V
2456960.78528,2014-10-30.2856628,be,1.49,15.366,11.769,0.009,75.214,0.586,V
2456966.78217,2014-11-05.2824428,be,1.59,15.385,11.748,0.008,76.678,0.560,V
2456966.78360,2014-11-05.2838744,be,1.61,15.394,11.764,0.008,75.540,0.568,V
2456969.76028,2014-11-08.2604929,be,1.72,15.384,11.772,0.009,75.055,0.584,V
2456969.76170,2014-11-08.2619085,be,1.69,15.411,11.778,0.008,74.659,0.553,V
2456971.75823,2014-11-10.2584035,be,1.47,15.454,11.779,0.008,74.486,0.541,V
2456971.75966,2014-11-10.2598358,be,1.51,15.431,11.785,0.008,74.139,0.548,V
2456973.75397,2014-11-12.2540962,be,1.51,15.466,11.764,0.007,75.518,0.530,V
2456973.75540,2014-11-12.2555362,be,1.56,15.462,11.772,0.007,74.949,0.524,V
2456975.75691,2014-11-14.2569945,be,1.48,15.489,11.788,0.007,73.882,0.522,V
2456975.75832,2014-11-14.2584087,be,1.49,15.476,11.786,0.007,74.044,0.521,V
2456979.70346,2014-11-18.2034664,be,1.42,15.509,11.781,0.007,74.368,0.510,V
2456979.70489,2014-11-18.2048968,be,1.48,15.499,11.792,0.007,73.633,0.511,V
2456982.75376,2014-11-21.2537045,be,1.53,15.494,11.755,0.008,76.131,0.533,V
2456982.75519,2014-11-21.2551333,be,1.48,15.501,11.747,0.007,76.750,0.511,V
2456985.76892,2014-11-24.2687902,be,1.54,13.851,11.776,0.034,74.715,2.332,V
2456985.77033,2014-11-24.2702038,be,1.51,13.862,11.782,0.034,74.278,2.291,V
2456986.74831,2014-11-25.2481593,be,1.69,14.988,11.747,0.011,76.756,0.809,V
2456986.74975,2014-11-25.2496011,be,1.63,14.780,11.756,0.014,76.089,0.984,V
2456989.74157,2014-11-28.2413575,be,1.58,15.409,11.771,0.008,75.118,0.557,V
2456989.74300,2014-11-28.2427902,be,1.52,15.299,11.756,0.009,76.068,0.640,V
2456992.72750,2014-12-01.2272186,be,1.50,15.504,11.775,0.007,74.787,0.499,V
2456992.72897,2014-12-01.2286813,be,1.50,15.509,11.778,0.007,74.629,0.509,V
2456995.72174,2014-12-04.2213914,be,1.71,15.377,11.780,0.008,74.463,0.566,V
